Date,Closing price,50,200
2018-06-04,185.0,,
2018-06-05,186.0,,
2018-06-07,186.5,,
2018-06-08,188.0,,
2018-06-11,186.0,,
2018-06-12,182.0,,
2018-06-13,182.0,,
2018-06-14,181.5,,
2018-06-15,182.5,,
2018-06-18,179.0,,
2018-06-19,179.5,,
2018-06-20,179.0,,
2018-06-21,175.0,,
2018-06-25,174.0,,
2018-06-26,177.0,,
2018-06-27,178.0,,
2018-06-28,177.0,,
2018-06-29,175.5,,
2018-07-02,174.5,,
2018-07-03,174.0,,
2018-07-04,172.5,,
2018-07-05,173.0,,
2018-07-06,173.0,,
2018-07-09,176.0,,
2018-07-10,178.0,,
2018-07-11,175.5,,
2018-07-12,175.0,,
2018-07-13,174.0,,
2018-07-16,175.5,,
2018-07-17,174.5,,
2018-07-18,173.0,,
2018-07-19,171.0,,
2018-07-20,152.0,,
2018-07-23,148.5,,
2018-07-24,155.0,,
2018-07-25,154.0,,
2018-07-26,157.5,,
2018-07-27,159.0,,
2018-07-30,157.0,,
2018-07-31,155.5,,
2018-08-01,156.0,,
2018-08-02,155.0,,
2018-08-03,157.0,,
2018-08-06,159.5,,
2018-08-07,160.5,,
2018-08-08,160.5,,
2018-08-09,160.0,,
2018-08-10,157.5,,
2018-08-13,155.0,,
2018-08-14,155.5,,
2018-08-15,154.0,,
2018-08-16,154.5,,
2018-08-17,158.0,,
2018-08-20,162.0,,
2018-08-21,164.5,,
2018-08-22,165.5,,
2018-08-23,168.5,,
2018-08-24,169.5,,
2018-08-27,171.0,,
2018-08-28,179.0,,
2018-08-29,178.5,,
2018-08-30,174.5,,
2018-08-31,175.5,,
2018-09-03,174.5,,
2018-09-04,171.5,,
2018-09-05,168.0,,
2018-09-06,169.5,,
2018-09-07,167.5,,
2018-09-10,165.0,,
2018-09-11,164.0,,
2018-09-12,165.5,,
2018-09-13,164.5,,
2018-09-14,168.5,,
2018-09-17,166.5,,
2018-09-18,166.5,,
2018-09-19,168.0,,
2018-09-20,167.0,,
2018-09-21,171.5,,
2018-09-24,175.0,,
2018-09-25,176.0,,
2018-09-26,174.0,,
2018-09-27,175.0,,
2018-09-28,173.0,,
2018-10-01,173.5,,
2018-10-02,173.0,,
2018-10-03,173.5,,
2018-10-04,169.0,,
2018-10-05,164.0,,
2018-10-08,166.0,,
2018-10-09,164.5,,
2018-10-10,155.5,,
2018-10-11,150.0,,
2018-10-12,151.5,,
2018-10-15,150.5,,
2018-10-16,153.0,,
2018-10-17,151.0,,
2018-10-18,150.0,,
2018-10-19,152.0,,
2018-10-22,146.5,,
