Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,17.97,17.77,17.795,17.795,1373223
2018-06-06,18.05,17.805,18.05,17.845,1989574
2018-06-07,18.25,17.915,17.95,18.06,1463563
2018-06-08,18.135,17.71,18.075,17.84,1243886
2018-06-11,18.29,17.985,18.1,18.185,1172915
2018-06-12,17.92,17.56,17.575,17.9,17156467
2018-06-13,17.795,17.51,17.78,17.6,2079218
2018-06-14,17.785,17.51,17.745,17.7,2363234
2018-06-15,17.84,17.61,17.665,17.76,6934545
2018-06-18,17.67,17.255,17.41,17.65,1493484
2018-06-19,17.335,17.1,17.18,17.22,1601023
2018-06-20,17.455,17.195,17.255,17.23,1639759
2018-06-21,17.325,16.85,16.855,17.29,1499431
2018-06-25,17.085,16.615,16.625,16.915,2324902
2018-06-26,17.12,16.7,16.985,16.745,2624404
2018-06-27,17.125,16.675,17.055,17.01,1860188
2018-06-28,17.12,16.475,16.66,16.985,1811980
2018-06-29,16.885,16.635,16.76,16.85,2421997
2018-07-02,16.78,16.465,16.58,16.605,1605014
2018-07-03,16.815,16.56,16.765,16.59,1698551
2018-07-04,16.77,16.47,16.54,16.765,893115
2018-07-05,16.72,16.495,16.54,16.495,1634484
2018-07-06,16.695,16.425,16.545,16.6,1165442
2018-07-09,16.95,16.635,16.9,16.66,1450611
2018-07-10,17.16,16.97,17.095,16.975,1534248
2018-07-11,16.935,16.58,16.78,16.925,1624110
2018-07-12,16.915,16.57,16.84,16.8,1238323
2018-07-13,16.945,16.57,16.575,16.9,1329200
2018-07-16,16.76,16.585,16.68,16.61,678785
2018-07-17,16.85,16.59,16.845,16.7,1211937
2018-07-18,17.04,16.45,16.5,16.835,2386868
2018-07-19,16.625,16.265,16.285,16.44,2041097
2018-07-20,14.945,14.08,14.08,14.66,9106445
2018-07-23,14.35,13.55,13.8,14.28,6171598
2018-07-24,14.48,13.895,14.45,14.02,5011268
2018-07-25,14.62,14.24,14.51,14.475,4294788
2018-07-26,14.69,14.47,14.555,14.6,2597297
2018-07-27,14.815,14.575,14.59,14.59,1523420
2018-07-30,14.6,14.235,14.305,14.585,1812230
2018-07-31,14.395,13.96,14.135,14.3,2566210
2018-08-01,14.41,14.155,14.33,14.155,2147521
2018-08-02,14.525,14.08,14.08,14.25,2818385
2018-08-03,14.52,14.175,14.485,14.215,2326370
2018-08-06,14.52,14.35,14.51,14.46,1261311
2018-08-07,14.74,14.54,14.72,14.55,1362136
2018-08-08,15.03,14.76,14.85,14.89,2037689
2018-08-09,14.9,14.685,14.8,14.875,965209
2018-08-10,14.75,14.405,14.425,14.7,1431360
2018-08-13,14.445,14.24,14.395,14.35,1129969
2018-08-14,14.45,14.085,14.165,14.44,1911540
2018-08-15,14.265,13.875,13.905,14.13,1657397
2018-08-16,14.255,14.045,14.165,14.07,1511630
2018-08-17,14.335,14.035,14.165,14.17,1729453
2018-08-20,14.61,14.27,14.525,14.305,2018556
2018-08-21,14.715,14.48,14.67,14.54,1406885
2018-08-22,14.92,14.595,14.92,14.66,2608626
2018-08-23,15.32,14.855,15.29,14.91,2995147
2018-08-24,15.385,15.17,15.245,15.3,2509124
2018-08-27,15.36,15.19,15.36,15.325,842326
2018-08-28,16.09,15.53,16.04,15.545,3592058
2018-08-29,16.295,15.91,16.04,16.05,2395279
2018-08-30,16.11,15.78,16.075,16.01,1618618
2018-08-31,16.085,15.84,16.035,16.045,2294643
2018-09-03,16.195,15.98,15.99,16.045,956601
2018-09-04,16.065,15.49,15.69,16.0,1938034
2018-09-05,15.785,15.43,15.43,15.62,2288923
2018-09-06,15.59,15.27,15.275,15.45,1997957
2018-09-07,15.445,15.22,15.34,15.305,2280110
2018-09-10,15.56,15.28,15.28,15.345,2036477
2018-09-11,15.34,14.975,15.28,15.3,1732918
2018-09-12,15.605,15.28,15.51,15.3,1972649
2018-09-13,15.58,15.355,15.385,15.495,1399510
2018-09-14,15.645,15.425,15.645,15.52,1613684
2018-09-17,15.655,15.48,15.585,15.565,1435704
2018-09-18,15.685,15.395,15.48,15.59,2066328
2018-09-19,15.85,15.515,15.85,15.555,2301438
2018-09-20,15.835,15.635,15.765,15.835,2049592
