Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,98.83,96.22,98.0,97.51,13530
2018-06-07,99.19,96.57,99.0,98.2,27359
2018-06-08,99.0,96.61,98.14,99.0,13669
2018-06-11,99.0,96.98,96.98,98.14,14905
2018-06-12,98.75,95.71,97.0,97.5,27441
2018-06-13,97.89,94.97,95.6,97.01,16567
2018-06-14,96.0,94.5,95.98,95.56,34152
2018-06-15,96.84,94.88,96.15,95.98,22232
2018-06-18,97.99,96.22,97.49,96.23,26129
2018-06-19,97.49,96.4,96.8,97.49,30340
2018-06-20,98.0,96.8,98.0,96.81,16253
2018-06-21,98.7,97.5,97.5,98.0,26327
2018-06-25,97.5,96.0,97.29,97.5,9779
2018-06-26,98.0,95.99,96.15,97.3,13611
2018-06-27,96.2,94.21,95.65,96.2,7097
2018-06-28,96.9,95.0,96.12,95.64,32469
2018-06-29,98.0,95.06,97.06,95.06,34502
2018-07-02,98.29,95.01,98.0,95.01,23314
2018-07-03,99.0,97.92,98.99,99.0,11686
2018-07-04,99.0,96.75,98.97,99.0,22117
2018-07-05,99.5,97.0,99.4,98.96,32145
2018-07-06,99.5,97.14,98.44,99.4,11647
2018-07-09,100.0,97.53,100.0,98.44,10853
2018-07-10,99.82,98.7,99.02,98.8,208488
2018-07-11,99.02,98.0,98.56,99.02,300715
2018-07-12,99.88,97.5,98.39,98.6,11220
2018-07-13,99.81,97.74,98.0,98.4,4728
2018-07-16,98.88,97.6,98.0,98.0,6082
2018-07-17,98.75,97.0,97.74,98.0,6925
2018-07-18,98.5,97.5,97.51,97.74,7487
2018-07-19,98.5,97.5,98.0,97.5,12735
2018-07-20,98.48,97.99,98.4,98.0,13785
2018-07-23,98.5,97.12,98.24,98.38,10447
2018-07-24,99.8,97.78,99.5,98.5,11659
2018-07-25,99.99,99.0,99.75,99.71,11832
2018-07-26,100.0,99.28,100.0,100.0,25572
2018-07-27,100.3,99.49,100.14,100.0,16918
2018-07-30,101.0,99.85,100.6,100.12,13319
2018-07-31,102.0,100.52,101.84,100.6,12158
2018-08-01,102.84,100.0,101.0,101.9,11988
2018-08-02,101.3,99.63,101.0,101.0,9041
2018-08-03,101.9,101.0,101.0,101.84,12423
2018-08-06,102.0,99.5,100.4,102.0,35465
2018-08-07,100.36,98.71,100.3,98.71,18731
2018-08-08,101.86,100.3,100.9,100.3,15249
2018-08-09,101.8,100.28,101.36,100.28,9502
2018-08-10,101.36,100.5,100.52,101.36,12711
2018-08-13,101.4,100.0,101.0,100.52,14705
2018-08-14,101.4,99.0,99.8,101.0,24471
2018-08-15,100.94,96.99,98.73,100.04,33505
2018-08-16,100.0,98.1,100.0,99.0,14278
2018-08-17,100.98,99.36,100.6,100.0,17455
2018-08-20,102.84,98.9,102.4,99.0,45844
2018-08-21,103.5,101.26,102.8,102.42,34258
