Date,High,Low,Close,Open,Volume
2020-01-02,121.3333,121.3333,121.3333,121.3333,156
2020-01-03,121.3333,120.6667,121.3333,121.3333,48
2020-01-07,124.0,120.6667,124.0,120.6667,1395
2020-01-08,122.0,118.6667,120.6667,122.0,1944
2020-01-09,122.6667,122.0,122.0,122.6667,1845
2020-01-10,122.6667,122.0,122.6667,122.0,33
2020-01-13,124.0,122.6667,124.0,122.6667,1992
2020-01-14,124.0,122.6667,122.6667,124.0,252
2020-01-15,122.6667,122.0,122.0,122.6667,1335
2020-01-16,124.0,122.6667,124.0,122.6667,366
2020-01-17,124.0,122.6667,122.6667,124.0,870
2020-01-20,126.6667,122.6667,126.6667,122.6667,228
2020-01-21,126.0,125.3333,125.3333,126.0,444
2020-01-22,128.0,127.3333,127.3333,128.0,1161
2020-01-23,126.6667,123.3333,126.0,126.6667,552
2020-01-24,126.0,126.0,126.0,126.0,312
2020-01-27,125.3333,121.3333,124.0,125.3333,1458
2020-01-28,123.3333,120.6667,121.3333,123.3333,1344
2020-01-29,126.0,121.3333,126.0,121.3333,126
2020-01-30,124.6667,123.3333,123.3333,124.6667,84
2020-01-31,123.3333,123.3333,123.3333,123.3333,1095
2020-02-03,123.3333,119.3333,119.3333,123.3333,1272
2020-02-04,120.6667,119.3333,120.0,119.3333,138
2020-02-05,123.3333,123.3333,123.3333,123.3333,63
2020-02-06,127.3333,127.3333,127.3333,127.3333,9
2020-02-07,128.6667,124.0,124.0,128.6667,96
2020-02-10,120.6667,118.0,118.0,120.6667,192
2020-02-11,121.3333,118.6667,121.3333,118.6667,195
2020-02-12,121.3333,116.0,116.0,121.3333,711
2020-02-13,116.0,113.3333,113.3333,116.0,4209
2020-02-14,113.3333,113.3333,113.3333,113.3333,360
2020-02-17,113.3333,113.3333,113.3333,113.3333,189
2020-02-18,120.0,114.6667,120.0,114.6667,42
2020-02-19,118.6667,118.6667,118.6667,118.6667,1599
2020-02-20,118.6667,118.6667,118.6667,118.6667,162
2020-02-21,118.0,117.3333,117.3333,118.0,1191
2020-02-24,114.0,112.6667,113.3333,114.0,1422
2020-02-25,112.6667,109.3333,109.3333,112.6667,267
2020-02-26,108.0,108.0,108.0,108.0,750
2020-02-27,106.6667,105.3333,105.3333,106.6667,1344
2020-02-28,102.6667,100.0,100.0,102.6667,3195
2020-03-02,102.6667,98.6667,102.0,102.6667,4185
2020-03-03,103.3333,102.0,103.3333,102.0,1365
2020-03-04,104.0,103.3333,104.0,103.3333,672
2020-03-05,104.0,104.0,104.0,104.0,366
2020-03-06,98.6667,98.6667,98.6667,98.6667,1095
2020-03-09,97.3333,94.6667,94.6667,97.3333,78
2020-03-10,93.3333,91.3333,91.3333,93.3333,1626
2020-03-11,91.3333,91.3333,91.3333,91.3333,0
2020-03-12,82.6667,69.3333,69.3333,82.6667,1068
2020-03-13,80.0,71.3333,80.0,71.3333,1224
2020-03-16,78.6667,72.0,76.6667,78.6667,2853
2020-03-17,80.0,76.6667,80.0,76.6667,972
2020-03-18,82.6667,78.0,78.0,82.6667,1461
2020-03-19,77.3333,77.3333,77.3333,77.3333,243
2020-03-20,82.0,79.3333,81.3333,79.3333,531
2020-03-23,79.3333,74.6667,75.3333,79.3333,1290
2020-03-24,79.3333,78.0,79.3333,78.0,1089
2020-03-25,85.3333,80.0,85.3333,80.0,237
2020-03-26,85.3333,85.3333,85.3333,85.3333,0
2020-03-27,86.6667,86.6667,86.6667,86.6667,66
2020-03-30,97.3333,90.0,90.0,97.3333,735
2020-03-31,92.6667,92.0,92.0,92.6667,564
2020-04-01,94.0,92.0,94.0,92.0,951
2020-04-02,96.0,91.3333,96.0,93.3333,423
2020-04-03,94.0,92.0,94.0,92.0,1557
2020-04-06,96.6667,94.0,96.6667,94.0,150
2020-04-07,107.3333,100.0,104.6667,100.0,1128
2020-04-08,104.6667,104.0,104.6667,104.6667,1374
2020-04-09,106.6667,106.6667,106.6667,106.6667,180
2020-04-14,107.3333,104.6667,107.3333,106.0,789
2020-04-15,108.6667,108.6667,108.6667,108.6667,573
2020-04-16,106.6667,106.6667,106.6667,106.6667,60
2020-04-17,110.0,106.6667,106.6667,106.6667,180
2020-04-20,110.6667,107.3333,110.6667,107.3333,1176
2020-04-21,113.3333,112.6667,112.6667,112.6667,1056
2020-04-22,112.6667,111.3333,111.3333,112.6667,78
2020-04-23,110.6667,110.6667,110.6667,110.6667,138
2020-04-24,110.6667,110.6667,110.6667,110.6667,0
2020-04-27,112.6667,110.6667,112.6667,110.6667,87
2020-04-28,109.3333,109.3333,109.3333,109.3333,9
2020-04-29,113.3333,112.6667,113.3333,112.6667,315
2020-04-30,113.3333,113.3333,113.3333,113.3333,33
2020-05-04,112.0,109.3333,109.3333,112.0,150
2020-05-05,109.3333,109.3333,109.3333,109.3333,129
2020-05-06,111.3333,111.3333,111.3333,111.3333,2097
2020-05-07,111.3333,111.3333,111.3333,111.3333,0
2020-05-08,116.0,116.0,116.0,116.0,288
2020-05-11,116.6667,116.0,116.6667,116.0,675
2020-05-12,118.6667,118.0,118.6667,118.0,90
2020-05-13,118.0,118.0,118.0,118.0,300
2020-05-14,117.3333,117.3333,117.3333,117.3333,213
2020-05-15,117.3333,117.3333,117.3333,117.3333,0
2020-05-18,120.0,118.6667,120.0,118.6667,459
2020-05-19,120.6667,117.3333,120.6667,120.6667,9156
2020-05-20,120.0,120.0,120.0,120.0,825
2020-05-22,124.6667,123.3333,123.3333,124.6667,21
2020-05-25,121.3333,121.3333,121.3333,121.3333,987
2020-05-26,122.6667,122.0,122.6667,122.0,165
2020-05-27,122.6667,122.6667,122.6667,122.6667,0
2020-05-28,126.0,125.3333,125.3333,126.0,255
2020-05-29,126.6667,125.3333,126.6667,125.3333,1809
2020-06-01,131.3333,130.0,131.3333,130.0,5181
2020-06-02,132.0,131.3333,131.3333,131.3333,447
2020-06-03,134.0,132.0,134.0,132.0,192
2020-06-04,134.6667,134.6667,134.6667,134.6667,1692
