Date,High,Low,Close,Open,Volume
2020-01-02,143.0,140.15,141.45,140.3,3534025
2020-01-03,141.1,138.55,138.95,141.1,3653398
2020-01-07,140.55,137.9,139.9,138.35,3541863
2020-01-08,139.65,137.9,138.5,139.3,3547302
2020-01-09,139.95,136.0,136.4,138.9,6309107
2020-01-10,137.0,135.1,136.5,136.5,3908377
2020-01-13,137.3,135.95,137.0,136.5,3035644
2020-01-14,137.3,135.5,135.85,137.05,3271022
2020-01-15,135.8,133.8,134.2,135.65,4113656
2020-01-16,137.2,134.3,137.15,134.45,4354231
2020-01-17,139.45,136.15,138.3,137.5,3653471
2020-01-20,138.45,136.9,137.55,138.45,3056951
2020-01-21,138.65,135.95,137.55,137.4,2270717
2020-01-22,138.45,136.2,136.85,138.45,2326658
2020-01-23,136.9,133.6,134.6,136.5,3044521
2020-01-24,137.4,134.45,134.75,135.0,3452487
2020-01-27,133.75,131.95,132.15,133.4,5121352
2020-01-28,142.9,131.3,142.9,132.15,13841156
2020-01-29,147.6,141.3,146.1,143.1,7916182
2020-01-30,146.75,143.8,143.85,145.8,4869514
2020-01-31,150.65,144.7,148.25,144.8,8702636
2020-02-03,148.5,145.4,146.65,148.25,3770569
2020-02-04,147.8,145.9,147.5,147.1,3631496
2020-02-05,150.5,146.9,150.2,148.0,5205019
2020-02-06,154.25,151.55,152.95,151.55,5080714
2020-02-07,153.95,151.75,153.95,152.2,4705396
2020-02-10,157.05,153.45,156.45,153.95,5467415
2020-02-11,158.0,156.35,157.5,156.5,4846988
2020-02-12,158.2,156.9,157.0,157.7,4067787
2020-02-13,157.5,154.9,156.85,156.25,3940208
2020-02-14,157.25,156.1,156.95,156.85,2310653
2020-02-17,157.95,156.25,156.5,157.15,2047139
2020-02-18,158.2,155.5,157.05,155.85,2975756
2020-02-19,161.8,157.4,160.9,158.25,4468436
2020-02-20,162.7,160.35,161.9,161.3,4394680
2020-02-21,162.15,160.1,161.4,161.5,4042975
2020-02-24,159.2,155.9,156.8,158.0,6899892
2020-02-25,157.95,153.3,153.3,156.6,5572338
2020-02-26,154.1,148.45,153.55,152.1,6261541
2020-02-27,152.15,147.45,148.75,151.1,5811504
2020-02-28,147.45,143.0,144.75,143.2,8283467
2020-03-02,149.85,144.1,147.15,147.65,6781849
2020-03-03,152.1,147.65,147.85,149.85,6759993
2020-03-04,153.1,149.55,151.3,149.75,5945541
2020-03-05,154.65,149.35,150.7,153.65,6513253
2020-03-06,149.05,144.25,145.0,148.5,6916216
2020-03-09,138.75,132.6,132.6,137.45,11630671
2020-03-10,138.9,131.3,131.95,134.0,8007346
2020-03-11,138.5,132.25,133.7,134.75,10145897
2020-03-12,129.75,115.0,115.0,127.85,15316949
2020-03-13,126.5,115.2,119.35,116.7,13256934
2020-03-16,116.95,109.85,112.95,114.0,11818779
2020-03-17,126.45,111.35,124.5,115.15,11837618
2020-03-18,126.3,118.8,122.8,122.0,9514628
2020-03-19,126.2,119.85,126.2,123.55,9857824
2020-03-20,128.35,119.6,120.65,125.65,10811014
2020-03-23,119.75,111.4,112.1,115.0,8869410
2020-03-24,117.0,111.4,113.4,116.5,8609165
2020-03-25,116.0,110.75,113.95,116.0,11764223
2020-03-26,114.7,111.35,114.7,112.15,6812176
2020-03-27,112.55,110.3,110.55,111.35,7324279
2020-03-30,111.0,106.05,107.9,110.6,6167812
2020-03-31,110.85,107.45,110.85,109.15,8876631
2020-04-01,109.94,108.04,108.84,109.0,5263305
2020-04-02,110.54,107.7,109.68,109.0,4765664
2020-04-03,110.0,107.6,107.88,109.68,3926812
2020-04-06,110.66,108.12,110.34,110.2,5914442
2020-04-07,113.62,110.8,113.56,112.0,9623986
2020-04-08,110.5,105.56,106.58,109.5,13397950
2020-04-09,108.26,106.84,107.34,107.98,6423052
2020-04-14,111.08,108.0,110.62,108.0,7245548
2020-04-15,110.48,103.46,103.46,110.48,6690345
2020-04-16,105.22,101.4,101.88,104.38,5877070
2020-04-17,108.1,104.1,107.58,105.0,8183783
2020-04-20,108.2,105.36,107.02,108.0,3895152
2020-04-21,106.12,103.68,103.68,105.64,4718359
2020-04-22,108.0,104.68,108.0,105.16,4684343
2020-04-23,109.24,105.2,109.24,107.5,5222222
2020-04-24,112.48,106.22,111.38,107.4,5992863
2020-04-27,114.0,110.62,112.28,113.22,4777184
2020-04-28,114.18,111.0,113.62,112.38,5094382
2020-04-29,117.38,113.6,117.34,113.86,6727617
2020-04-30,117.72,115.32,115.36,117.5,3891512
2020-05-04,111.9,108.0,108.0,111.84,5805137
2020-05-05,111.42,108.5,109.24,109.84,4293344
2020-05-06,109.12,107.1,107.1,109.12,3773050
2020-05-07,107.44,106.12,107.24,107.2,4164196
2020-05-08,108.3,106.7,108.3,107.78,3981493
2020-05-11,109.96,105.94,106.28,108.94,3744281
2020-05-12,107.06,105.4,106.22,106.0,4219756
2020-05-13,105.56,101.8,101.8,105.26,6433914
2020-05-14,101.96,99.14,101.18,101.8,8086186
2020-05-15,103.36,100.78,102.02,102.04,4792047
2020-05-18,107.78,103.02,107.78,103.24,5655328
2020-05-19,108.6,105.88,107.16,108.34,5591323
2020-05-20,107.32,105.72,106.0,107.0,2737768
2020-05-22,108.04,103.8,106.8,105.44,3705384
2020-05-25,108.08,106.72,108.02,107.6,3553609
2020-05-26,113.02,108.6,113.02,108.7,6212352
2020-05-27,120.04,112.84,118.4,113.44,6788912
2020-05-28,121.88,118.6,121.62,119.0,6791583
2020-05-29,120.58,118.0,118.0,119.96,7734009
2020-06-01,121.3,119.42,120.56,119.96,4228646
2020-06-02,126.08,121.18,125.52,121.6,5542393
2020-06-03,128.86,125.42,128.0,127.04,5896395
2020-06-04,129.34,126.08,128.18,127.14,4687581
2020-06-05,131.42,128.82,130.76,129.54,4966517
2020-06-08,134.6,130.58,134.14,131.0,5453956
2020-06-09,134.6,128.16,131.18,134.16,4907909
2020-06-10,133.9,129.76,131.3,131.64,4385225
2020-06-11,128.32,123.56,123.56,128.0,7402446
2020-06-12,126.06,121.54,123.22,121.66,5414333
2020-06-15,122.34,119.66,121.78,120.1,6252084
2020-06-16,124.78,121.52,123.78,123.88,8289781
2020-06-17,124.8,121.5,121.58,123.08,6991576
2020-06-18,121.62,119.2,120.34,120.9,11595685
2020-06-22,121.54,119.28,120.18,120.04,5386063
