Date,High,Low,Close,Open,Volume
2020-01-03,507.2,491.2,505.8,492.0,721763
2020-01-07,518.2,507.0,516.0,507.0,808343
2020-01-08,527.0,513.2,526.0,514.8,630437
2020-01-09,530.0,524.4,528.0,528.0,833363
2020-01-10,531.0,522.6,527.0,529.0,727924
2020-01-13,534.8,526.2,532.4,527.2,331465
2020-01-14,534.8,527.4,531.0,532.4,524408
2020-01-15,540.4,532.2,540.2,533.2,665788
2020-01-16,541.6,536.0,537.8,541.0,574581
2020-01-17,542.6,536.8,540.0,538.0,547172
2020-01-20,540.0,532.6,535.4,540.0,264891
2020-01-21,542.8,531.2,541.8,534.8,341361
2020-01-22,545.0,534.6,534.6,543.2,621848
2020-01-23,543.6,536.6,541.2,536.6,463903
2020-01-24,546.4,538.2,545.0,541.4,400548
2020-01-27,541.2,531.8,539.0,540.6,527445
2020-01-28,546.4,537.8,544.8,539.0,483583
2020-01-29,556.2,543.0,553.6,544.8,546656
2020-01-30,557.0,544.8,545.2,551.0,614399
2020-01-31,547.6,542.0,545.4,547.4,517227
2020-02-03,546.8,541.2,543.0,545.0,321998
2020-02-04,547.4,540.4,546.0,543.0,465057
2020-02-05,548.2,539.8,542.4,548.2,456705
2020-02-06,550.8,542.2,550.8,543.4,460831
2020-02-07,554.0,548.6,554.0,550.4,539373
2020-02-10,556.0,551.6,556.0,554.0,336373
2020-02-11,560.8,555.0,560.0,557.0,602430
2020-02-12,595.6,562.0,586.4,563.8,1141512
2020-02-13,593.0,578.6,584.0,585.2,915966
2020-02-14,594.0,582.8,594.0,584.4,507675
2020-02-17,601.4,595.0,600.6,595.0,551603
2020-02-18,612.8,600.0,609.6,600.0,568428
2020-02-19,622.4,609.0,622.0,610.2,679615
2020-02-20,630.6,614.8,618.0,630.0,806176
2020-02-21,622.4,614.8,620.4,617.0,508857
2020-02-24,618.2,604.0,609.0,617.8,1044576
2020-02-25,617.0,608.0,610.6,608.6,829708
2020-02-26,607.4,580.6,596.0,607.4,1055711
2020-02-27,598.8,585.0,595.8,588.8,1230158
2020-02-28,580.0,551.4,559.6,580.0,1295461
2020-03-02,584.8,563.2,571.6,573.0,1068392
2020-03-03,599.8,585.0,592.0,585.2,1043515
2020-03-04,601.4,586.8,599.6,594.4,775624
2020-03-05,608.4,589.2,597.8,605.0,714178
2020-03-06,592.6,576.6,580.8,585.2,905733
2020-03-09,578.0,530.2,566.4,540.0,1328706
2020-03-10,589.4,553.2,560.0,573.4,1270663
2020-03-11,575.2,555.0,556.2,566.6,1041891
2020-03-12,537.4,519.4,536.0,533.8,1795208
2020-03-13,567.4,524.6,528.0,538.4,1653481
2020-03-16,537.8,496.4,532.0,500.0,1649780
2020-03-17,565.4,531.2,546.6,549.6,1433722
2020-03-18,571.6,527.0,533.8,541.4,1409809
2020-03-19,552.0,502.2,521.8,539.4,1311042
2020-03-20,548.6,512.4,512.4,542.2,1488561
2020-03-23,516.0,484.8,498.1,486.5,1062953
2020-03-24,527.0,498.9,522.6,518.8,906445
2020-03-25,551.4,523.2,544.4,537.4,836125
2020-03-26,551.6,525.2,551.6,536.4,921592
2020-03-27,564.2,526.2,528.8,552.0,1006485
2020-03-30,543.0,519.8,536.6,530.6,669516
2020-03-31,568.0,539.2,568.0,539.2,1258171
2020-04-01,580.2,543.8,555.0,563.0,977078
2020-04-02,583.4,558.2,583.4,561.4,1051782
2020-04-03,582.2,559.4,561.6,572.0,697701
2020-04-06,581.0,564.8,565.4,575.8,500133
2020-04-07,581.0,554.4,565.8,577.0,861761
2020-04-08,575.8,564.0,571.6,565.0,434053
2020-04-09,577.8,564.4,577.8,575.8,319943
2020-04-14,596.6,583.0,594.8,592.2,866201
2020-04-15,605.4,591.0,592.0,595.0,674719
2020-04-16,598.0,587.4,590.2,595.2,519872
2020-04-17,606.2,594.0,602.8,598.0,1060492
2020-04-20,615.4,597.6,604.2,607.6,533728
2020-04-21,615.2,598.2,610.4,600.8,772178
2020-04-22,627.4,609.4,614.4,613.2,673443
2020-04-23,619.8,610.8,619.6,619.4,449190
2020-04-24,626.2,604.4,624.8,616.0,804482
2020-04-27,635.0,603.4,620.2,628.0,1099249
2020-04-28,653.8,620.2,652.4,620.2,930750
2020-04-29,653.8,624.0,628.2,652.6,735387
2020-04-30,633.4,605.2,605.6,631.0,787662
2020-05-04,626.8,594.0,622.8,601.0,924640
2020-05-05,627.0,614.0,621.0,624.8,414267
2020-05-06,625.2,610.2,610.8,622.6,472747
2020-05-07,622.6,612.0,619.0,614.4,498318
2020-05-08,622.8,613.0,620.2,622.2,391044
2020-05-11,622.8,615.4,622.6,618.4,429368
