Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,13.15,12.7,13.0,13.15,3424
2018-06-07,13.3,12.15,13.3,12.15,3050
2018-06-08,13.55,13.05,13.35,13.3,3900
2018-06-11,13.35,12.0,12.8,13.35,7200
2018-06-12,12.5,12.0,12.0,12.2,92867
2018-06-13,12.3,11.15,11.9,12.3,4446
2018-06-14,11.45,11.05,11.45,11.45,4813
2018-06-15,11.5,10.5,11.5,11.45,6645
2018-06-18,12.65,11.5,11.85,11.5,7235
2018-06-19,12.0,11.3,11.45,11.8,15294
2018-06-20,12.5,11.5,12.5,11.5,9090
2018-06-21,13.05,12.1,12.6,12.5,11799
2018-06-25,13.0,12.5,13.0,13.0,16317
2018-06-26,13.15,12.55,13.15,13.0,1550
2018-06-27,12.95,12.5,12.95,12.55,13173
2018-06-28,13.35,12.5,12.85,13.35,11122
2018-06-29,12.85,11.55,12.85,12.85,211
2018-07-02,12.95,12.8,12.8,12.95,6477
2018-07-03,12.95,12.5,12.5,12.95,579
2018-07-04,13.0,12.0,12.4,13.0,4971
2018-07-05,12.7,11.25,12.1,12.7,5164
2018-07-06,12.0,11.15,11.7,12.0,1900
2018-07-09,13.05,12.6,13.05,12.95,10168
2018-07-10,13.05,12.85,12.9,13.05,6849
2018-07-11,12.9,12.3,12.3,12.9,2054
2018-07-12,13.0,12.6,13.0,12.6,3925
2018-07-13,13.15,12.85,13.15,13.1,6049
2018-07-16,14.0,13.2,14.0,13.2,2375
2018-07-17,14.1,12.95,14.1,14.1,851
2018-07-18,13.95,12.05,13.1,13.95,7287
2018-07-19,14.2,12.85,13.0,14.2,2566
2018-07-20,13.5,13.35,13.5,13.35,3787
2018-07-23,14.0,12.2,13.0,14.0,2586
2018-07-24,13.0,12.5,12.95,12.95,9914
2018-07-25,13.85,13.85,13.85,13.85,2
2018-07-26,13.85,13.0,13.85,13.65,1791
2018-07-27,13.4,12.8,13.4,12.8,1609
2018-07-30,13.4,12.2,13.4,12.5,1990
2018-07-31,14.5,13.4,13.6,14.5,4485
2018-08-01,14.1,14.1,14.1,14.1,224
2018-08-02,14.0,13.95,13.95,14.0,512
2018-08-03,13.95,13.95,13.95,13.95,0
2018-08-06,14.05,13.25,14.05,13.25,653
2018-08-07,14.05,14.05,14.05,14.05,0
2018-08-08,14.05,13.5,14.0,13.5,1233
2018-08-09,14.1,13.6,14.05,14.0,3198
2018-08-10,14.05,13.55,14.05,13.55,518
2018-08-13,14.1,13.0,13.8,13.0,1773
2018-08-14,14.1,12.1,13.95,14.1,1089
2018-08-15,13.9,12.95,13.75,13.9,1383
2018-08-16,13.55,12.2,12.85,12.25,4386
2018-08-17,13.45,12.15,13.25,13.45,9003
2018-08-20,12.95,12.95,12.95,12.95,118
2018-08-21,12.8,12.05,12.55,12.5,2372
2018-08-22,13.45,12.05,13.25,12.6,3351
2018-08-23,13.4,13.3,13.35,13.4,3530
2018-08-24,14.05,13.1,13.6,14.05,6252
