Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,10.0,9.74,10.0,9.88,16790
2018-06-06,10.0,9.94,9.94,10.0,1794
2018-06-07,10.05,9.96,9.96,10.0,4590
2018-06-08,9.94,9.82,9.82,9.94,970
2018-06-11,9.86,9.82,9.84,9.86,3727
2018-06-12,9.98,9.84,9.9,9.84,1012
2018-06-13,9.98,9.86,9.86,9.98,1586
2018-06-14,9.98,9.88,9.88,9.98,15468
2018-06-15,9.96,9.76,9.8,9.94,6217
2018-06-18,9.96,9.76,9.78,9.86,5823
2018-06-19,9.98,9.5,9.9,9.98,14126
2018-06-20,9.88,9.66,9.8,9.88,6689
2018-06-21,9.9,9.78,9.9,9.9,8410
2018-06-25,9.9,9.68,9.68,9.9,5380
2018-06-26,9.84,9.68,9.72,9.84,1201
2018-06-27,9.74,9.66,9.68,9.72,1575
2018-06-28,9.74,9.5,9.72,9.74,10643
2018-06-29,10.15,9.8,10.0,9.8,50325
2018-07-02,10.0,9.94,9.98,10.0,13494
2018-07-03,10.05,9.9,10.0,9.96,7548
2018-07-04,10.05,9.92,9.96,10.0,3090
2018-07-05,10.4,10.0,10.25,10.1,9814
2018-07-06,10.25,10.0,10.05,10.05,4347
2018-07-09,10.25,10.05,10.2,10.05,3346
2018-07-10,10.35,10.2,10.35,10.3,1622
2018-07-11,10.6,10.2,10.6,10.35,5433
2018-07-12,10.6,10.5,10.5,10.6,702
2018-07-13,10.6,10.4,10.4,10.5,1618
2018-07-16,10.6,10.4,10.4,10.45,4471
2018-07-17,10.4,10.15,10.4,10.4,1784
2018-07-18,10.45,10.2,10.45,10.4,2777
2018-07-19,10.4,10.2,10.35,10.4,721
2018-07-20,10.35,10.1,10.2,10.35,2566
2018-07-23,10.4,10.15,10.4,10.35,2241
2018-07-24,10.45,10.3,10.45,10.4,1984
2018-07-25,10.4,10.3,10.4,10.35,1947
2018-07-26,10.45,10.4,10.4,10.4,2553
2018-07-27,10.45,10.35,10.4,10.45,2540
2018-07-30,10.4,10.3,10.4,10.4,1833
2018-07-31,10.4,10.1,10.2,10.4,2790
2018-08-01,10.4,10.2,10.4,10.35,33418
2018-08-02,10.4,10.1,10.3,10.4,3418
2018-08-03,10.35,10.2,10.3,10.3,957
2018-08-06,10.4,10.25,10.4,10.35,3604
2018-08-07,10.4,10.3,10.4,10.4,935
2018-08-08,10.35,10.25,10.35,10.35,10399
2018-08-09,10.4,10.35,10.4,10.35,1239
2018-08-10,10.4,10.35,10.4,10.4,4153
2018-08-13,10.4,10.2,10.25,10.4,5127
2018-08-14,10.2,9.92,9.96,10.2,5108
2018-08-15,10.25,9.9,10.05,9.96,252498
2018-08-16,10.45,10.2,10.3,10.4,24704
2018-08-17,10.4,10.25,10.25,10.3,10656
