Date,High,Low,Close,Open,Volume
2020-01-02,1.125,1.055,1.1,1.055,262079
2020-01-03,1.17,1.02,1.07,1.1,1903236
2020-01-07,1.17,1.06,1.16,1.07,1631439
2020-01-08,1.185,1.105,1.125,1.175,767223
2020-01-09,1.165,1.11,1.145,1.125,382605
2020-01-10,1.265,1.15,1.17,1.155,1426823
2020-01-13,1.195,1.1,1.1,1.17,721154
2020-01-14,1.13,1.08,1.11,1.1,363116
2020-01-15,1.11,1.05,1.075,1.11,366064
2020-01-16,1.095,1.0,1.05,1.07,325370
2020-01-17,1.08,1.05,1.07,1.05,197953
2020-01-20,1.095,1.055,1.085,1.075,323586
2020-01-21,1.08,1.0,1.055,1.065,568818
2020-01-22,1.08,1.01,1.065,1.02,292609
2020-01-23,1.06,0.972,0.992,1.06,1127810
2020-01-24,1.035,0.99,1.02,1.01,426263
2020-01-27,1.025,0.98,1.01,1.025,199711
2020-01-28,1.01,0.96,0.986,1.0,301021
2020-01-29,1.025,0.986,1.005,0.986,379553
2020-01-30,1.01,0.986,1.0,1.01,99264
2020-01-31,1.0,0.91,0.93,0.97,814517
2020-02-03,0.9,0.8,0.844,0.9,1636450
2020-02-04,0.844,0.78,0.784,0.844,911357
2020-02-05,0.872,0.792,0.812,0.792,509776
2020-02-06,0.858,0.822,0.84,0.822,149362
2020-02-07,0.85,0.82,0.838,0.832,189310
2020-02-10,0.874,0.8,0.826,0.84,249403
2020-02-11,0.9,0.806,0.844,0.872,342045
2020-02-12,0.898,0.81,0.89,0.81,212282
2020-02-13,0.95,0.824,0.94,0.824,171916
2020-02-14,0.958,0.854,0.93,0.948,413295
2020-02-17,1.025,0.94,0.984,0.942,1103273
2020-02-18,1.04,0.938,1.025,0.946,656781
2020-02-19,1.04,0.96,0.988,1.025,161301
2020-02-20,1.05,0.916,0.916,0.962,434570
2020-02-21,0.996,0.908,0.948,0.908,447507
2020-02-24,0.98,0.9,0.968,0.934,411666
2020-02-25,1.015,0.902,1.01,0.964,235586
2020-02-26,1.015,0.932,0.978,1.015,81173
2020-02-27,1.025,0.928,0.938,0.928,405076
2020-02-28,0.99,0.88,0.91,0.95,466339
2020-03-02,0.936,0.882,0.916,0.9,211105
2020-03-03,1.01,0.86,0.86,0.92,228681
2020-03-04,0.95,0.86,0.95,0.86,265194
2020-03-05,0.976,0.798,0.85,0.95,1117097
2020-03-06,0.84,0.8,0.8,0.84,333634
2020-03-09,0.798,0.654,0.72,0.728,1446233
2020-03-10,0.778,0.6,0.654,0.76,938292
2020-03-11,0.702,0.55,0.606,0.658,978897
