Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.08,2.96,3.02,3.08,32906
2018-06-07,3.14,2.9,3.14,3.0,31484
2018-06-08,3.13,2.93,3.13,3.0,12309
2018-06-11,3.09,2.9,3.09,3.05,45792
2018-06-12,3.09,2.93,3.08,3.09,8499
2018-06-13,3.1,2.9,3.0,2.9,8651
2018-06-14,2.95,2.91,2.95,2.95,12176
2018-06-15,3.14,2.92,3.14,3.0,23750
2018-06-18,3.14,2.98,3.14,3.14,6364
2018-06-19,3.15,3.0,3.13,3.14,66130
2018-06-20,3.1,3.02,3.07,3.1,3218
2018-06-21,3.14,3.0,3.14,3.07,9462
2018-06-25,3.14,3.0,3.09,3.14,10845
2018-06-26,3.29,2.99,3.25,3.08,85989
2018-06-27,3.32,2.98,3.12,2.98,8967
2018-06-28,3.11,3.0,3.08,3.0,1277
2018-06-29,3.31,3.05,3.31,3.05,10555
2018-07-02,3.45,3.03,3.45,3.31,9124
2018-07-03,3.37,3.11,3.37,3.11,2745
2018-07-04,3.22,3.05,3.22,3.13,67836
2018-07-05,3.36,3.01,3.03,3.08,43063
2018-07-06,3.07,3.03,3.07,3.03,2990
2018-07-09,3.1,3.0,3.09,3.1,1273
2018-07-10,3.12,3.08,3.1,3.08,18000
2018-07-11,3.38,3.01,3.01,3.01,30747
2018-07-12,3.16,3.09,3.16,3.15,42527
2018-07-13,3.29,3.16,3.29,3.16,29515
2018-07-16,3.39,3.14,3.27,3.29,29865
2018-07-17,3.44,3.26,3.35,3.27,28616
2018-07-18,3.64,3.22,3.49,3.43,76103
2018-07-19,3.7,3.32,3.7,3.4,67608
2018-07-20,3.85,3.5,3.74,3.75,22447
2018-07-23,4.5,3.75,4.5,3.8,241327
2018-07-24,4.47,4.01,4.32,4.47,64980
2018-07-25,4.3,4.05,4.3,4.3,7254
2018-07-26,4.35,4.05,4.35,4.3,39500
2018-07-27,4.2,4.0,4.18,4.06,114470
2018-07-30,4.2,3.8,4.03,4.2,94999
2018-07-31,4.1,3.89,4.0,4.04,39624
2018-08-01,4.25,4.0,4.24,4.07,72913
2018-08-02,4.34,3.93,4.34,4.24,15762
2018-08-03,4.4,4.06,4.4,4.34,19802
2018-08-06,4.4,4.33,4.33,4.4,9658
2018-08-07,4.84,4.2,4.78,4.2,31869
2018-08-08,4.83,4.26,4.45,4.78,53812
2018-08-09,4.5,4.29,4.5,4.4,32833
2018-08-10,4.5,4.2,4.3,4.5,28146
2018-08-13,4.28,4.06,4.28,4.06,3820
2018-08-14,4.8,4.15,4.7,4.28,13096
2018-08-15,4.66,4.1,4.35,4.66,37675
2018-08-16,4.39,4.2,4.39,4.2,6100
2018-08-17,4.3,4.21,4.3,4.21,2315
2018-08-20,4.49,4.18,4.49,4.4,13521
2018-08-21,4.55,4.4,4.55,4.4,1946
2018-08-22,4.48,4.2,4.45,4.48,16102
