Date,High,Low,Close,Open,Volume
2020-02-20,65.0,54.9,57.51,58.0,1100280
2020-02-21,58.2,54.99,58.15,58.01,353406
2020-02-24,58.5,55.5,56.3,58.1,146598
2020-02-25,57.5,54.7,55.5,56.3,138104
2020-02-26,57.3,54.6,57.0,55.5,241053
2020-02-27,57.7,56.5,57.5,57.0,141254
2020-02-28,56.5,53.5,56.0,56.3,186198
2020-03-02,58.0,54.9,56.0,55.9,88557
2020-03-03,56.6,55.2,55.4,56.0,99505
2020-03-04,56.7,55.4,55.4,55.8,38007
2020-03-05,56.8,55.7,56.7,55.7,23441
2020-03-06,56.9,55.0,55.0,56.9,26985
2020-03-09,54.9,50.1,52.0,54.9,46063
2020-03-10,53.7,52.1,52.1,52.1,24077
2020-03-11,53.2,50.0,53.0,52.1,30133
2020-03-12,50.0,47.0,48.5,50.0,62579
2020-03-13,52.5,47.55,51.8,48.5,50377
2020-03-16,50.0,46.8,48.6,50.0,55157
2020-03-17,51.9,47.85,51.0,51.9,41110
2020-03-18,51.0,48.0,50.0,51.0,40600
2020-03-19,50.7,50.0,50.7,50.0,10779
2020-03-20,51.0,49.8,50.0,50.9,29980
2020-03-23,50.0,46.95,47.25,50.0,45129
2020-03-24,49.95,47.75,49.65,48.9,31652
2020-03-25,50.9,48.85,49.4,50.1,11679
2020-03-26,49.65,48.0,49.0,49.5,16507
2020-03-27,50.0,47.7,48.3,49.5,20175
2020-03-30,49.4,47.8,48.8,49.0,14288
2020-03-31,50.0,48.5,49.7,48.7,14640
2020-04-01,49.7,47.7,49.5,49.0,4191
2020-04-02,49.75,48.5,49.3,49.5,7006
2020-04-03,49.35,48.6,48.9,49.35,5131
2020-04-06,49.55,48.0,49.0,49.0,24694
2020-04-07,49.55,48.65,49.0,49.05,6160
2020-04-08,49.0,47.95,48.0,48.75,15773
2020-04-09,49.5,47.9,48.45,48.05,21339
2020-04-14,50.0,48.45,48.6,49.45,17859
2020-04-15,48.9,47.2,47.35,48.6,16520
2020-04-16,48.0,47.3,47.75,47.45,22266
2020-04-17,48.85,47.75,48.0,47.75,15157
2020-04-20,48.75,47.6,48.0,47.95,31516
2020-04-21,48.4,47.5,47.5,48.4,13186
2020-04-22,49.0,47.55,48.0,47.9,27858
2020-04-23,49.0,47.5,49.0,48.0,33851
