Date,High,Low,Close,Open,Volume
2020-01-02,13.65,13.65,13.65,13.65,3283
2020-01-03,13.3,13.3,13.3,13.3,3000
2020-01-06,13.25,13.0,13.0,13.2,21376
2020-01-07,13.1,13.0,13.0,13.1,14520
2020-01-08,13.1,12.65,12.9,12.85,22187
2020-01-09,13.3,13.0,13.25,13.25,73209
2020-01-10,13.8,13.0,13.35,13.1,26624
2020-01-13,13.7,13.7,13.7,13.7,357858
2020-01-14,13.45,13.05,13.35,13.3,208465
2020-01-15,13.35,13.35,13.35,13.35,0
2020-01-16,13.1,13.0,13.0,13.1,2968
2020-01-17,13.45,13.05,13.45,13.05,23876
2020-01-20,13.8,13.3,13.7,13.3,18375
2020-01-21,13.45,13.25,13.4,13.25,777
2020-01-22,13.75,13.4,13.75,13.4,7469
2020-01-23,15.0,13.5,14.45,13.5,115502
2020-01-24,15.0,13.95,14.45,14.5,91342
2020-01-27,14.65,14.0,14.0,14.1,770
2020-01-28,14.65,13.8,14.65,13.8,72275
2020-01-29,14.5,14.5,14.5,14.5,1216
2020-01-30,14.3,14.0,14.25,14.15,15679
2020-01-31,14.2,14.05,14.05,14.2,2592
2020-02-03,14.2,14.0,14.0,14.1,7752
2020-02-04,14.2,14.2,14.2,14.2,3508
2020-02-05,14.25,14.0,14.15,14.2,31911
2020-02-06,14.0,13.8,13.8,14.0,11640
2020-02-07,14.05,13.6,13.7,14.0,33079
2020-02-10,14.0,13.7,13.75,13.85,105360
2020-02-11,13.9,13.75,13.75,13.9,7046
2020-02-12,13.8,13.75,13.75,13.8,12607
2020-02-13,13.75,13.6,13.6,13.75,65292
2020-02-14,13.8,13.6,13.8,13.65,8392
2020-02-17,14.05,13.8,14.0,13.8,18200
2020-02-18,13.8,13.6,13.8,13.65,15195
2020-02-19,13.8,13.8,13.8,13.8,0
2020-02-20,13.55,13.4,13.55,13.4,831
2020-02-21,13.45,13.2,13.35,13.45,19808
2020-02-24,13.1,13.0,13.0,13.1,7403
2020-02-25,13.0,13.0,13.0,13.0,379
2020-02-26,12.7,12.2,12.3,12.7,50267
2020-02-27,12.65,11.6,11.95,12.3,15859
2020-02-28,11.75,11.5,11.6,11.75,8366
2020-03-02,11.85,11.5,11.5,11.85,781
2020-03-03,11.8,11.35,11.8,11.75,3463
2020-03-04,11.5,11.5,11.5,11.5,1026
2020-03-05,11.4,11.05,11.4,11.4,3657
2020-03-06,11.35,11.1,11.2,11.1,19000
2020-03-09,10.9,10.2,10.25,10.8,47700
2020-03-10,11.3,10.55,10.95,11.0,3058
2020-03-11,10.85,10.2,10.8,10.2,5988
2020-03-12,10.1,10.1,10.1,10.1,16343
2020-03-13,10.9,9.76,10.9,10.15,14215
2020-03-16,10.9,10.9,10.9,10.9,0
2020-03-17,9.8,8.5,8.78,9.8,25042
2020-03-18,9.98,8.1,8.1,9.98,5054
2020-03-19,9.0,7.5,9.0,9.0,32777
2020-03-20,9.0,7.72,8.86,9.0,7909
2020-03-23,8.86,7.68,8.18,7.68,36349
2020-03-24,8.98,8.16,8.64,8.4,43586
2020-03-25,9.16,8.3,9.1,9.0,13660
2020-03-26,9.58,8.86,9.58,9.1,24496
2020-03-27,9.0,8.86,9.0,8.86,35037
2020-03-30,9.0,8.68,8.68,9.0,3052
2020-03-31,9.58,8.68,8.98,8.68,2416
2020-04-01,8.96,8.82,8.9,8.96,263
2020-04-02,9.0,8.66,8.96,8.94,13968
2020-04-03,8.9,8.54,8.62,8.54,7119
2020-04-06,9.58,8.98,9.48,9.0,28083
2020-04-07,9.6,9.04,9.6,9.48,121991
2020-04-08,10.4,9.2,9.3,10.4,31274
2020-04-09,9.3,9.3,9.3,9.3,0
2020-04-14,9.66,9.42,9.42,9.58,65289
2020-04-15,9.44,9.16,9.44,9.16,1200
2020-04-16,9.52,9.38,9.44,9.52,11871
2020-04-17,9.98,9.6,9.98,9.6,29546
2020-04-20,9.72,9.3,9.3,9.72,1426
2020-04-21,9.64,9.2,9.52,9.24,18734
2020-04-22,9.56,9.5,9.56,9.5,4632
2020-04-23,9.7,9.2,9.7,9.2,1855
2020-04-24,9.7,9.32,9.32,9.7,1140
2020-04-27,9.88,9.0,9.88,9.0,1127
2020-04-28,10.0,9.82,10.0,9.82,2090
