Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,201.7,198.8,198.8,200.2,889578
2018-06-07,202.9,199.25,201.7,200.7,1363863
2018-06-08,203.3,199.25,200.3,201.2,877607
2018-06-11,202.6,199.8,201.3,201.0,666214
2018-06-12,202.5,199.6,199.6,202.0,547382
2018-06-13,200.5,197.55,199.9,199.3,668725
2018-06-14,201.6,197.6,200.6,198.75,485520
2018-06-15,202.4,199.55,199.55,200.3,787566
2018-06-18,199.2,196.65,197.7,199.15,602258
2018-06-19,196.6,192.95,193.7,196.0,890341
2018-06-20,195.5,193.0,193.55,193.55,632240
2018-06-21,193.5,189.25,191.8,193.15,1104639
2018-06-25,192.1,189.5,189.5,191.8,619977
2018-06-26,191.65,187.9,188.95,189.9,831472
2018-06-27,191.0,185.4,188.75,188.35,1146730
2018-06-28,189.55,183.7,186.35,188.15,782208
2018-06-29,191.3,187.65,191.3,187.65,930421
2018-07-02,189.7,186.0,187.1,189.7,521186
2018-07-03,188.55,185.45,185.7,187.9,550745
2018-07-04,185.7,182.35,183.05,185.25,669577
2018-07-05,185.7,182.45,183.45,183.05,721697
2018-07-06,183.7,181.35,182.3,183.35,589312
2018-07-09,184.75,182.35,184.75,182.45,675346
2018-07-10,185.65,184.1,185.1,185.1,587254
2018-07-11,182.6,178.65,178.65,182.0,1580199
2018-07-12,180.35,178.05,179.7,178.5,621114
2018-07-13,181.4,180.0,180.8,180.15,664041
2018-07-16,184.5,180.3,183.65,180.4,581925
2018-07-17,182.75,176.8,177.5,182.75,1562784
2018-07-18,181.15,177.65,181.0,178.5,931249
2018-07-19,182.65,179.45,181.55,181.1,934936
2018-07-20,184.5,175.05,178.75,184.5,941748
2018-07-23,179.2,176.65,179.1,178.4,617970
2018-07-24,181.4,178.6,180.5,179.1,917323
2018-07-25,181.9,179.2,180.2,180.55,614981
2018-07-26,183.35,181.35,182.0,181.9,726973
2018-07-27,182.7,180.85,182.7,182.45,560248
2018-07-30,183.75,181.3,182.35,182.55,563328
2018-07-31,183.05,180.85,183.0,182.5,513338
2018-08-01,183.05,181.15,181.5,182.95,543206
2018-08-02,181.45,178.95,180.75,181.25,630221
2018-08-03,184.3,180.8,182.1,180.8,360338
2018-08-06,182.9,180.7,182.8,182.0,807150
2018-08-07,186.2,182.95,185.2,182.95,685446
2018-08-08,186.65,184.5,186.35,185.25,530107
2018-08-09,186.75,185.05,186.1,186.35,401848
2018-08-10,185.25,181.95,182.9,185.0,443503
2018-08-13,182.9,180.85,181.55,182.9,406056
2018-08-14,182.35,178.55,179.25,181.4,518463
2018-08-15,180.3,173.4,174.3,179.5,640204
2018-08-16,177.9,175.0,176.35,175.0,903891
2018-08-17,176.95,175.1,176.35,176.65,573243
2018-08-20,177.9,175.05,177.0,176.5,778917
2018-08-21,180.1,176.5,179.1,176.6,1441054
2018-08-22,180.45,178.1,178.85,179.15,803641
2018-08-23,178.85,176.05,176.65,178.65,549888
2018-08-24,177.45,175.65,177.0,176.6,527124
2018-08-27,179.5,176.85,179.5,177.45,536763
2018-08-28,182.5,179.65,181.8,179.75,569827
2018-08-29,182.65,180.7,182.65,181.8,822071
2018-08-30,182.65,180.8,181.45,182.65,421305
2018-08-31,181.45,178.0,178.7,181.05,638865
2018-09-03,179.0,177.75,178.6,178.8,376860
2018-09-04,179.75,177.55,178.0,179.2,899785
2018-09-05,178.15,176.25,176.3,178.15,888185
2018-09-06,177.6,174.8,176.2,176.05,928104
2018-09-07,176.95,173.5,174.4,176.45,980447
2018-09-10,175.7,174.0,174.7,174.1,501959
2018-09-11,174.6,171.85,173.05,174.6,539551
2018-09-12,178.75,173.05,176.85,173.05,1040286
2018-09-13,178.35,176.35,177.9,176.6,515930
2018-09-14,179.35,178.0,179.15,178.5,419799
2018-09-17,179.4,177.7,179.0,179.15,350973
2018-09-18,179.95,177.8,178.85,179.05,789964
2018-09-19,183.05,179.1,182.55,179.1,750807
2018-09-20,185.7,182.65,185.6,182.65,732297
2018-09-21,192.0,187.75,189.1,192.0,1426595
2018-09-24,189.5,186.0,186.85,189.35,775689
2018-09-25,188.0,185.55,185.95,187.0,489099
2018-09-26,187.2,183.35,184.65,187.2,474901
2018-09-27,184.3,182.05,183.25,184.05,569288
2018-09-28,183.55,180.25,181.25,183.4,624804
2018-10-01,178.9,174.55,175.95,177.85,1324935
2018-10-02,177.05,174.15,176.95,175.95,624042
2018-10-03,178.2,176.1,178.05,177.05,514527
2018-10-04,177.65,174.75,175.45,177.45,508908
2018-10-05,175.55,172.4,172.75,175.4,513021
2018-10-08,172.7,169.95,170.4,172.35,445822
2018-10-09,171.95,168.45,170.4,170.25,664758
2018-10-10,171.0,164.65,165.35,171.0,883373
2018-10-11,164.8,160.15,162.5,162.05,1051529
2018-10-12,165.55,160.5,160.8,163.5,797812
2018-10-15,160.65,156.75,159.45,160.05,732927
2018-10-16,163.65,158.9,162.65,159.1,853771
2018-10-17,164.85,160.0,160.8,163.05,872999
2018-10-18,161.05,158.15,159.4,160.8,586596
2018-10-19,160.0,152.7,153.75,159.45,1111406
2018-10-22,156.0,151.85,152.1,154.4,657080
2018-10-23,150.35,148.25,149.4,150.2,768671
2018-10-24,151.0,146.05,148.3,149.95,803524
2018-10-25,151.45,146.45,150.2,146.8,638525
2018-10-26,152.5,146.6,152.0,149.3,1587488
2018-10-29,158.15,151.65,156.95,151.95,1032741
2018-10-30,157.75,154.95,157.75,157.05,1033821
2018-10-31,167.85,158.9,165.3,164.0,1831310
2018-11-01,165.05,159.0,161.15,165.05,1314338
2018-11-02,166.0,163.25,164.3,163.35,658898
2018-11-05,165.2,161.8,162.05,165.05,710530
2018-11-06,163.9,161.5,162.15,162.05,433382
2018-11-07,164.45,160.35,160.75,163.45,605334
2018-11-08,163.85,160.1,161.35,161.15,532289
2018-11-09,161.45,157.9,158.05,160.35,349030
2018-11-12,160.1,155.6,155.9,158.05,427830
2018-11-13,158.25,155.3,157.55,156.9,407323
2018-11-14,159.15,154.1,157.7,155.35,598037
2018-11-15,160.0,154.9,155.45,157.7,523020
2018-11-16,158.2,154.25,155.0,155.85,442237
2018-11-19,157.65,153.4,154.1,155.35,475061
2018-11-20,153.7,150.3,152.05,153.0,793217
2018-11-21,155.3,151.6,154.9,152.75,648336
2018-11-22,155.55,153.7,154.45,155.0,458209
2018-11-23,156.95,152.9,154.3,154.5,348003
2018-11-26,157.5,154.85,157.3,154.95,484383
2018-11-27,157.3,153.6,154.5,157.3,1060081
2018-11-28,155.95,153.6,154.3,154.9,996414
2018-11-29,158.0,155.45,155.95,155.45,610561
2018-11-30,157.05,152.9,155.3,157.0,960249
2018-12-03,161.7,157.2,158.3,157.2,827756
2018-12-04,158.7,153.85,153.9,158.7,687643
2018-12-05,153.0,147.15,147.35,153.0,698999
2018-12-06,146.0,140.2,140.2,146.0,726437
2018-12-07,142.45,140.25,140.4,140.75,506831
2018-12-10,140.1,137.7,137.85,140.05,513352
2018-12-11,142.7,138.35,141.55,138.35,1153415
2018-12-12,146.3,140.7,146.3,142.45,1180143
2018-12-13,147.3,144.25,144.75,146.7,850829
2018-12-14,143.35,140.5,142.1,142.9,528795
2018-12-17,142.0,137.65,139.4,141.55,671254
2018-12-18,140.9,137.8,139.55,138.85,556687
2018-12-19,139.7,136.45,139.2,139.2,733431
2018-12-20,139.35,134.7,138.55,138.1,892058
2018-12-21,139.95,136.85,137.6,138.4,999903
2018-12-27,139.4,135.3,135.7,137.45,743535
2018-12-28,140.6,136.15,139.35,136.15,532490
2019-01-02,138.5,135.25,137.1,138.5,412887
2019-01-03,137.95,135.5,135.7,136.0,440940
2019-01-04,140.9,136.1,140.55,136.1,452459
2019-01-07,143.85,140.45,143.65,141.0,1016378
2019-01-08,146.45,143.45,145.0,144.0,908977
2019-01-09,149.5,145.15,148.45,146.35,622243
2019-01-10,148.0,142.25,147.4,147.85,1082204
2019-01-11,148.95,145.8,146.35,147.7,562367
2019-01-14,146.85,144.05,146.2,145.25,428918
2019-01-15,148.5,145.8,146.15,147.0,429838
2019-01-16,149.75,145.8,149.45,146.15,543250
2019-01-17,150.05,147.85,148.95,150.05,438377
2019-01-18,153.1,148.95,153.0,149.8,689645
2019-01-21,153.35,150.65,151.1,153.05,321860
2019-01-22,151.6,148.85,149.9,150.0,509548
2019-01-23,149.9,146.6,146.9,149.9,365196
2019-01-24,147.85,145.15,146.85,146.4,543663
2019-01-25,152.45,147.35,152.3,147.5,497274
2019-01-28,153.1,150.15,150.9,152.3,495030
2019-01-29,154.15,150.0,153.25,151.0,698637
2019-01-30,154.6,152.7,153.85,152.8,410035
2019-01-31,156.3,151.2,152.05,154.5,668393
2019-02-01,154.2,152.25,153.55,153.2,502309
2019-02-04,154.3,152.3,152.65,153.55,385980
2019-02-05,153.75,150.5,153.2,152.65,364761
2019-02-06,156.15,152.75,155.6,153.0,402419
2019-02-07,155.15,152.3,152.3,154.95,468835
2019-02-08,154.45,151.35,152.35,152.3,515844
2019-02-11,155.3,153.0,154.85,153.2,627114
2019-02-12,159.15,155.1,158.0,155.1,1264978
2019-02-13,151.45,146.2,148.0,146.85,2803596
2019-02-14,154.95,150.3,153.1,151.55,1437241
2019-02-15,157.65,152.7,157.3,153.1,995200
2019-02-18,158.8,156.6,157.85,157.7,569599
2019-02-19,156.75,153.95,154.95,156.1,808383
2019-02-20,157.2,155.0,157.2,155.0,534786
2019-02-21,157.95,155.75,156.75,157.2,363467
2019-02-22,158.3,156.85,157.0,157.0,330615
2019-02-25,158.1,155.2,156.45,158.0,511330
2019-02-26,156.0,153.4,155.4,156.0,454836
2019-02-27,155.0,152.45,153.0,154.3,394315
2019-02-28,153.0,150.55,151.75,153.0,548154
2019-03-01,154.1,151.85,152.55,152.5,841700
2019-03-04,154.75,152.45,153.85,152.5,719877
2019-03-05,154.05,151.05,153.8,153.85,1039428
2019-03-06,154.85,151.2,153.8,153.2,1731531
2019-03-07,153.5,146.8,147.55,153.5,820102
2019-03-08,146.75,143.7,146.3,146.75,643598
2019-03-11,150.8,147.5,150.3,148.0,882864
2019-03-12,152.65,149.85,151.0,150.3,883955
2019-03-13,152.65,149.5,152.5,151.0,642266
2019-03-14,154.15,152.0,153.65,152.8,965533
2019-03-15,155.95,153.1,155.4,153.75,1200686
2019-03-18,157.55,155.05,155.3,155.65,676707
2019-03-19,158.7,155.6,158.05,156.0,749354
2019-03-20,157.9,155.35,155.7,157.45,611960
2019-03-21,156.6,154.15,156.0,155.7,489966
2019-03-22,157.35,150.35,150.35,156.95,588427
2019-03-25,150.2,147.6,149.1,149.95,396959
2019-03-26,151.35,147.7,148.45,150.0,1026820
2019-03-27,150.9,148.2,149.0,148.45,617437
2019-03-28,145.6,143.55,144.25,145.0,1408212
2019-03-29,147.0,143.3,143.95,144.3,1316443
2019-04-01,148.0,145.25,148.0,145.25,1696787
2019-04-02,150.15,147.45,148.45,148.0,1050163
2019-04-03,154.55,149.65,153.95,149.65,1915658
2019-04-04,154.1,151.9,152.95,154.0,742472
2019-04-05,156.6,152.95,156.25,153.0,788784
2019-04-08,156.5,154.1,155.15,156.3,620626
2019-04-09,157.6,154.85,155.25,155.15,645110
2019-04-10,156.45,153.7,155.15,155.0,626995
2019-04-11,153.2,149.5,151.5,152.7,1230452
2019-04-12,155.45,151.7,154.6,151.7,1340977
2019-04-15,156.35,154.5,155.85,155.0,784525
2019-04-16,156.5,154.6,155.0,155.5,998978
2019-04-17,156.9,154.95,156.35,155.15,479970
2019-04-18,158.6,155.25,157.8,156.85,405849
2019-04-23,158.75,156.5,158.75,157.8,590285
2019-04-24,159.15,157.9,159.15,158.9,605755
2019-04-25,163.2,158.15,162.45,158.5,1326265
2019-04-26,168.6,159.45,162.15,160.0,1946314
2019-04-29,163.9,158.4,159.9,162.0,1075562
2019-04-30,160.5,156.95,157.0,160.4,583417
2019-05-02,157.1,151.35,152.25,157.0,1409190
2019-05-03,152.9,151.4,152.0,152.35,912546
2019-05-06,149.85,147.1,148.3,149.85,654717
2019-05-07,150.0,143.3,143.8,148.9,1122808
2019-05-08,146.35,143.5,144.65,143.8,712400
2019-05-09,143.25,140.6,140.6,143.2,754840
2019-05-10,143.6,140.05,140.8,141.2,501572
2019-05-13,140.85,136.7,137.75,140.85,772543
2019-05-14,139.9,137.0,138.6,138.5,622606
2019-05-15,140.55,136.3,138.65,139.2,911699
2019-05-16,140.55,137.75,140.25,138.7,1111104
2019-05-17,140.15,136.95,138.05,140.15,693662
2019-05-20,140.0,134.6,136.75,139.95,1079409
2019-05-21,138.15,136.45,137.55,137.05,1128979
2019-05-22,137.85,135.8,136.2,137.55,693720
2019-05-23,136.05,131.55,131.55,136.0,1275594
2019-05-24,134.05,131.9,132.5,131.9,946065
2019-05-27,134.05,132.05,132.6,133.3,381252
2019-05-28,134.25,131.55,132.1,133.1,1320966
2019-05-29,131.1,129.15,129.3,131.0,624648
2019-05-31,128.85,125.25,126.4,128.85,1615508
2019-06-03,127.2,124.5,127.05,126.35,1184536
2019-06-04,129.5,125.7,129.15,126.7,1111159
2019-06-05,129.95,126.5,127.15,129.95,1479117
