Date,High,Low,Close,Open,Volume
2020-01-03,51.4,51.0,51.0,51.4,1266
2020-01-07,55.0,51.0,53.2,51.0,85124
2020-01-08,54.6,53.2,53.2,53.2,389
2020-01-09,54.6,53.2,54.2,53.2,986
2020-01-10,54.4,52.4,53.8,54.4,212
2020-01-13,53.2,51.0,52.2,51.2,8279
2020-01-14,54.0,51.2,54.0,51.2,603
2020-01-15,53.8,51.2,53.4,51.2,171
2020-01-16,52.2,52.0,52.0,52.0,102
2020-01-17,52.0,51.2,51.6,52.0,213
2020-01-20,52.0,51.6,52.0,51.6,681
2020-01-21,51.8,51.0,51.8,51.2,430
2020-01-22,51.8,51.8,51.8,51.8,55
2020-01-23,51.8,51.0,51.0,51.2,3567
2020-01-24,53.0,51.0,51.8,53.0,934
2020-01-27,51.8,51.0,51.4,51.8,618
2020-01-28,52.4,50.2,50.8,50.2,276
2020-01-29,51.4,50.6,50.6,50.8,2036
2020-01-30,50.4,50.4,50.4,50.4,64
2020-01-31,50.8,50.2,50.2,50.4,396
2020-02-03,50.4,50.0,50.0,50.2,1618
2020-02-04,50.8,50.0,50.2,50.2,612
2020-02-05,50.0,50.0,50.0,50.0,1592
2020-02-06,51.2,50.4,50.6,50.4,1045
2020-02-07,51.0,50.2,50.2,50.4,223
2020-02-10,50.4,49.2,50.0,50.2,4636
2020-02-11,52.4,50.8,51.0,50.8,1442
2020-02-12,51.0,50.2,51.0,50.2,447
2020-02-13,55.6,52.6,54.4,52.6,84074
2020-02-14,56.0,53.2,55.6,56.0,90479
2020-02-17,57.4,51.8,55.0,56.0,4764
2020-02-18,56.8,53.2,53.6,56.0,3499
2020-02-19,54.0,52.2,53.2,54.0,1192
2020-02-20,52.6,52.4,52.6,52.4,177
2020-02-21,53.8,52.2,53.8,52.2,171
2020-02-24,52.8,51.2,52.8,52.2,2801
2020-02-25,53.0,52.2,52.2,53.0,426
2020-02-26,52.0,51.0,51.0,52.0,3109
2020-02-27,56.0,51.0,54.0,51.0,10858
2020-02-28,56.8,51.0,52.0,54.0,28742
