Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,71.0,71.0,71.0,71.0,100
2018-06-07,71.0,69.6,70.4,71.0,27411
2018-06-08,70.2,68.4,70.0,70.2,22561
2018-06-11,70.8,69.0,70.8,70.0,129583
2018-06-12,71.4,70.6,71.4,70.6,4908
2018-06-13,71.2,70.0,71.0,71.2,2457
2018-06-14,72.0,70.4,71.2,71.0,3161
2018-06-15,72.0,70.8,72.0,71.8,2383
2018-06-18,77.0,72.2,73.8,72.2,91043
2018-06-19,74.8,70.2,70.4,74.0,5458
2018-06-20,74.0,70.6,73.6,70.6,5193
2018-06-21,73.6,71.6,73.2,73.6,3694
2018-06-25,73.2,71.0,71.6,73.2,6686
2018-06-26,72.2,70.4,71.8,71.2,46567
2018-06-27,73.0,71.4,71.4,72.8,2460
2018-06-28,71.4,70.2,71.0,71.4,1750
2018-06-29,72.0,70.2,72.0,70.2,11423
2018-07-02,74.2,70.0,70.0,74.0,14158
2018-07-03,72.0,70.0,70.0,70.4,9047
2018-07-04,71.8,70.2,71.0,70.2,41801
2018-07-05,71.2,70.6,70.6,71.2,4999
2018-07-06,72.0,70.0,70.0,70.2,74822
2018-07-09,70.2,69.8,70.0,70.2,13573
2018-07-10,70.6,69.2,69.8,69.2,16461
2018-07-11,70.0,69.8,69.8,69.8,1540
2018-07-12,72.0,69.6,69.8,72.0,1960
2018-07-13,70.6,69.8,69.8,69.8,3361
2018-07-16,70.8,69.0,70.0,69.0,20399
2018-07-17,70.0,69.2,70.0,69.2,2903
2018-07-18,70.4,70.0,70.0,70.4,1169
2018-07-19,70.4,69.4,69.6,69.6,7117
2018-07-20,70.0,69.6,69.8,69.6,2241
2018-07-23,70.2,69.2,69.6,69.4,3159
2018-07-24,69.6,69.6,69.6,69.6,7371
2018-07-25,70.0,69.4,69.4,70.0,3188
2018-07-26,69.6,69.0,69.2,69.2,3802
2018-07-27,69.8,69.2,69.4,69.8,7554
2018-07-30,70.0,69.2,69.2,70.0,2350
2018-07-31,72.8,69.0,70.0,69.2,1087
2018-08-01,71.8,69.2,69.2,71.8,529
2018-08-02,70.8,69.2,69.2,69.4,5610
2018-08-03,69.8,69.0,69.8,69.0,5690
2018-08-06,69.8,69.4,69.4,69.8,2861
