Date,High,Low,Close,Open,Volume
2020-01-02,125.8,120.8,125.8,120.8,17708
2020-01-03,126.8,123.8,124.2,126.8,13007
2020-01-07,123.8,121.0,122.0,122.0,28592
2020-01-08,123.2,120.0,122.4,121.0,47393
2020-01-09,124.6,120.4,123.6,122.4,46333
2020-01-10,124.0,122.2,123.2,122.2,14937
2020-01-13,124.0,123.2,123.4,124.0,14272
2020-01-14,124.8,122.2,124.6,124.0,12466
2020-01-15,128.6,124.0,128.0,124.0,14641
2020-01-16,130.6,126.0,129.4,128.0,31590
2020-01-17,131.6,128.4,130.4,130.4,28057
2020-01-20,140.0,130.4,138.6,132.0,41271
2020-01-21,138.6,134.6,134.6,138.6,11665
2020-01-22,137.0,128.2,129.6,136.0,271384
2020-01-23,132.8,127.2,132.0,129.6,24905
2020-01-24,135.6,132.2,134.8,133.8,62473
2020-01-27,134.8,128.4,128.4,134.8,18454
2020-01-28,134.8,127.0,132.4,128.4,83714
2020-01-29,134.4,130.6,132.2,132.4,76419
2020-01-30,132.8,128.8,129.6,132.4,13404
2020-01-31,132.6,130.0,130.6,131.2,119255
2020-02-03,130.2,125.4,126.4,130.0,40466
2020-02-04,129.6,125.0,125.4,129.0,55762
2020-02-05,132.0,126.0,129.4,126.0,38989
2020-02-06,131.6,126.8,130.2,131.6,23686
2020-02-07,131.8,122.0,122.0,131.8,32523
2020-02-10,129.4,116.0,118.0,125.0,742418
2020-02-11,124.8,115.0,123.2,118.2,101918
2020-02-12,129.6,121.4,129.6,123.0,71798
2020-02-13,138.2,127.2,137.0,129.6,129676
2020-02-14,139.0,129.4,132.6,137.0,177572
2020-02-17,137.2,132.6,137.2,134.8,53672
2020-02-18,137.2,133.0,134.8,135.0,721305
2020-02-19,139.8,134.0,139.6,134.2,337504
2020-02-20,147.4,139.0,140.4,139.8,60344
2020-02-21,142.6,136.8,139.2,141.4,43373
2020-02-24,139.0,131.2,135.0,139.0,148498
2020-02-25,137.0,128.6,130.2,137.0,297160
2020-02-26,131.0,122.0,131.0,128.0,33859
2020-02-27,128.0,121.8,124.2,128.0,134989
2020-02-28,122.8,118.0,122.4,120.0,75913
2020-03-02,126.2,116.8,119.6,122.6,82446
2020-03-03,124.8,118.2,118.2,121.4,41586
2020-03-04,120.6,115.4,115.4,120.6,40558
2020-03-05,119.0,112.8,113.2,117.0,29954
2020-03-06,113.2,109.2,112.0,113.2,60880
2020-03-09,109.0,104.2,107.0,107.2,74280
2020-03-10,111.4,105.0,107.0,107.0,47418
2020-03-11,108.2,102.2,103.8,107.0,97511
2020-03-12,99.9,90.1,93.0,99.9,359133
2020-03-13,98.1,87.2,88.0,92.0,110698
2020-03-16,89.4,78.7,84.4,81.0,195416
2020-03-17,90.0,79.1,88.3,85.4,82228
2020-03-18,89.9,78.8,84.1,88.3,62791
2020-03-19,90.0,80.7,84.5,84.1,27622
2020-03-20,89.2,78.6,78.6,85.0,92320
2020-03-23,78.6,71.0,71.9,76.0,64397
2020-03-24,84.9,75.0,82.0,84.9,33691
2020-03-25,89.5,83.0,85.6,83.2,56031
2020-03-26,92.7,83.0,91.3,84.0,60101
2020-03-27,93.0,88.9,89.2,92.0,48612
2020-03-30,89.2,85.0,86.6,89.2,25350
2020-03-31,92.0,87.4,91.8,87.4,136775
2020-04-01,92.3,87.0,88.3,91.8,26545
2020-04-02,89.1,86.0,89.0,88.4,53448
2020-04-03,90.0,86.7,88.0,90.0,24634
2020-04-06,96.3,89.0,93.0,89.0,51495
2020-04-07,108.2,94.1,104.0,94.1,195964
2020-04-08,108.2,102.2,107.4,105.0,31928
2020-04-09,110.6,104.8,106.0,108.0,23562
2020-04-14,108.8,105.4,108.8,107.0,68321
2020-04-15,108.8,103.6,108.8,106.4,41609
2020-04-16,109.6,102.2,102.6,109.0,103721
2020-04-17,107.2,104.0,105.4,104.2,156547
2020-04-20,105.6,102.0,102.0,105.6,193711
2020-04-21,103.0,95.2,95.3,102.2,81562
2020-04-22,105.0,94.1,96.9,97.5,37940
2020-04-23,101.0,94.0,100.6,96.9,142770
2020-04-24,101.0,97.4,99.9,100.4,148325
2020-04-27,113.4,103.6,103.6,105.0,167021
2020-04-28,107.6,104.0,106.0,104.0,89888
2020-04-29,114.4,104.2,113.0,105.8,59373
2020-04-30,114.8,107.2,112.8,110.4,29072
2020-05-04,112.0,105.0,107.6,112.0,55380
2020-05-05,111.8,107.2,110.2,107.6,15752
2020-05-06,114.0,108.4,109.8,108.4,10580
2020-05-07,113.0,110.2,111.8,112.0,19819
2020-05-08,115.0,111.8,114.0,111.8,11169
2020-05-11,115.0,109.8,114.0,115.0,20037
2020-05-12,117.0,111.8,116.0,112.0,33584
2020-05-13,114.4,111.6,112.6,112.2,21009
2020-05-14,113.2,107.8,110.8,113.2,24594
2020-05-15,114.2,109.4,113.2,110.2,43389
2020-05-18,120.0,113.4,116.2,113.4,21652
2020-05-19,120.2,114.2,120.2,118.6,26956
2020-05-20,123.8,118.0,122.2,120.2,19595
2020-05-22,125.0,117.6,123.4,122.8,27130
2020-05-25,132.4,123.0,130.0,124.8,56228
2020-05-26,133.0,128.0,132.0,130.4,41074
2020-05-27,134.6,129.4,134.0,132.2,133221
2020-05-28,137.0,127.8,127.8,135.2,38479
2020-05-29,141.0,125.6,141.0,125.6,69951
2020-06-01,142.6,134.2,138.6,140.6,51802
2020-06-02,144.4,136.6,138.6,138.6,34457
2020-06-03,139.0,133.0,136.0,138.6,273619
2020-06-04,136.2,129.4,133.0,136.2,640070
2020-06-05,133.6,130.0,130.8,133.0,504984
2020-06-08,135.4,128.2,135.4,130.8,131077
2020-06-09,135.8,131.2,135.4,134.8,18481
2020-06-10,141.2,135.4,138.2,135.4,94828
2020-06-11,138.4,133.0,136.0,138.4,47710
2020-06-12,136.0,128.6,132.0,136.0,78771
2020-06-15,134.6,123.8,132.2,125.6,587651
2020-06-16,144.4,136.4,142.0,137.4,41599
2020-06-17,146.8,140.6,144.4,142.0,107241
2020-06-18,147.8,138.6,138.6,143.0,116688
2020-06-22,141.2,134.4,140.0,138.0,31382
2020-06-23,143.0,140.0,140.8,140.2,127829
2020-06-24,145.2,138.6,138.6,141.4,145365
2020-06-25,140.6,135.2,138.4,138.6,190002
2020-06-26,145.4,138.4,142.6,141.0,55438
2020-06-29,144.0,139.8,142.0,144.0,75783
2020-06-30,149.0,142.0,146.2,143.2,84897
2020-07-01,149.2,143.2,144.8,146.2,37490
2020-07-02,147.2,142.2,144.2,144.8,23497
2020-07-03,147.0,144.2,146.0,146.2,39398
2020-07-06,149.0,144.8,148.6,146.2,63840
2020-07-07,153.0,147.8,150.6,148.8,59438
2020-07-08,154.8,149.6,150.4,151.0,48151
2020-07-09,152.4,148.6,149.4,151.6,21270
2020-07-10,151.0,147.8,149.0,150.0,23220
2020-07-13,152.4,148.0,151.2,149.0,21119
2020-07-14,156.6,149.4,156.2,151.2,84276
2020-07-15,164.4,156.4,160.0,158.0,21012
2020-07-16,161.2,155.0,158.0,161.2,61140
2020-07-17,165.6,159.4,165.6,160.0,37281
2020-07-20,167.4,163.0,166.2,165.6,36765
2020-07-21,168.4,160.0,163.0,168.0,44411
2020-07-22,168.2,162.6,167.4,163.0,37165
2020-07-23,171.0,165.6,170.0,167.4,22031
2020-07-24,170.0,162.6,167.4,170.0,27769
2020-07-27,173.8,165.0,173.8,167.4,64057
2020-07-28,176.4,171.0,174.2,173.8,28989
2020-07-29,176.0,172.4,174.8,174.2,21201
2020-07-30,175.8,168.0,169.0,174.8,28360
2020-07-31,171.0,164.6,165.6,169.0,26822
2020-08-03,172.8,165.6,172.2,165.6,39287
2020-08-04,174.2,167.4,168.8,172.2,24705
2020-08-05,170.8,166.4,169.0,168.8,31252
2020-08-06,170.0,163.2,166.4,169.0,52164
2020-08-07,165.2,160.4,161.8,164.0,50946
2020-08-10,167.4,157.2,166.0,160.0,68228
2020-08-11,168.8,164.0,165.6,164.0,92883
2020-08-12,170.2,162.6,170.2,166.0,42839
2020-08-13,173.8,165.2,173.2,170.4,71244
2020-08-14,175.0,166.0,166.0,173.4,48763
2020-08-17,173.8,167.0,173.6,168.8,81959
2020-08-18,179.4,171.4,177.2,173.8,64607
2020-08-19,180.0,176.8,178.2,179.4,62994
2020-08-20,177.8,174.4,176.8,177.0,26781
2020-08-21,184.6,177.8,183.6,177.8,56319
2020-08-24,186.8,170.2,171.8,184.0,121649
2020-08-25,173.4,166.6,168.8,172.0,100923
2020-08-26,170.8,167.0,169.4,169.4,56661
2020-08-27,170.8,167.4,168.4,169.6,54109
2020-08-28,169.6,166.2,168.4,168.4,76859
2020-08-31,171.4,166.2,168.0,168.4,30506
2020-09-01,168.8,163.2,164.4,166.6,75286
2020-09-02,172.0,164.0,172.0,164.0,52228
2020-09-03,172.0,163.4,163.4,171.8,69119
2020-09-04,168.2,158.2,160.8,163.4,114342
2020-09-07,168.0,161.0,166.2,161.0,37995
2020-09-08,167.4,161.0,164.4,166.0,45176
2020-09-09,167.2,162.8,166.0,163.0,81273
2020-09-10,167.6,161.8,163.4,166.0,47382
2020-09-11,164.4,161.2,162.8,162.0,52736
2020-09-14,167.4,161.0,163.8,161.0,55827
2020-09-15,170.2,163.0,167.8,163.4,101622
2020-09-16,170.8,167.2,168.4,169.8,31954
2020-09-17,169.4,163.6,164.6,168.0,42228
2020-09-18,173.4,165.6,168.6,166.4,151809
2020-09-21,169.0,163.2,164.8,168.6,58958
2020-09-22,168.0,160.6,165.2,165.0,45208
2020-09-23,166.4,160.8,161.6,165.2,28626
2020-09-24,162.8,157.6,161.4,161.6,95665
2020-09-25,164.0,159.4,164.0,161.4,76846
2020-09-28,167.6,164.0,166.6,164.0,205112
2020-09-29,167.0,165.2,165.8,167.0,175171
2020-09-30,170.6,165.6,168.8,165.8,90095
2020-10-01,171.8,168.2,169.8,171.8,83323
2020-10-02,170.4,166.4,170.4,169.2,37485
2020-10-05,173.6,168.0,169.8,172.0,57031
2020-10-06,170.4,165.8,167.4,169.8,58602
2020-10-07,169.6,167.2,167.8,167.4,48042
2020-10-08,170.4,166.4,166.4,167.8,38032
2020-10-09,173.0,166.4,172.2,166.6,96613
2020-10-12,176.4,171.6,176.2,172.2,121433
2020-10-13,177.0,171.2,171.4,176.2,36767
2020-10-14,174.6,170.6,171.6,174.0,22890
2020-10-15,171.6,167.4,169.0,171.6,43725
2020-10-16,173.0,166.6,170.4,166.6,37976
2020-10-19,172.0,164.0,164.2,170.0,29391
2020-10-20,168.0,164.0,165.4,164.2,46161
2020-10-21,167.4,160.4,162.2,165.2,43321
2020-10-22,164.4,159.2,164.0,161.8,33164
2020-10-23,167.2,162.4,163.6,167.2,38760
2020-10-26,163.6,158.0,158.8,163.6,47511
2020-10-27,161.8,154.8,161.8,160.2,64937
2020-10-28,163.4,151.0,151.6,162.0,102519
2020-10-29,150.6,141.4,142.6,148.0,82658
2020-10-30,145.8,142.2,145.0,143.0,49123
2020-11-02,148.2,141.0,146.8,145.0,60992
2020-11-03,159.0,141.0,151.4,147.0,42749
2020-11-04,162.4,149.6,162.2,152.8,148129
2020-11-05,165.4,156.8,163.4,162.2,106364
2020-11-06,162.0,155.4,160.2,162.0,44525
2020-11-09,166.6,160.4,162.8,163.0,146022
2020-11-10,163.0,157.6,159.0,163.0,29449
2020-11-11,162.2,158.2,162.2,159.0,124523
2020-11-12,165.2,158.0,160.4,161.0,54904
2020-11-13,162.6,158.6,162.4,158.8,18471
2020-11-16,169.2,162.2,165.6,162.2,67321
2020-11-17,170.2,165.0,168.0,166.0,48458
2020-11-18,171.0,165.4,168.0,167.0,44111
2020-11-19,171.2,169.0,170.0,170.0,31273
2020-11-20,175.2,167.8,172.8,167.8,30253
2020-11-23,175.8,170.8,171.4,172.8,36862
2020-11-24,173.0,169.0,169.0,171.4,22555
2020-11-25,170.4,165.2,165.6,166.6,22685
2020-11-26,167.2,162.8,166.8,165.6,82354
2020-11-27,172.6,166.8,171.6,166.8,32945
2020-11-30,173.4,167.6,167.6,171.6,74560
2020-12-01,170.0,166.6,170.0,167.6,56916
2020-12-02,172.8,168.6,171.8,170.0,45319
2020-12-03,174.2,169.4,170.2,174.2,24198
2020-12-04,173.8,168.2,172.0,172.8,79291
2020-12-07,173.6,170.4,171.2,172.2,24777
2020-12-08,177.0,171.2,172.0,172.0,130558
2020-12-09,174.8,170.8,171.2,174.8,75920
2020-12-10,174.8,169.8,173.2,171.2,56839
2020-12-11,182.0,173.0,181.8,173.2,56240
2020-12-14,188.2,180.6,186.8,181.8,50924
2020-12-15,188.0,182.8,187.0,185.6,68672
2020-12-16,189.2,180.8,182.0,188.6,47035
2020-12-17,189.8,180.8,187.4,182.0,50897
2020-12-18,192.6,187.0,192.4,190.0,51135
2020-12-21,191.6,182.0,185.8,191.6,53226
2020-12-22,191.4,186.4,189.6,186.6,70523
2020-12-23,195.6,189.8,194.0,192.0,28251
2020-12-28,202.0,193.0,200.5,195.0,39889
2020-12-29,206.5,196.8,205.0,202.0,75852
2020-12-30,205.5,191.4,192.2,205.5,103337
