Date,High,Low,Close,Open,Volume
2020-01-02,198.1,196.0,196.4,197.7,230387
2020-01-03,196.6,195.1,195.6,196.5,275889
2020-01-06,195.4,193.8,195.0,195.0,207877
2020-01-07,201.4,195.1,200.0,195.1,361121
2020-01-08,199.6,195.7,197.5,199.6,409672
2020-01-09,199.3,195.7,197.5,198.6,380096
2020-01-10,199.7,197.6,199.1,198.1,256968
2020-01-13,201.8,198.8,201.6,199.4,257595
2020-01-14,204.4,200.6,204.4,201.8,331272
2020-01-15,205.8,202.8,205.4,204.4,314865
2020-01-16,207.4,205.0,207.2,205.6,219525
2020-01-17,209.8,207.2,209.8,207.8,232447
2020-01-20,210.8,208.4,209.6,210.0,231027
2020-01-21,210.6,207.6,210.2,210.0,327590
2020-01-22,220.0,208.8,217.2,215.0,892297
2020-01-23,217.6,209.0,210.0,217.4,718275
2020-01-24,210.4,206.6,209.4,210.0,652050
2020-01-27,209.0,204.4,204.6,208.0,405901
2020-01-28,205.6,202.2,204.0,205.0,463052
2020-01-29,206.0,202.4,203.0,204.4,516459
2020-01-30,202.4,200.6,201.0,201.4,554699
2020-01-31,204.8,201.0,204.4,201.4,739701
2020-02-03,204.4,201.8,203.2,204.4,453353
2020-02-04,208.2,202.8,207.6,204.2,614146
2020-02-05,209.6,206.8,208.4,208.0,508027
2020-02-06,209.8,206.6,209.4,209.8,413057
2020-02-07,210.4,207.4,208.2,209.6,243475
2020-02-10,208.4,206.0,207.8,208.4,179071
2020-02-11,209.8,205.4,205.4,208.0,414945
2020-02-12,207.6,204.0,207.0,205.0,389325
2020-02-13,207.0,205.0,206.8,207.0,253088
2020-02-14,208.4,207.0,207.4,207.2,241184
2020-02-17,208.6,205.8,206.4,208.2,191759
2020-02-18,208.0,204.8,207.8,205.6,223964
2020-02-19,208.8,206.8,208.8,207.6,242971
2020-02-20,211.2,208.0,209.6,208.8,346907
2020-02-21,210.0,207.6,208.2,208.6,299359
2020-02-24,204.8,198.9,201.0,204.6,690426
2020-02-25,203.0,196.7,197.2,201.4,424123
2020-02-26,196.6,189.0,195.7,195.2,426749
2020-02-27,194.1,187.5,188.7,194.1,297010
2020-02-28,190.0,182.0,187.2,184.0,840609
2020-03-02,193.3,186.0,188.5,190.4,522873
2020-03-03,194.5,190.8,192.4,192.5,639604
2020-03-04,195.7,190.6,195.3,191.8,500397
2020-03-05,197.6,189.8,190.2,197.6,381474
2020-03-06,188.8,185.2,188.6,188.0,448882
2020-03-09,183.7,174.5,178.0,176.5,609750
2020-03-10,183.0,174.3,175.6,176.4,594614
2020-03-11,177.1,169.6,170.4,176.4,617881
2020-03-12,164.0,152.7,154.6,160.0,1439403
2020-03-13,182.0,156.6,164.7,157.6,1355830
2020-03-16,163.2,155.2,161.2,158.0,1217087
2020-03-17,173.1,161.9,172.9,166.8,1153743
2020-03-18,177.2,169.0,172.9,171.8,1352008
2020-03-19,172.3,166.9,172.0,172.3,795230
2020-03-20,180.9,160.8,161.8,177.1,1401243
2020-03-23,157.1,148.6,150.9,157.0,1102383
2020-03-24,155.4,149.0,154.8,155.0,1398543
2020-03-25,163.0,152.7,159.3,161.0,1030851
2020-03-26,160.2,155.2,160.2,158.0,663580
2020-03-27,165.5,159.0,159.8,162.1,986469
2020-03-30,166.8,158.3,164.6,160.5,621454
2020-03-31,171.7,165.3,167.3,167.6,677989
2020-04-01,167.8,162.9,167.1,165.5,497368
2020-04-02,172.6,165.9,171.9,167.5,617184
2020-04-03,173.0,167.6,171.2,171.5,799735
2020-04-06,176.5,172.6,175.6,174.9,490912
2020-04-07,184.5,177.6,183.9,179.0,818585
2020-04-08,185.5,180.9,185.0,184.0,567364
2020-04-09,185.0,185.0,185.0,185.0,0
2020-04-14,189.4,182.5,189.2,188.7,761125
2020-04-15,189.5,185.2,187.8,189.5,561436
2020-04-16,188.1,181.6,182.7,188.1,543314
2020-04-17,187.5,181.4,182.0,185.9,530554
2020-04-20,185.7,181.0,185.2,182.1,399246
2020-04-21,188.2,180.2,186.0,184.1,926439
2020-04-22,191.0,182.1,183.8,188.1,653692
2020-04-23,185.0,177.3,181.4,184.8,629526
2020-04-24,181.2,176.8,177.1,179.8,415073
2020-04-27,180.6,176.7,179.2,178.5,413013
2020-04-28,180.6,176.3,177.3,179.1,753186
2020-04-29,182.8,177.7,182.3,177.7,543967
2020-04-30,182.9,177.1,180.3,182.8,570168
2020-05-01,180.1,174.0,180.0,180.0,223279
2020-05-04,179.6,176.0,178.1,179.2,397405
2020-05-05,179.6,176.5,177.5,177.4,378194
2020-05-06,182.9,177.2,180.7,178.5,423097
2020-05-07,182.6,178.3,182.5,181.0,397411
2020-05-11,186.5,183.1,183.7,184.5,657239
2020-05-12,185.0,179.1,179.9,183.0,502334
2020-05-13,180.3,177.0,178.0,179.4,421686
2020-05-14,178.3,174.5,174.9,177.3,370872
2020-05-15,179.8,174.8,175.9,175.7,410758
2020-05-18,180.5,176.9,179.3,177.0,328941
2020-05-19,183.0,179.6,182.3,180.9,324674
2020-05-20,184.3,180.5,183.9,182.9,324937
2020-05-25,187.2,182.3,185.8,183.7,277836
