Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2019-01-23,16.0,16.0,16.0,16.0,0
2019-03-11,16.0,16.0,16.0,16.0,0
2019-04-11,16.0,16.0,16.0,16.0,0
2019-04-12,16.0,16.0,16.0,16.0,0
2019-04-15,16.0,16.0,16.0,16.0,0
2019-04-16,16.0,16.0,16.0,16.0,0
2019-04-17,16.0,16.0,16.0,16.0,0
2019-04-18,16.0,16.0,16.0,16.0,0
2019-04-23,16.0,16.0,16.0,16.0,0
2019-04-24,16.0,16.0,16.0,16.0,0
2019-04-25,16.0,16.0,16.0,16.0,0
2019-04-26,16.0,16.0,16.0,16.0,0
2019-04-29,16.0,16.0,16.0,16.0,0
2019-04-30,16.0,16.0,16.0,16.0,0
2019-05-02,16.0,16.0,16.0,16.0,0
2019-05-03,16.0,16.0,16.0,16.0,0
2019-05-06,16.0,16.0,16.0,16.0,0
2019-05-07,16.0,16.0,16.0,16.0,0
2019-05-08,16.0,16.0,16.0,16.0,0
2019-05-09,16.0,16.0,16.0,16.0,0
2019-05-10,16.0,16.0,16.0,16.0,0
2019-05-13,16.0,16.0,16.0,16.0,0
2019-05-14,16.0,16.0,16.0,16.0,0
2019-05-15,16.0,16.0,16.0,16.0,0
2019-05-16,16.0,16.0,16.0,16.0,0
2019-05-17,16.0,16.0,16.0,16.0,0
2019-05-20,16.0,16.0,16.0,16.0,0
2019-05-21,16.0,16.0,16.0,16.0,0
2019-05-22,16.0,16.0,16.0,16.0,0
2019-05-23,16.0,16.0,16.0,16.0,0
2019-05-24,16.0,16.0,16.0,16.0,0
2019-05-27,16.0,16.0,16.0,16.0,0
2019-05-28,16.0,16.0,16.0,16.0,0
2019-05-29,16.0,16.0,16.0,16.0,0
2019-05-31,16.0,16.0,16.0,16.0,0
2019-06-03,16.0,16.0,16.0,16.0,0
2019-06-04,16.0,16.0,16.0,16.0,0
2019-06-05,16.0,16.0,16.0,16.0,0
