Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,96.5,94.5,94.5,95.9,211431
2018-06-06,95.2,93.8,93.8,94.8,67123
2018-06-07,95.1,93.6,93.6,94.0,61217
2018-06-08,94.1,93.5,93.8,93.6,71870
2018-06-11,97.6,94.9,96.7,95.5,492462
2018-06-12,97.4,96.2,96.4,96.9,72782
2018-06-13,96.7,95.1,95.4,96.4,71739
2018-06-14,97.0,95.9,96.1,96.9,74309
2018-06-15,90.6,86.5,88.0,90.0,732536
2018-06-18,88.2,83.6,86.5,88.0,298663
2018-06-19,87.3,84.7,85.0,87.3,137189
2018-06-20,86.2,84.7,85.0,85.0,142541
2018-06-21,85.0,82.8,82.8,85.0,243181
2018-06-22,82.8,81.6,81.6,82.8,507028
2018-06-25,81.5,80.3,80.4,81.5,119461
2018-06-26,82.2,80.2,82.0,80.6,139767
2018-06-27,82.1,80.5,82.0,82.0,302434
2018-06-28,82.5,81.3,82.0,82.5,300316
2018-06-29,82.3,81.5,81.9,82.2,292829
2018-07-02,82.0,80.5,80.6,82.0,91439
2018-07-03,81.9,80.0,81.5,80.6,116010
2018-07-04,82.1,81.5,81.7,81.5,90764
2018-07-05,82.7,81.5,81.8,81.5,97170
2018-07-06,82.4,81.1,81.6,81.8,72869
2018-07-09,82.4,81.3,81.4,82.0,46236
2018-07-10,81.8,81.2,81.5,81.6,107152
2018-07-11,81.6,80.3,80.5,81.4,105251
2018-07-12,80.2,77.2,77.4,80.0,295564
2018-07-13,77.5,75.3,75.8,77.4,192298
2018-07-16,77.5,75.5,76.0,75.8,91566
2018-07-17,78.4,76.0,78.2,76.0,105660
2018-07-18,79.0,76.3,76.4,79.0,96925
2018-07-19,78.0,76.2,77.5,76.4,81428
2018-07-20,78.2,77.1,77.9,77.5,45388
2018-07-23,79.0,77.8,78.6,78.7,71196
2018-07-24,78.6,77.6,78.0,78.1,80862
2018-07-25,78.9,78.0,78.5,78.0,89017
2018-07-26,80.8,78.5,80.7,78.5,94808
2018-07-27,80.9,79.6,80.7,80.7,39701
2018-07-30,80.9,79.2,80.5,80.7,66144
2018-07-31,80.4,79.4,80.0,80.4,73881
2018-08-01,80.5,79.6,80.2,80.5,67659
2018-08-02,80.0,78.4,78.8,80.0,47378
2018-08-03,79.4,78.0,78.4,78.8,105986
2018-08-06,79.1,77.6,78.0,79.0,66241
2018-08-07,78.0,77.1,77.5,78.0,84680
2018-08-08,77.8,77.2,77.5,77.5,141153
2018-08-09,77.8,77.1,77.3,77.5,132351
2018-08-10,78.5,77.3,77.5,77.3,154365
2018-08-13,78.5,77.1,78.0,77.6,175640
2018-08-14,79.4,78.0,79.1,78.3,128784
2018-08-15,79.8,77.5,78.5,79.6,97144
2018-08-16,79.4,76.0,77.1,79.1,269238
2018-08-17,83.4,78.1,83.1,78.3,615911
2018-08-20,83.2,80.4,80.8,83.1,196487
2018-08-21,82.1,80.8,80.8,80.8,179751
2018-08-22,81.9,80.8,81.8,81.2,295954
2018-08-23,83.6,81.6,83.2,82.0,177734
2018-08-24,83.8,81.5,82.0,83.4,178595
2018-08-27,82.7,81.3,81.7,82.0,100374
2018-08-28,82.9,81.4,82.0,82.5,85421
2018-08-29,82.9,81.2,81.5,82.2,124647
2018-08-30,82.7,81.5,82.3,81.5,67231
2018-08-31,82.0,80.4,80.4,82.0,164010
2018-09-03,82.0,80.8,81.0,81.0,88008
2018-09-04,81.5,80.6,80.9,81.2,125419
2018-09-05,81.6,80.4,81.6,81.0,88186
2018-09-06,82.0,81.1,81.8,81.2,70023
2018-09-07,82.3,81.3,81.7,81.7,159122
2018-09-10,83.8,81.4,82.7,81.9,201370
2018-09-11,85.0,83.1,85.0,83.1,263898
2018-09-12,86.3,84.0,85.7,85.0,136999
2018-09-13,86.0,84.6,85.2,86.0,172357
2018-09-14,85.8,84.6,85.0,85.8,104970
2018-09-17,85.2,84.4,85.2,84.7,70010
2018-09-18,85.4,84.5,85.2,85.4,176816
2018-09-19,85.6,84.5,85.5,85.2,119441
2018-09-20,87.0,85.3,87.0,85.7,124372
2018-09-21,87.8,86.5,86.9,87.1,360761
2018-09-24,87.4,85.3,87.3,85.3,138879
2018-09-25,87.7,86.6,87.0,87.0,154729
2018-09-26,88.0,86.7,87.9,86.8,180178
2018-09-27,88.9,86.7,88.5,87.5,163017
2018-09-28,89.4,88.5,88.9,88.6,98615
2018-10-01,89.8,88.6,88.8,89.0,89244
2018-10-02,91.8,89.3,91.0,89.4,124472
2018-10-03,90.0,85.9,89.7,89.9,329483
2018-10-04,88.2,85.3,86.6,88.1,256872
2018-10-05,88.4,85.7,86.6,86.6,210252
2018-10-08,86.4,84.6,85.5,86.1,62702
2018-10-09,86.6,84.2,84.6,85.8,72284
2018-10-10,85.4,83.9,84.3,84.7,54895
2018-10-11,84.0,81.8,83.4,83.5,124706
2018-10-12,84.1,81.3,81.4,83.3,126562
2018-10-15,83.2,80.8,81.5,83.2,123548
2018-10-16,83.5,80.7,82.9,81.0,101046
2018-10-17,83.7,82.8,83.5,82.9,99001
2018-10-18,86.3,83.1,86.3,83.2,139015
2018-10-19,85.9,82.2,82.9,85.9,198366
2018-10-22,84.8,83.0,84.3,83.1,110853
2018-10-23,84.1,80.7,81.5,84.1,148097
2018-10-24,84.8,81.7,84.7,81.7,135763
2018-10-25,84.4,82.6,84.3,83.8,100999
2018-10-26,83.7,81.9,82.0,83.7,58357
2018-10-29,84.8,81.8,84.3,82.0,45006
2018-10-30,85.0,83.3,84.9,84.3,57263
2018-10-31,88.0,84.9,88.0,85.0,150727
2018-11-01,87.5,85.5,86.5,87.5,56390
2018-11-02,88.0,86.8,87.5,86.8,52865
2018-11-05,88.5,86.8,88.5,87.5,99551
2018-11-06,90.2,87.2,90.2,88.4,135663
2018-11-07,90.8,89.6,89.9,90.5,85048
2018-11-08,91.6,90.1,91.6,90.1,138933
2018-11-09,91.6,89.9,90.9,91.0,142813
