Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,0.91,0.898,0.9,0.903,436871
2018-06-07,0.929,0.9,0.918,0.907,263906
2018-06-08,0.94,0.92,0.929,0.93,298011
2018-06-11,0.93,0.907,0.91,0.929,365185
2018-06-12,0.91,0.9,0.905,0.91,589681
2018-06-13,0.94,0.911,0.938,0.911,284037
2018-06-14,0.945,0.91,0.945,0.939,292951
2018-06-15,0.938,0.908,0.929,0.908,657806
2018-06-18,0.931,0.905,0.915,0.931,234820
2018-06-19,0.92,0.909,0.918,0.92,82180
2018-06-20,0.928,0.91,0.92,0.917,107101
2018-06-21,0.928,0.915,0.927,0.915,105821
2018-06-22,0.948,0.915,0.939,0.915,690560
2018-06-25,0.948,0.89,0.92,0.944,416357
2018-06-26,0.932,0.91,0.917,0.93,279121
2018-06-27,0.921,0.896,0.92,0.921,427187
2018-06-28,0.92,0.904,0.908,0.904,156309
2018-06-29,0.92,0.903,0.916,0.919,278895
2018-07-02,0.916,0.9,0.91,0.916,155038
2018-07-03,0.912,0.89,0.909,0.9,81232
2018-07-04,0.914,0.9,0.91,0.909,194151
2018-07-05,0.915,0.891,0.901,0.906,113388
2018-07-06,0.908,0.891,0.896,0.899,356553
2018-07-09,0.906,0.89,0.906,0.9,489118
2018-07-10,0.91,0.908,0.908,0.908,113937
2018-07-11,0.914,0.89,0.9,0.914,147747
2018-07-12,0.903,0.884,0.895,0.89,245094
2018-07-13,0.908,0.896,0.908,0.9,245066
2018-07-16,0.904,0.895,0.903,0.9,375950
2018-07-17,0.9,0.87,0.9,0.9,708602
2018-07-18,0.904,0.888,0.901,0.9,574907
2018-07-19,0.905,0.89,0.904,0.904,270525
2018-07-20,0.905,0.891,0.901,0.891,226623
2018-07-23,0.921,0.901,0.901,0.902,457793
2018-07-24,0.939,0.901,0.939,0.901,551778
2018-07-25,0.99,0.949,0.981,0.949,1639716
2018-07-26,1.088,0.99,1.038,0.992,3771770
2018-07-27,1.04,0.977,0.996,1.04,1874101
2018-07-30,1.068,0.996,1.03,1.006,1672077
2018-07-31,1.038,1.004,1.018,1.03,710432
2018-08-01,1.05,1.018,1.048,1.018,1253581
2018-08-02,1.08,1.03,1.068,1.04,1512319
2018-08-03,1.088,1.042,1.066,1.07,961022
2018-08-06,1.08,1.054,1.08,1.066,462247
2018-08-07,1.08,1.024,1.034,1.08,1125617
2018-08-08,1.05,1.0,1.034,1.002,830749
2018-08-09,1.06,1.028,1.034,1.036,671341
2018-08-10,1.068,1.032,1.058,1.042,808543
2018-08-13,1.08,1.03,1.046,1.08,776603
2018-08-14,1.15,1.072,1.11,1.1,5325137
2018-08-15,1.14,1.082,1.082,1.132,3119606
2018-08-16,1.118,1.064,1.064,1.104,1268328
2018-08-17,1.1,1.05,1.084,1.076,1018045
2018-08-20,1.108,1.064,1.09,1.102,1310914
2018-08-21,1.09,1.064,1.078,1.09,844241
2018-08-22,1.088,1.05,1.054,1.08,764114
2018-08-23,1.06,1.03,1.038,1.052,635791
2018-08-24,1.05,1.028,1.038,1.04,1095107
2018-08-27,1.052,1.028,1.046,1.05,862124
