Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,1.26,1.23,1.26,1.25,26803
2018-06-07,1.265,1.235,1.245,1.25,39638
2018-06-08,1.245,1.23,1.235,1.24,71234
2018-06-11,1.27,1.235,1.235,1.24,136392
2018-06-12,1.27,1.24,1.24,1.24,6522
2018-06-13,1.265,1.24,1.245,1.24,2631
2018-06-14,1.3,1.25,1.3,1.25,96668
2018-06-15,1.31,1.28,1.31,1.3,27746
2018-06-18,1.365,1.255,1.36,1.255,114352
2018-06-19,1.42,1.36,1.42,1.36,138698
2018-06-20,1.42,1.37,1.42,1.42,62692
2018-06-21,1.42,1.35,1.38,1.42,10474
2018-06-25,1.4,1.35,1.36,1.38,122672
2018-06-26,1.35,1.31,1.35,1.35,309635
2018-06-27,1.415,1.265,1.29,1.36,301588
2018-06-28,1.305,1.26,1.26,1.29,81446
2018-06-29,1.3,1.245,1.25,1.26,145502
2018-07-02,1.25,1.215,1.215,1.25,172477
2018-07-03,1.22,1.2,1.22,1.22,36429
2018-07-04,1.22,1.21,1.22,1.22,2830
2018-07-05,1.22,1.2,1.22,1.22,10075
2018-07-06,1.23,1.2,1.23,1.2,44929
2018-07-09,1.255,1.205,1.255,1.205,15115
2018-07-10,1.24,1.195,1.215,1.24,86631
2018-07-11,1.25,1.19,1.215,1.215,21520
2018-07-12,1.215,1.195,1.2,1.215,42232
2018-07-13,1.255,1.205,1.235,1.21,111183
2018-07-16,1.235,1.235,1.235,1.235,0
2018-07-17,1.235,1.205,1.22,1.235,40700
2018-07-18,1.23,1.18,1.23,1.21,235031
2018-07-19,1.225,1.19,1.205,1.225,33535
2018-07-20,1.23,1.17,1.19,1.23,103423
2018-07-23,1.24,1.17,1.19,1.19,76339
2018-07-24,1.215,1.17,1.18,1.17,43993
2018-07-25,1.21,1.15,1.18,1.15,11337
2018-07-26,1.21,1.18,1.19,1.18,31618
2018-07-27,1.205,1.17,1.205,1.18,43884
2018-07-30,1.215,1.18,1.215,1.2,10188
2018-07-31,1.21,1.17,1.18,1.19,49482
2018-08-01,1.22,1.17,1.22,1.18,18509
2018-08-02,1.22,1.185,1.2,1.22,24067
2018-08-03,1.24,1.2,1.22,1.2,65878
2018-08-06,1.22,1.18,1.21,1.22,10744
2018-08-07,1.23,1.18,1.185,1.18,54938
2018-08-08,1.24,1.185,1.24,1.2,3251
2018-08-09,1.24,1.19,1.23,1.24,21172
2018-08-10,1.23,1.19,1.2,1.19,2066
2018-08-13,1.245,1.18,1.205,1.2,34919
2018-08-14,1.24,1.175,1.195,1.24,77752
2018-08-15,1.19,1.19,1.19,1.19,2200
2018-08-16,1.2,1.17,1.17,1.19,15182
2018-08-17,1.21,1.17,1.17,1.21,7363
2018-08-20,1.18,1.175,1.175,1.18,14177
2018-08-21,1.175,1.17,1.175,1.175,2466
2018-08-22,1.22,1.165,1.19,1.165,28823
2018-08-23,1.2,1.15,1.17,1.2,45135
2018-08-24,1.18,1.165,1.18,1.175,20220
2018-08-27,1.185,1.155,1.185,1.18,6826
2018-08-28,1.185,1.15,1.17,1.185,167199
2018-08-29,1.17,1.16,1.16,1.17,144003
2018-08-30,1.18,1.16,1.17,1.16,83629
2018-08-31,1.18,1.165,1.18,1.165,10150
2018-09-03,1.2,1.16,1.18,1.16,52910
2018-09-04,1.175,1.155,1.175,1.16,43720
2018-09-05,1.175,1.15,1.15,1.16,162494
2018-09-06,1.165,1.15,1.165,1.15,15726
2018-09-07,1.17,1.15,1.16,1.165,327
2018-09-10,1.18,1.15,1.18,1.16,128636
2018-09-11,1.18,1.17,1.17,1.18,43916
2018-09-12,1.17,1.145,1.16,1.17,230764
2018-09-13,1.16,1.16,1.16,1.16,829
2018-09-14,1.175,1.15,1.17,1.15,24954
2018-09-17,1.175,1.135,1.175,1.17,78179
2018-09-18,1.195,1.14,1.175,1.17,137973
2018-09-19,1.175,1.15,1.15,1.175,37526
2018-09-20,1.195,1.155,1.195,1.155,21118
2018-09-21,1.195,1.16,1.185,1.19,100761
2018-09-24,1.185,1.17,1.185,1.185,7742
2018-09-25,1.19,1.18,1.19,1.185,42500
2018-09-26,1.19,1.175,1.18,1.19,2708
2018-09-27,1.2,1.17,1.19,1.18,24952
2018-09-28,1.285,1.18,1.265,1.19,105137
2018-10-01,1.27,1.255,1.27,1.27,34352
2018-10-02,1.27,1.225,1.25,1.27,75210
2018-10-03,1.265,1.205,1.24,1.265,18536
2018-10-04,1.255,1.18,1.255,1.18,97540
2018-10-05,1.245,1.205,1.23,1.245,69361
2018-10-08,1.23,1.22,1.22,1.225,21203
2018-10-09,1.3,1.2,1.235,1.2,30336
2018-10-10,1.24,1.16,1.17,1.16,250905
2018-10-11,1.2,1.15,1.175,1.17,272202
2018-10-12,1.195,1.15,1.195,1.175,32605
2018-10-15,1.2,1.15,1.16,1.15,14294
2018-10-16,1.18,1.135,1.18,1.17,53344
2018-10-17,1.14,1.01,1.055,1.14,776076
2018-10-18,1.055,1.0,1.035,1.055,224323
2018-10-19,1.045,1.0,1.015,1.04,112909
2018-10-22,1.025,1.01,1.015,1.015,77019
