Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,13.75,13.1,13.75,13.4,20962
2018-06-07,13.8,13.15,13.25,13.75,30404
2018-06-08,13.65,13.15,13.65,13.2,16334
2018-06-11,13.4,12.1,13.1,13.1,20087
2018-06-12,13.0,12.3,12.3,13.0,21763
2018-06-13,13.2,12.0,12.0,13.0,20836
2018-06-14,12.25,11.7,12.25,12.0,22786
2018-06-15,12.25,11.7,12.05,12.25,32579
2018-06-18,12.0,11.35,11.7,11.5,27958
2018-06-19,11.95,11.2,11.2,11.35,21504
2018-06-20,12.7,11.0,11.55,12.7,28786
2018-06-21,11.9,11.55,11.7,11.85,6891
2018-06-25,12.5,10.95,11.0,11.7,72877
2018-06-26,11.2,10.5,10.85,11.2,30918
2018-06-27,11.75,10.0,10.4,11.75,44751
2018-06-28,10.85,9.98,10.85,10.2,94708
2018-06-29,11.5,10.85,11.25,10.85,17454
2018-07-02,11.5,11.15,11.5,11.25,37545
2018-07-03,15.05,11.6,14.9,11.6,93242
2018-07-04,14.95,14.3,14.6,14.95,27551
2018-07-05,14.85,13.75,14.0,14.85,39759
2018-07-06,14.25,13.5,14.0,14.0,3574
2018-07-09,14.35,14.0,14.25,14.35,2198
2018-07-10,14.25,12.15,14.25,14.25,16298
2018-07-11,14.25,13.8,14.2,14.25,713
2018-07-12,14.25,13.7,14.0,14.05,72921
2018-07-13,14.25,13.8,14.15,14.2,17378
2018-07-16,14.9,14.0,14.9,14.0,30716
2018-07-17,15.9,14.55,15.9,14.9,32392
2018-07-18,16.9,16.0,16.9,16.0,26295
2018-07-19,17.5,16.1,16.8,16.65,53764
2018-07-20,17.0,16.3,16.75,17.0,8156
2018-07-23,17.0,16.3,17.0,16.7,10403
2018-07-24,16.9,15.6,16.2,16.65,12403
2018-07-25,16.9,16.0,16.9,16.0,33760
2018-07-26,16.9,16.3,16.7,16.5,6305
2018-07-27,17.0,16.7,17.0,16.8,9779
2018-07-30,16.95,16.35,16.95,16.7,1120
2018-07-31,17.0,16.75,17.0,17.0,5234
2018-08-01,17.1,16.8,16.95,17.1,10204
2018-08-02,16.95,16.75,16.95,16.9,7199
2018-08-03,16.95,16.6,16.95,16.95,19855
2018-08-06,16.8,16.4,16.8,16.45,914
2018-08-07,16.8,16.4,16.8,16.8,8889
2018-08-08,17.3,16.75,17.3,16.75,69085
2018-08-09,17.75,17.1,17.7,17.3,9332
2018-08-10,18.0,17.5,18.0,17.7,15583
2018-08-13,18.75,18.0,18.75,18.3,46383
2018-08-14,19.4,18.7,19.1,18.7,18659
2018-08-15,20.0,19.2,19.45,19.7,41720
2018-08-16,19.4,15.6,16.9,19.4,33916
2018-08-17,16.95,16.3,16.65,16.3,14424
2018-08-20,16.5,15.55,16.35,16.5,21595
2018-08-21,16.45,15.85,16.35,16.35,16139
2018-08-22,16.8,16.55,16.7,16.6,17732
2018-08-23,17.0,16.5,16.75,16.7,6291
2018-08-24,17.0,16.65,16.75,16.95,4483
2018-08-27,16.85,16.3,16.65,16.75,7624
2018-08-28,17.4,16.5,17.3,16.85,45173
2018-08-29,18.5,17.4,18.0,18.5,16199
2018-08-30,18.9,18.1,18.9,18.2,20191
2018-08-31,19.55,18.4,18.75,19.5,14999
2018-09-03,19.0,18.5,18.85,18.75,23788
2018-09-04,18.95,18.25,18.5,18.55,21636
2018-09-05,19.0,18.2,18.8,18.9,34052
2018-09-06,19.2,17.55,18.0,18.6,70450
2018-09-07,18.9,18.0,18.9,18.0,37224
2018-09-10,19.6,19.0,19.5,19.0,34140
2018-09-11,19.85,19.0,19.45,19.6,67819
2018-09-12,19.6,18.15,19.5,18.15,37783
2018-09-13,19.8,19.2,19.8,19.5,36135
2018-09-14,18.15,16.9,17.35,17.7,70602
2018-09-17,18.25,16.95,17.45,17.45,39282
2018-09-18,17.5,17.0,17.35,17.15,24112
2018-09-19,17.45,15.3,16.45,16.8,102511
2018-09-20,16.7,15.35,16.7,15.4,99044
2018-09-21,17.8,16.2,16.75,17.05,37673
2018-09-24,16.9,16.2,16.55,16.75,27429
2018-09-25,18.3,16.55,18.0,16.55,55432
2018-09-26,18.45,17.0,17.75,18.1,47013
2018-09-27,18.0,17.15,17.8,17.8,59402
2018-09-28,18.8,16.95,18.8,17.5,28179
2018-10-01,20.4,18.8,20.3,18.8,136088
2018-10-02,20.7,19.65,20.5,20.3,73396
2018-10-03,20.7,19.0,20.1,20.7,111560
2018-10-04,20.9,19.8,20.9,20.0,126645
2018-10-05,20.9,20.2,20.9,20.8,82609
2018-10-08,20.8,19.2,20.0,20.6,70197
2018-10-09,20.0,19.0,19.35,20.0,19712
2018-10-10,19.8,19.0,19.6,19.7,66583
2018-10-11,19.05,18.05,18.95,19.05,71124
2018-10-12,19.85,18.45,19.35,18.5,20660
2018-10-15,19.55,18.95,19.55,19.25,51152
2018-10-16,20.8,18.8,20.7,20.2,64705
2018-10-17,20.4,20.0,20.4,20.3,67535
2018-10-18,20.4,19.5,20.3,20.4,42218
2018-10-19,20.6,20.1,20.6,20.1,28581
2018-10-22,22.9,20.4,22.4,20.8,90662
2018-10-23,22.8,21.3,22.5,22.6,33019
2018-10-24,23.0,22.0,22.8,22.4,43416
2018-10-25,22.8,21.1,22.8,21.9,64627
2018-10-26,23.0,22.1,22.7,23.0,65727
2018-10-29,24.2,22.7,24.2,22.7,73619
2018-10-30,26.4,23.9,26.2,24.1,85789
2018-10-31,26.4,25.2,26.4,26.4,68126
2018-11-01,26.7,24.2,24.9,26.5,37964
2018-11-02,26.0,25.3,25.8,25.5,39807
2018-11-05,26.1,24.0,24.7,26.1,28926
2018-11-06,26.2,22.8,23.2,23.1,38379
2018-11-07,24.0,22.1,22.1,24.0,44131
2018-11-08,23.5,20.1,22.2,21.5,79349
2018-11-09,22.2,20.0,20.4,22.2,89051
2018-11-12,21.3,19.3,19.95,20.4,92664
2018-11-13,20.4,19.0,19.3,20.0,60687
2018-11-14,19.25,18.0,18.4,19.25,114157
2018-11-15,19.3,18.0,18.9,18.3,202250
2018-11-16,19.25,18.5,19.0,18.5,59314
2018-11-19,19.3,18.5,18.7,19.0,47180
2018-11-20,18.75,17.6,18.2,18.5,70671
2018-11-21,18.2,17.55,17.95,18.0,71335
2018-11-22,18.2,17.85,18.1,18.05,33873
2018-11-23,18.15,17.15,17.15,18.15,64796
2018-11-26,17.95,17.2,17.5,17.95,27694
2018-11-27,18.0,17.1,17.9,17.85,72193
2018-11-28,18.15,17.65,18.0,17.65,42010
2018-11-29,18.25,17.75,18.15,18.0,6097
2018-11-30,19.85,18.5,18.9,18.5,175634
2018-12-03,20.8,18.55,19.1,20.8,130100
2018-12-04,19.0,17.85,18.1,18.5,93787
2018-12-05,18.0,17.1,17.7,17.7,105371
2018-12-06,17.6,16.75,17.1,17.25,24782
2018-12-07,17.6,16.7,17.45,17.6,27680
2018-12-10,17.5,17.05,17.35,17.5,46940
2018-12-11,17.7,17.15,17.6,17.4,19812
2018-12-12,17.7,17.35,17.65,17.5,14455
2018-12-13,18.0,17.5,17.7,17.65,1884
2018-12-14,17.65,16.35,17.0,17.45,11391
2018-12-17,17.35,17.1,17.25,17.2,28938
2018-12-18,17.7,17.3,17.55,17.3,27979
2018-12-19,17.75,17.0,17.2,17.75,30647
2018-12-20,17.2,16.1,16.3,17.2,70987
2018-12-21,17.8,15.95,16.5,16.25,31858
2018-12-27,16.8,15.6,15.8,16.8,25907
2018-12-28,16.5,15.6,16.0,15.6,17123
2019-01-02,16.0,15.35,15.95,16.0,36607
2019-01-03,16.4,15.7,16.4,16.0,36267
2019-01-04,17.2,16.45,16.9,16.65,30796
2019-01-07,17.1,16.7,17.0,17.0,16605
2019-01-08,17.5,16.65,16.95,17.0,46982
2019-01-09,17.0,16.45,17.0,16.95,26382
2019-01-10,17.15,16.0,16.55,17.15,53901
2019-01-11,16.55,15.9,16.45,16.15,56840
2019-01-14,16.6,16.2,16.3,16.4,65452
2019-01-15,16.45,16.1,16.2,16.45,16469
2019-01-16,16.3,15.5,15.7,16.2,70898
2019-01-17,15.95,15.1,15.9,15.5,299897
2019-01-18,17.85,15.95,17.0,15.95,71667
2019-01-21,18.55,16.85,17.55,17.0,44384
2019-01-22,18.1,17.45,18.0,17.85,26470
2019-01-23,18.0,17.1,17.8,18.0,32334
2019-01-24,17.3,16.8,17.3,17.25,22003
2019-01-25,17.4,17.0,17.15,17.0,47985
2019-01-28,17.4,16.65,16.85,17.35,22182
2019-01-29,17.2,16.7,17.1,16.85,18456
2019-01-30,17.0,16.6,17.0,17.0,17654
2019-01-31,16.95,16.4,16.9,16.85,8460
2019-02-01,16.95,16.45,16.8,16.95,26500
2019-02-04,16.9,16.25,16.4,16.9,50464
2019-02-05,16.8,16.2,16.8,16.3,56109
2019-02-06,16.85,16.2,16.85,16.5,49587
2019-02-07,17.0,16.4,16.5,16.95,63565
2019-02-08,16.85,16.3,16.85,16.3,80178
2019-02-11,16.9,16.3,16.5,16.9,64641
2019-02-12,16.65,16.35,16.65,16.5,42653
2019-02-13,16.7,16.3,16.65,16.3,11908
2019-02-14,16.7,16.4,16.7,16.65,7276
2019-02-15,16.85,16.15,16.75,16.15,27226
2019-02-18,17.1,16.55,17.1,16.95,15795
2019-02-19,17.3,16.85,17.3,16.85,31919
2019-02-20,17.2,16.45,16.9,17.2,414040
2019-02-21,16.55,15.5,16.55,15.85,54865
2019-02-22,17.1,16.25,16.8,16.5,42500
2019-02-25,17.15,16.65,17.0,17.15,15686
2019-02-26,17.2,16.65,16.9,16.9,38372
2019-02-27,16.85,16.55,16.55,16.8,9674
2019-02-28,16.7,16.35,16.7,16.55,16184
2019-03-01,16.85,16.5,16.85,16.7,12763
2019-03-04,16.95,16.8,16.95,16.95,7437
2019-03-05,16.95,16.7,16.9,16.95,4120
2019-03-06,16.95,16.2,16.7,16.9,39068
2019-03-07,16.55,15.75,16.45,16.5,42119
2019-03-08,16.35,15.6,16.3,16.0,28834
2019-03-11,16.3,15.55,16.15,15.8,49090
2019-03-12,16.5,15.8,16.15,16.2,8488
2019-03-13,16.75,15.9,16.0,16.2,104533
2019-03-14,16.5,16.05,16.5,16.2,32471
2019-03-15,16.6,16.05,16.6,16.4,20473
2019-03-18,16.7,16.3,16.7,16.5,18983
2019-03-19,16.9,16.35,16.7,16.9,42062
2019-03-20,16.85,16.5,16.85,16.8,13679
2019-03-21,16.95,16.45,16.7,16.95,25417
2019-03-22,16.75,16.15,16.5,16.7,49886
2019-03-25,16.5,15.9,16.0,16.5,30523
2019-03-26,16.25,15.55,16.0,16.0,135280
2019-03-27,16.25,15.7,16.05,15.7,50780
2019-03-28,16.3,15.9,16.3,16.05,32788
2019-03-29,16.3,16.0,16.3,16.05,19092
2019-04-01,16.4,15.5,16.4,15.5,14919
2019-04-02,16.4,16.0,16.4,16.15,5917
2019-04-03,16.6,16.3,16.6,16.4,37283
2019-04-04,16.6,16.0,16.5,16.6,19751
2019-04-05,16.85,16.1,16.85,16.1,14572
2019-04-08,16.95,16.4,16.8,16.85,14153
2019-04-09,16.8,16.4,16.65,16.4,8921
2019-04-10,16.75,16.25,16.75,16.3,26340
2019-04-11,16.8,16.6,16.8,16.6,530
2019-04-12,16.8,16.45,16.75,16.5,37854
2019-04-15,16.8,16.35,16.55,16.75,6779
2019-04-16,16.5,16.0,16.2,16.5,14329
2019-04-17,16.55,15.75,15.9,16.2,28713
2019-04-18,16.35,15.65,15.95,15.8,46617
2019-04-23,16.85,16.4,16.55,16.85,216314
2019-04-24,16.95,16.45,16.65,16.45,24176
2019-04-25,18.0,16.15,18.0,16.6,150394
2019-04-26,18.0,17.0,17.65,18.0,25009
2019-04-29,18.0,16.8,17.25,17.9,31434
2019-04-30,17.3,16.75,17.3,17.2,29747
2019-05-02,17.25,16.7,17.0,17.25,26161
2019-05-03,17.3,16.7,17.3,17.25,8624
2019-05-06,16.9,16.5,16.9,16.55,12930
2019-05-07,17.0,16.4,17.0,17.0,13574
2019-05-08,17.2,16.7,17.2,17.05,21460
2019-05-09,17.85,16.8,17.0,17.85,3936
2019-05-10,17.15,16.55,17.0,17.0,21117
2019-05-13,16.95,16.6,16.85,16.8,10454
2019-05-14,16.7,16.0,16.3,16.5,22832
2019-05-15,16.4,15.25,16.3,16.4,6451
2019-05-16,16.25,15.95,16.25,15.95,6489
2019-05-17,16.5,15.75,16.5,16.05,18921
2019-05-20,16.8,16.1,16.1,16.25,32800
2019-05-21,17.2,16.1,16.55,16.25,56583
2019-05-22,17.0,16.2,16.2,16.45,21835
2019-05-23,16.7,16.2,16.5,16.3,33402
2019-05-24,16.95,16.45,16.95,16.65,42949
2019-05-27,17.0,16.6,16.95,17.0,13745
2019-05-28,17.2,16.45,16.8,16.75,26136
2019-05-29,17.2,16.6,17.2,16.75,4111
2019-05-31,17.3,16.35,17.0,16.85,1850
2019-06-03,17.0,16.25,16.95,16.3,19211
2019-06-04,17.25,16.75,17.25,17.0,6480
2019-06-05,17.4,17.1,17.4,17.15,1235
