Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,38.0,37.9,37.9,37.9,20209
2018-06-07,38.0,37.8,37.9,37.9,24004
2018-06-08,37.9,37.8,37.9,37.9,63330
2018-06-11,37.9,37.8,37.9,37.8,5577
2018-06-12,37.9,37.8,37.8,37.9,31516
2018-06-13,37.9,37.8,37.8,37.9,18871
2018-06-14,37.9,37.8,37.9,37.8,179632
2018-06-15,37.9,37.1,37.7,37.9,121373
2018-06-18,37.5,37.3,37.3,37.3,3849
2018-06-19,38.2,37.9,37.9,37.9,295762
2018-06-20,38.0,37.9,37.9,37.9,8643
2018-06-21,37.9,37.9,37.9,37.9,203597
2018-06-25,38.1,38.0,38.0,38.0,129793
2018-06-26,38.1,38.0,38.0,38.0,58073
2018-06-27,38.1,38.0,38.1,38.0,8561
2018-06-28,38.1,38.0,38.1,38.1,1411
2018-06-29,38.0,38.0,38.0,38.0,11632
2018-07-02,38.1,38.0,38.0,38.0,36648
2018-07-03,38.1,38.0,38.1,38.0,19116
2018-07-04,38.2,38.1,38.1,38.1,35062
2018-07-05,38.2,38.0,38.2,38.1,30954
2018-07-06,39.0,38.3,38.6,38.3,6748
2018-07-09,38.6,38.1,38.2,38.4,14923
2018-07-10,38.5,38.1,38.1,38.5,9808
2018-07-11,38.9,38.1,38.9,38.1,14331
2018-07-12,38.7,38.1,38.7,38.1,11730
2018-07-13,39.1,38.1,38.1,38.8,2563
2018-07-16,38.5,38.0,38.0,38.1,9187
2018-07-17,38.1,38.0,38.1,38.1,44709
2018-07-18,38.2,38.0,38.2,38.1,2068
2018-07-19,38.5,38.1,38.1,38.3,30778
2018-07-20,38.0,38.0,38.0,38.0,949
2018-07-23,38.3,38.0,38.0,38.3,18063
2018-07-24,38.1,37.3,37.9,38.0,23386
2018-07-25,37.9,37.1,37.5,37.8,1728
2018-07-26,37.8,37.5,37.8,37.5,313
2018-07-27,37.9,37.1,37.6,37.9,865
2018-07-30,37.8,37.3,37.3,37.8,1997
2018-07-31,37.8,37.4,37.8,37.4,15352
2018-08-01,37.9,37.6,37.6,37.9,4434
2018-08-02,37.9,37.6,37.9,37.6,2967
2018-08-03,38.0,37.7,38.0,37.9,5846
2018-08-06,38.7,38.2,38.5,38.2,7949
2018-08-07,38.5,38.1,38.5,38.4,10525
2018-08-08,39.0,38.5,38.8,38.5,12159
2018-08-09,38.9,38.2,38.2,38.9,3594
2018-08-10,38.5,37.9,38.3,37.9,715
2018-08-13,38.0,37.7,37.9,37.8,5731
2018-08-14,38.1,37.6,38.1,37.9,6949
2018-08-15,38.5,38.0,38.1,38.1,1683
2018-08-16,38.4,38.3,38.4,38.4,400
2018-08-17,38.4,38.4,38.4,38.4,278
2018-08-20,38.4,38.1,38.2,38.4,8161
2018-08-21,38.3,38.2,38.2,38.2,1579
2018-08-22,38.5,38.2,38.2,38.2,5516
2018-08-23,38.6,38.2,38.5,38.6,742
2018-08-24,38.5,38.2,38.3,38.5,3336
2018-08-27,38.6,38.2,38.3,38.3,2601
2018-08-28,39.0,38.2,39.0,38.2,2325
2018-08-29,38.6,38.2,38.6,38.2,155
2018-08-30,38.7,38.2,38.3,38.5,9311
2018-08-31,39.9,38.2,39.2,38.2,25916
2018-09-03,39.7,38.8,39.3,39.4,4644
2018-09-04,40.0,39.3,39.8,39.3,4226
2018-09-05,40.0,38.0,38.1,40.0,9853
2018-09-06,39.0,38.0,38.3,38.5,30005
2018-09-07,38.3,37.2,37.5,38.3,24269
2018-09-10,37.5,35.7,35.7,36.5,31870
2018-09-11,36.2,35.9,36.1,35.9,10628
2018-09-12,36.9,36.1,36.9,36.1,13118
2018-09-13,36.9,36.2,36.3,36.9,5388
2018-09-14,36.6,36.3,36.3,36.3,5732
2018-09-17,36.3,35.8,35.8,36.3,3811
2018-09-18,36.0,35.7,35.9,35.8,5134
2018-09-19,36.5,35.8,35.8,35.9,3424
2018-09-20,36.4,35.9,36.4,35.9,8611
2018-09-21,36.5,36.4,36.5,36.5,1249
2018-09-24,36.5,36.2,36.3,36.2,3527
2018-09-25,36.6,36.3,36.3,36.6,986
2018-09-26,36.5,35.8,36.2,35.9,7375
2018-09-27,36.4,36.0,36.0,36.3,6246
2018-09-28,36.1,35.9,36.1,36.0,1253
2018-10-01,35.9,35.7,35.9,35.9,17563
2018-10-02,35.9,35.6,35.6,35.7,7572
2018-10-03,35.9,35.6,35.6,35.7,2530
2018-10-04,35.7,35.2,35.6,35.6,18428
2018-10-05,35.6,35.2,35.4,35.6,10927
2018-10-08,35.8,35.3,35.3,35.4,197
2018-10-09,35.8,35.3,35.3,35.8,119
2018-10-10,35.8,35.2,35.6,35.3,4257
2018-10-11,35.6,35.0,35.2,35.6,1729
2018-10-12,35.4,35.2,35.4,35.2,1728
2018-10-15,36.0,35.5,35.6,35.5,515
2018-10-16,36.0,35.9,35.9,36.0,7140
2018-10-17,36.4,36.1,36.3,36.1,4186
2018-10-18,36.4,36.2,36.4,36.2,1398
2018-10-19,36.5,36.0,36.0,36.4,5101
2018-10-22,36.9,35.9,36.8,35.9,3939
2018-10-23,37.0,36.2,36.2,36.8,8618
2018-10-24,36.6,36.4,36.5,36.4,2350
2018-10-25,36.4,35.9,36.3,35.9,4396
2018-10-26,36.0,35.6,36.0,36.0,8052
2018-10-29,36.0,36.0,36.0,36.0,178
2018-10-30,36.0,35.5,35.7,36.0,400
2018-10-31,36.0,35.4,36.0,35.9,87434
2018-11-01,36.1,35.6,36.1,35.6,2160
2018-11-02,36.0,35.7,35.9,35.7,1452
2018-11-05,36.3,35.9,36.3,35.9,739
2018-11-06,37.0,36.3,37.0,36.3,5350
2018-11-07,37.2,37.0,37.0,37.1,2349
2018-11-08,37.0,36.0,36.0,37.0,82804
2018-11-09,36.9,35.3,35.8,36.9,127325
