Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,7.14,7.0,7.1,7.0,621
2018-06-06,7.06,7.02,7.06,7.04,978
2018-06-07,7.14,7.06,7.06,7.1,238046
2018-06-08,7.0,6.92,7.0,7.0,1354
2018-06-11,7.1,7.0,7.1,7.1,941
2018-06-12,7.1,7.1,7.1,7.1,80
2018-06-13,7.0,6.92,6.96,7.0,2417
2018-06-14,7.06,7.0,7.0,7.0,4568
2018-06-15,7.02,7.0,7.0,7.0,2226
2018-06-18,7.06,6.9,7.0,7.0,4314
2018-06-19,7.0,6.88,6.96,7.0,993
2018-06-20,7.0,6.8,6.9,6.96,7861
2018-06-21,7.02,6.86,7.02,6.9,2908
2018-06-25,7.1,7.02,7.06,7.02,1217
2018-06-26,7.06,7.0,7.0,7.04,2013
2018-06-27,7.1,6.98,7.04,6.98,843
2018-06-28,7.02,7.0,7.0,7.02,85
2018-06-29,7.02,6.96,7.02,7.02,495
2018-07-02,7.1,7.02,7.1,7.02,266
2018-07-03,7.1,6.96,6.96,7.1,2137
2018-07-04,7.0,6.96,7.0,7.0,632
2018-07-05,7.1,6.96,7.1,7.0,350
2018-07-06,7.1,7.1,7.1,7.1,112
2018-07-09,7.1,7.0,7.1,7.1,80
2018-07-10,7.08,6.9,7.08,7.0,167
2018-07-11,7.08,7.02,7.08,7.08,95
2018-07-12,7.1,7.08,7.1,7.1,116
2018-07-13,7.1,7.04,7.1,7.04,9
2018-07-16,7.02,6.98,7.0,7.02,428
2018-07-17,7.1,6.9,7.06,7.1,1217
2018-07-18,7.1,7.04,7.1,7.04,3725
2018-07-19,7.1,6.96,6.98,7.04,1409
2018-07-20,6.96,6.9,6.9,6.96,1044
2018-07-23,6.9,6.9,6.9,6.9,0
2018-07-24,7.04,7.0,7.0,7.04,197
2018-07-25,7.0,7.0,7.0,7.0,0
2018-07-26,7.08,6.9,6.9,7.0,820
2018-07-27,6.9,6.88,6.9,6.9,503
2018-07-30,6.94,6.9,6.94,6.9,467
2018-07-31,7.0,6.94,6.98,6.94,465
2018-08-01,7.0,6.98,6.98,6.98,674
2018-08-02,7.08,6.98,7.06,7.08,1285
2018-08-03,7.06,7.0,7.06,7.0,333
2018-08-06,7.06,7.06,7.06,7.06,70
2018-08-07,7.06,6.94,7.06,6.96,249
2018-08-08,6.94,6.92,6.92,6.94,540
2018-08-09,7.0,6.92,6.96,6.94,1361
2018-08-10,7.04,6.92,7.0,6.92,2357
2018-08-13,7.5,7.2,7.26,7.32,44376
2018-08-14,7.44,7.2,7.2,7.22,59476
2018-08-15,7.32,7.28,7.32,7.3,5036
2018-08-16,7.32,7.16,7.22,7.3,3149
2018-08-17,7.3,7.22,7.26,7.3,1773
2018-08-20,7.42,7.22,7.26,7.28,46334
2018-08-21,7.32,7.2,7.3,7.3,30220
2018-08-22,7.4,7.3,7.3,7.36,42453
2018-08-23,7.48,7.32,7.34,7.32,5767
2018-08-24,7.38,7.2,7.22,7.34,9697
2018-08-27,7.3,7.24,7.26,7.24,2805
2018-08-28,7.3,7.26,7.26,7.26,8212
2018-08-29,7.34,7.28,7.34,7.28,743
2018-08-30,7.38,7.26,7.3,7.3,4547
2018-08-31,7.3,7.24,7.3,7.3,2330
2018-09-03,7.3,7.22,7.22,7.3,2565
2018-09-04,7.3,7.22,7.3,7.3,2570
2018-09-05,7.3,7.22,7.28,7.3,785
2018-09-06,7.26,7.22,7.24,7.24,2705
2018-09-07,7.3,7.22,7.28,7.24,2615
2018-09-10,7.3,7.16,7.16,7.22,2396
2018-09-11,7.18,7.06,7.06,7.18,2388
2018-09-12,7.2,7.1,7.2,7.1,2046
2018-09-13,7.24,7.2,7.24,7.2,1978
2018-09-14,7.16,7.04,7.12,7.16,2871
2018-09-17,7.14,7.06,7.1,7.12,10351
2018-09-18,7.12,7.04,7.1,7.1,5020
2018-09-19,7.1,7.0,7.0,7.08,10325
2018-09-20,7.08,6.98,7.02,7.0,4835
2018-09-21,7.14,7.0,7.0,7.04,7617
2018-09-24,7.04,6.96,7.02,7.02,9586
2018-09-25,7.0,6.92,6.96,6.98,2075
2018-09-26,7.0,6.96,7.0,6.96,1685
2018-09-27,7.04,6.98,7.0,7.0,3781
2018-09-28,7.0,6.96,7.0,7.0,2427
2018-10-01,7.0,6.92,6.92,6.98,3164
2018-10-02,7.0,6.94,6.98,6.96,12450
2018-10-03,6.98,6.92,6.92,6.96,5330
2018-10-04,6.98,6.9,6.9,6.98,8669
2018-10-05,6.94,6.9,6.94,6.92,3028
2018-10-08,6.96,6.78,6.78,6.96,6444
2018-10-09,6.8,6.78,6.8,6.8,2987
2018-10-10,6.8,6.6,6.62,6.8,7705
2018-10-11,6.76,6.44,6.52,6.52,9419
2018-10-12,6.76,6.58,6.7,6.58,10033
2018-10-15,6.72,6.68,6.7,6.72,4675
2018-10-16,6.76,6.54,6.6,6.7,108896
2018-10-17,6.38,6.12,6.24,6.3,119716
2018-10-18,6.22,6.08,6.14,6.22,5610
2018-10-19,6.14,6.0,6.1,6.14,12915
2018-10-22,6.06,5.82,5.96,6.06,19159
2018-10-23,5.94,5.78,5.9,5.94,4398
2018-10-24,5.88,5.62,5.62,5.8,15338
2018-10-25,5.9,5.56,5.56,5.84,4334
2018-10-26,5.66,5.5,5.66,5.66,5143
2018-10-29,6.18,5.66,5.88,5.66,4619
2018-10-30,5.9,5.68,5.68,5.9,1116
2018-10-31,6.0,5.7,5.92,5.78,3158
2018-11-01,5.9,5.7,5.88,5.9,3157
2018-11-02,5.88,5.76,5.76,5.88,2366
2018-11-05,5.94,5.7,5.7,5.8,1289
2018-11-06,5.82,5.8,5.8,5.82,5248
2018-11-07,5.8,5.78,5.78,5.78,984
