Date,Closing price,50,200
2018-06-04,78.0,,
2018-06-05,79.2,,
2018-06-07,79.8,,
2018-06-08,81.2,,
2018-06-11,82.0,,
2018-06-12,81.6,,
2018-06-13,80.0,,
2018-06-14,80.2,,
2018-06-15,82.4,,
2018-06-18,85.0,,
2018-06-19,84.6,,
2018-06-20,87.0,,
2018-06-21,87.4,,
2018-06-25,87.2,,
2018-06-26,85.4,,
2018-06-27,86.6,,
2018-06-28,86.6,,
2018-06-29,85.8,,
2018-07-02,86.4,,
2018-07-03,86.2,,
2018-07-04,85.8,,
2018-07-05,85.0,,
2018-07-06,85.2,,
2018-07-09,84.0,,
2018-07-10,84.4,,
2018-07-11,86.2,,
2018-07-12,83.6,,
2018-07-13,83.0,,
2018-07-16,82.0,,
2018-07-17,83.2,,
2018-07-18,82.0,,
2018-07-19,81.4,,
2018-07-20,81.6,,
2018-07-23,80.2,,
2018-07-24,80.2,,
2018-07-25,80.0,,
2018-07-26,80.8,,
2018-07-27,81.2,,
2018-07-30,80.6,,
2018-07-31,81.2,,
2018-08-01,81.4,,
2018-08-02,81.8,,
2018-08-03,82.4,,
2018-08-06,83.8,,
2018-08-07,83.6,,
2018-08-08,82.2,,
2018-08-09,82.4,,
2018-08-10,83.0,,
2018-08-13,82.0,,
2018-08-14,82.6,,
2018-08-15,82.8,,
2018-08-16,82.4,,
2018-08-17,82.4,,
2018-08-20,83.4,,
2018-08-21,82.6,,
2018-08-22,82.6,,
2018-08-23,82.6,,
2018-08-24,83.2,,
2018-08-27,83.0,,
2018-08-28,83.0,,
2018-08-29,83.6,,
2018-08-30,82.8,,
2018-08-31,83.0,,
2018-09-03,83.0,,
2018-09-04,82.6,,
2018-09-05,82.0,,
2018-09-06,82.0,,
2018-09-07,82.0,,
2018-09-10,82.0,,
2018-09-11,82.8,,
2018-09-12,82.0,,
2018-09-13,82.4,,
2018-09-14,82.4,,
2018-09-17,82.4,,
2018-09-18,83.2,,
2018-09-19,82.4,,
2018-09-20,81.8,,
2018-09-21,81.2,,
2018-09-24,82.4,,
2018-09-25,82.4,,
2018-09-26,82.2,,
2018-09-27,82.0,,
2018-09-28,83.0,,
2018-10-01,83.0,,
2018-10-02,82.0,,
2018-10-03,81.8,,
2018-10-04,82.4,,
2018-10-05,83.0,,
2018-10-08,82.8,,
2018-10-09,82.8,,
2018-10-10,82.0,,
2018-10-11,81.2,,
2018-10-12,79.0,,
2018-10-15,77.2,,
2018-10-16,78.2,,
2018-10-17,78.0,,
2018-10-18,83.8,,
2018-10-19,82.6,,
2018-10-22,82.0,,
2018-10-23,82.2,,
2018-10-24,83.0,,
2018-10-25,83.2,,
2018-10-26,82.0,,
2018-10-29,83.0,,
2018-10-30,82.4,,
2018-10-31,83.8,,
2018-11-01,83.6,,
2018-11-02,83.2,,
2018-11-05,83.8,,
2018-11-06,85.0,,
2018-11-07,86.0,,
2018-11-08,84.6,,
2018-11-09,85.0,,
2018-11-12,84.0,,
2018-11-13,81.2,,
2018-11-14,80.0,,
2018-11-15,80.0,,
2018-11-16,79.6,,
2018-11-19,80.0,,
2018-11-20,79.2,,
2018-11-21,80.6,,
2018-11-22,82.0,,
2018-11-23,81.0,,
2018-11-26,81.2,,
2018-11-27,80.8,,
2018-11-28,81.2,,
2018-11-29,81.8,,
2018-11-30,82.2,,
2018-12-03,84.0,,
2018-12-04,82.8,,
2018-12-05,82.6,,
2018-12-06,80.8,,
2018-12-07,81.6,,
2018-12-10,81.2,,
2018-12-11,80.8,,
2018-12-12,83.0,,
2018-12-13,81.4,,
2018-12-14,81.0,,
2018-12-17,81.8,,
2018-12-18,80.6,,
2018-12-19,79.0,,
2018-12-20,77.8,,
2018-12-21,77.8,,
2018-12-27,76.6,,
2018-12-28,77.6,,
2019-01-02,77.6,,
2019-01-03,76.6,,
2019-01-04,77.6,,
2019-01-07,78.0,,
2019-01-08,78.6,,
2019-01-09,78.2,,
2019-01-10,78.6,,
2019-01-11,78.2,,
2019-01-14,78.0,,
2019-01-15,79.0,,
2019-01-16,79.2,,
2019-01-17,79.6,,
2019-01-18,80.0,,
2019-01-21,80.0,,
2019-01-22,80.4,,
2019-01-23,79.0,,
2019-01-24,80.0,,
2019-01-25,80.6,,
2019-01-28,79.6,,
2019-01-29,81.0,,
2019-01-30,80.8,,
2019-01-31,80.6,,
2019-02-01,81.0,,
2019-02-04,80.8,,
2019-02-05,80.8,,
2019-02-06,81.0,,
2019-02-07,81.2,,
2019-02-08,82.8,,
2019-02-11,84.0,,
2019-02-12,84.8,,
2019-02-13,82.8,,
2019-02-14,83.0,,
2019-02-15,84.0,,
2019-02-18,84.0,,
2019-02-19,84.4,,
2019-02-20,85.4,,
2019-02-21,85.6,,
2019-02-22,86.6,,
2019-02-25,86.2,,
2019-02-26,86.4,,
2019-02-27,86.4,,
2019-02-28,87.0,,
2019-03-01,87.0,,
2019-03-04,87.2,,
2019-03-05,88.0,,
