Date,High,Low,Close,Open,Volume
2020-01-02,156.0,156.0,156.0,156.0,605
2020-01-03,154.0,154.0,154.0,154.0,1265
2020-01-06,154.0,154.0,154.0,154.0,20
2020-01-07,157.0,155.0,157.0,155.0,550
2020-01-08,155.0,153.0,155.0,154.0,320
2020-01-09,157.0,157.0,157.0,157.0,50
2020-01-10,155.0,155.0,155.0,155.0,461
2020-01-13,155.0,154.0,154.0,155.0,65829
2020-01-14,157.0,155.0,156.0,155.0,1547
2020-01-15,156.0,156.0,156.0,156.0,0
2020-01-16,156.0,153.0,154.0,156.0,305
2020-01-17,156.0,153.0,155.0,153.0,523
2020-01-20,155.0,153.0,155.0,153.0,438
2020-01-21,156.0,153.0,156.0,154.0,1358
2020-01-22,156.0,153.0,156.0,155.0,1881
2020-01-23,156.0,156.0,156.0,156.0,65
2020-01-24,156.0,155.0,156.0,155.0,208
2020-01-27,158.0,157.0,158.0,157.0,67
2020-01-28,159.0,157.0,159.0,157.0,98
2020-01-29,161.0,159.0,159.0,160.0,5873
2020-01-30,159.0,159.0,159.0,159.0,0
2020-01-31,161.0,158.0,161.0,158.0,22
2020-02-03,158.0,157.0,157.0,158.0,22557
2020-02-04,158.0,158.0,158.0,158.0,1409
2020-02-05,158.0,158.0,158.0,158.0,126
2020-02-06,161.0,160.0,161.0,160.0,397
2020-02-07,161.0,160.0,161.0,160.0,1001
2020-02-10,161.0,160.0,160.0,161.0,51
2020-02-11,159.0,158.0,159.0,158.0,316
2020-02-12,161.0,159.0,160.0,161.0,487
2020-02-13,162.0,160.0,160.0,161.0,599
2020-02-14,162.0,160.0,162.0,160.0,85
2020-02-17,162.0,162.0,162.0,162.0,80
2020-02-18,162.0,160.0,162.0,160.0,7462
2020-02-19,165.0,162.0,163.0,162.0,15029
2020-02-20,166.0,165.0,166.0,165.0,1062
2020-02-21,169.0,168.0,169.0,168.0,2045
2020-02-24,171.0,162.0,162.0,171.0,5593
2020-02-25,163.0,161.0,161.0,162.0,1378
2020-02-26,164.0,164.0,164.0,164.0,30
2020-02-27,161.0,160.0,160.0,161.0,1014
2020-02-28,162.0,162.0,162.0,162.0,278
2020-03-02,163.0,155.0,159.0,163.0,3050
2020-03-03,161.0,159.0,161.0,160.0,1918
2020-03-04,158.0,158.0,158.0,158.0,716
2020-03-05,158.0,155.0,156.0,158.0,988
2020-03-06,155.0,152.0,152.0,155.0,420
2020-03-09,150.0,149.0,150.0,150.0,523
2020-03-10,156.0,155.0,156.0,155.0,406
2020-03-11,160.0,159.0,159.0,160.0,394
2020-03-12,150.0,142.0,142.0,150.0,667
2020-03-13,155.0,154.0,154.0,155.0,90
2020-03-16,149.0,135.0,140.0,149.0,1190
2020-03-17,140.0,139.0,140.0,139.0,205
2020-03-18,141.0,140.0,140.0,140.0,1417
2020-03-19,145.0,138.0,138.0,145.0,154
2020-03-20,144.0,144.0,144.0,144.0,42
2020-03-23,144.0,140.0,140.0,144.0,20
2020-03-24,145.0,138.0,143.0,143.0,859
2020-03-25,141.0,139.0,141.0,140.0,225
2020-03-26,144.0,139.0,139.0,144.0,452
2020-03-27,140.0,138.0,138.0,140.0,555
2020-03-30,139.0,125.0,138.0,134.0,3717
2020-03-31,139.0,135.0,136.0,135.0,428
2020-04-01,138.0,136.0,138.0,136.0,294
2020-04-02,140.0,138.0,139.0,140.0,245
2020-04-03,139.0,138.0,138.0,139.0,1382
2020-04-06,138.0,138.0,138.0,138.0,0
2020-04-07,141.0,139.0,141.0,139.0,482
2020-04-08,142.0,141.0,142.0,141.0,72
2020-04-09,142.0,142.0,142.0,142.0,0
2020-04-14,143.0,142.0,142.0,142.0,504
2020-04-15,142.0,140.0,140.0,142.0,350
2020-04-16,142.0,142.0,142.0,142.0,3
2020-04-17,142.0,141.0,141.0,141.0,322
2020-04-20,142.0,140.0,141.0,142.0,159
2020-04-21,139.0,138.0,139.0,139.0,186
