Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-04-30,4.2,4.2,4.2,4.2,0
2018-06-07,8.55,8.5,8.5,8.5,1200
2018-06-08,8.35,8.1,8.2,8.35,2650
2018-06-11,8.2,8.2,8.2,8.2,0
2018-06-12,8.9,8.2,8.9,8.2,570
2018-06-13,8.9,8.9,8.9,8.9,50
2018-06-14,8.45,8.45,8.45,8.45,100
2018-06-15,8.45,8.45,8.45,8.45,0
2018-06-18,8.45,8.45,8.45,8.45,0
2018-06-19,8.2,8.15,8.2,8.15,525
2018-06-20,8.45,7.75,8.2,8.2,2952
2018-06-21,9.45,8.05,9.45,8.1,3334
2018-06-25,9.4,9.4,9.4,9.4,1
2018-06-26,9.4,9.4,9.4,9.4,0
2018-06-27,9.4,9.4,9.4,9.4,531
2018-06-28,9.4,9.4,9.4,9.4,0
2018-06-29,9.4,9.4,9.4,9.4,0
2018-07-02,8.35,8.35,8.35,8.35,375
2018-07-03,8.35,8.35,8.35,8.35,0
2018-07-04,8.7,7.5,7.75,8.7,2684
2018-07-05,7.95,7.75,7.85,7.8,5070
2018-07-06,8.55,7.75,8.55,7.75,4191
2018-07-09,8.55,8.55,8.55,8.55,0
2018-07-10,8.55,7.3,8.55,7.3,1082
2018-07-11,7.75,7.75,7.75,7.75,351
2018-07-12,7.75,7.75,7.75,7.75,500
2018-07-13,7.75,7.75,7.75,7.75,1000
2018-07-16,7.75,7.75,7.75,7.75,0
2018-07-17,7.6,7.6,7.6,7.6,52
2018-07-18,7.6,7.6,7.6,7.6,0
2018-07-19,8.65,8.65,8.65,8.65,235
2018-07-20,8.65,8.55,8.65,8.55,600
2018-07-23,8.65,8.65,8.65,8.65,0
2018-07-24,8.65,8.65,8.65,8.65,0
2018-07-25,8.65,8.65,8.65,8.65,0
2018-07-26,8.7,8.25,8.7,8.25,410
2018-07-27,8.2,8.2,8.2,8.2,2400
2018-07-30,8.2,8.2,8.2,8.2,0
2018-07-31,8.15,8.15,8.15,8.15,1175
2018-08-01,8.8,8.4,8.4,8.8,82
2018-08-02,8.45,7.95,7.95,8.45,1705
2018-08-03,8.0,8.0,8.0,8.0,2268
2018-08-06,8.0,8.0,8.0,8.0,0
2018-08-07,7.95,7.75,7.95,7.8,3063
2018-08-08,7.9,7.0,7.85,7.9,3235
2018-08-09,7.6,7.55,7.6,7.55,1974
2018-08-10,7.9,7.0,7.5,7.9,2026
2018-08-13,8.2,7.5,7.6,7.5,5769
2018-08-14,8.1,8.1,8.1,8.1,1500
2018-08-15,8.1,8.1,8.1,8.1,0
2018-08-16,8.1,8.1,8.1,8.1,8
2018-08-17,8.3,7.5,8.3,7.8,4385
2018-08-20,8.3,8.3,8.3,8.3,0
2018-08-21,7.8,7.8,7.8,7.8,300
2018-08-22,8.0,7.5,7.5,7.95,5726
2018-08-23,6.85,5.0,6.3,5.0,7830
2018-08-24,6.35,6.0,6.2,6.3,5166
2018-08-27,5.9,5.3,5.9,5.55,10490
2018-08-28,5.9,5.25,5.65,5.35,8130
2018-08-29,5.5,5.2,5.3,5.5,1906
2018-08-30,6.1,5.25,5.4,5.35,7030
2018-08-31,5.3,5.2,5.3,5.3,1924
2018-09-03,5.45,4.98,5.15,5.4,6927
2018-09-04,5.15,4.56,4.92,5.0,10852
2018-09-05,5.15,4.82,5.1,4.98,3180
2018-09-06,6.0,5.1,5.3,5.1,4975
2018-09-07,5.5,5.4,5.4,5.5,459
2018-09-10,6.8,5.7,6.8,5.7,3182
2018-09-11,6.5,6.5,6.5,6.5,400
2018-09-12,6.4,5.25,6.4,5.25,1243
2018-09-13,6.4,6.4,6.4,6.4,0
2018-09-14,6.0,5.65,6.0,6.0,3061
2018-09-17,5.95,5.95,5.95,5.95,312
2018-09-18,5.85,5.85,5.85,5.85,1281
2018-09-19,6.45,6.45,6.45,6.45,200
2018-09-20,5.95,5.2,5.95,5.2,3873
2018-09-21,6.45,5.8,5.8,6.45,850
2018-09-24,5.8,5.8,5.8,5.8,0
2018-09-25,5.5,5.3,5.5,5.3,2974
