Date,High,Low,Close,Open,Volume
2020-01-02,121.0,110.0,112.0,114.0,13509
2020-01-03,112.0,110.0,112.0,112.0,1529
2020-01-07,112.0,108.0,110.0,111.0,8734
2020-01-08,110.0,107.0,109.0,109.0,14608
2020-01-09,112.0,109.0,109.0,109.0,17227
2020-01-10,111.0,109.0,111.0,109.0,3953
2020-01-13,113.0,109.0,112.0,111.0,7272
2020-01-14,113.0,110.0,112.0,112.0,3430
2020-01-15,113.0,109.0,112.0,112.0,15424
2020-01-16,114.0,110.0,114.0,112.0,11608
2020-01-17,116.0,111.0,113.0,114.0,15669
2020-01-20,115.0,110.0,113.0,113.0,9806
2020-01-21,113.0,110.0,113.0,111.0,6261
2020-01-22,113.0,110.0,112.0,111.0,7533
2020-01-23,112.0,110.0,111.0,112.0,11320
2020-01-24,112.0,110.0,111.0,111.0,17926
2020-01-27,111.0,109.0,109.0,111.0,1045
2020-01-28,111.0,107.0,109.0,109.0,9205
2020-01-29,111.0,108.0,111.0,109.0,3790
2020-01-30,111.0,108.0,109.0,111.0,6284
2020-01-31,111.0,109.0,111.0,109.0,755
2020-02-03,111.0,108.0,108.0,111.0,8694
2020-02-04,110.0,102.0,106.0,109.0,10059
2020-02-05,106.0,104.0,105.0,105.0,17559
2020-02-06,106.0,105.0,105.0,105.0,5908
2020-02-07,105.0,104.0,104.0,105.0,5207
2020-02-10,106.0,104.0,105.0,104.0,4446
2020-02-11,106.0,104.0,106.0,105.0,2950
2020-02-12,106.0,104.0,105.0,106.0,9277
2020-02-13,105.0,104.0,105.0,105.0,2822
2020-02-14,105.0,103.0,104.0,105.0,10135
2020-02-17,104.0,100.0,104.0,102.0,6435
2020-02-18,104.0,101.0,104.0,103.0,3861
2020-02-19,104.0,102.0,103.0,103.0,8897
2020-02-20,103.0,101.0,101.0,102.0,7779
2020-02-21,101.0,99.5,101.0,101.0,15600
2020-02-24,101.0,98.0,98.0,101.0,5474
2020-02-25,98.5,96.5,97.0,97.5,5422
2020-02-26,96.5,91.0,92.5,94.5,24635
2020-02-27,91.5,86.0,86.0,90.0,20126
2020-02-28,88.0,80.5,86.0,80.5,23012
2020-03-02,89.0,85.0,89.0,86.5,5624
2020-03-03,97.5,89.0,93.0,89.0,3891
2020-03-04,93.5,92.0,93.5,93.5,2443
2020-03-05,98.0,92.0,93.0,94.0,2670
2020-03-06,91.5,85.0,86.0,91.5,9904
2020-03-09,84.0,75.0,80.0,84.0,12304
2020-03-10,98.0,81.5,83.5,84.0,6850
2020-03-11,88.0,80.5,81.5,83.5,1183
2020-03-12,78.5,68.0,72.0,78.5,8079
2020-03-13,80.0,70.0,75.0,70.0,15705
2020-03-16,74.0,65.5,70.0,74.0,7048
2020-03-17,75.0,66.0,71.5,70.0,1421
2020-03-18,70.5,65.0,70.0,68.0,8413
2020-03-19,72.5,65.0,72.5,70.0,10641
2020-03-20,77.5,68.5,72.5,71.5,18829
2020-03-23,72.0,65.0,72.0,69.0,18035
2020-03-24,74.0,68.0,72.0,74.0,4883
2020-03-25,84.0,74.0,75.5,74.0,2533
2020-03-26,79.0,72.0,75.0,75.0,6596
2020-03-27,79.5,75.0,75.0,78.0,3487
2020-03-30,79.5,73.0,78.5,73.5,6156
2020-03-31,89.0,78.5,82.0,80.0,1341
2020-04-01,82.0,78.0,79.0,82.0,1054
2020-04-02,80.0,76.6,80.0,78.0,955
2020-04-03,80.0,76.4,79.6,80.0,223
2020-04-06,80.0,77.4,79.4,79.8,7111
2020-04-07,84.0,79.4,83.2,79.4,6619
2020-04-08,85.0,82.6,84.4,83.2,1588
2020-04-09,90.0,84.4,89.0,84.4,876
2020-04-14,101.5,90.6,95.0,90.6,7333
2020-04-15,100.5,95.0,95.4,95.0,1972
2020-04-16,100.5,91.0,93.8,95.2,3429
2020-04-17,98.4,93.8,95.4,93.8,474
2020-04-20,97.2,94.0,95.6,95.8,3023
2020-04-21,93.4,90.2,93.0,92.2,2340
2020-04-22,92.8,91.0,92.2,92.2,2857
2020-04-23,95.4,90.2,93.6,93.8,966
2020-04-24,93.8,91.0,92.2,93.8,733
2020-04-27,94.8,91.0,92.8,93.0,1207
2020-04-28,94.8,91.6,93.6,92.8,3461
2020-04-29,95.0,91.6,93.2,93.8,1776
2020-04-30,93.2,91.0,92.2,93.2,1067
2020-05-04,92.8,89.0,90.4,92.2,1983
2020-05-05,93.0,88.2,91.0,93.0,1076
2020-05-06,93.8,91.0,92.2,93.8,1976
2020-05-07,94.6,89.2,91.6,92.2,1349
2020-05-08,91.8,90.4,91.6,91.6,1331
2020-05-11,91.8,90.0,91.4,91.8,674
2020-05-12,92.0,91.4,92.0,91.4,847
2020-05-13,92.4,87.4,92.0,92.4,1329
2020-05-14,92.0,87.2,88.0,91.0,1218
2020-05-15,91.6,88.2,89.8,91.6,460
2020-05-18,90.4,87.8,89.0,90.0,1731
2020-05-19,91.8,86.8,90.0,88.0,2798
2020-05-20,91.4,85.2,90.0,89.0,988
2020-05-22,89.0,85.4,86.0,89.0,4759
2020-05-25,88.2,85.8,88.2,86.2,9727
2020-05-26,91.6,88.0,89.8,91.6,1592
2020-05-27,91.8,89.8,89.8,90.0,2289
2020-05-28,91.8,89.8,91.6,91.8,3816
2020-05-29,91.6,88.0,90.4,91.6,11066
2020-06-01,93.0,91.2,92.2,91.8,6850
2020-06-02,95.6,92.2,94.0,92.2,1633
