Date,High,Low,Close,Open,Volume
2020-01-02,27.4,25.9,27.0,26.9,9225
2020-01-03,26.9,25.3,25.3,26.9,1909
2020-01-06,27.3,26.0,26.0,27.3,235
2020-01-07,26.0,25.0,25.0,26.0,350
2020-01-08,26.7,25.5,25.6,25.5,3461
2020-01-09,27.3,26.2,26.5,26.5,6462
2020-01-10,27.6,26.5,27.1,27.4,16707
2020-01-13,27.9,27.0,27.4,27.1,19378
2020-01-14,28.2,27.0,28.0,28.0,38712
2020-01-15,27.9,26.2,26.2,27.9,8821
2020-01-16,27.1,26.3,27.0,26.7,134044
2020-01-17,28.5,27.3,27.9,27.3,30936
2020-01-20,29.2,27.9,28.8,27.9,2914
2020-01-21,30.5,29.0,30.5,30.5,31623
2020-01-22,33.8,31.0,33.5,31.0,52389
2020-01-23,33.5,32.2,32.2,33.5,113375
2020-01-24,34.0,32.2,33.0,32.3,44577
2020-01-27,32.2,31.0,31.7,32.2,15395
2020-01-28,31.1,27.9,30.4,31.1,10053
2020-01-29,30.4,30.4,30.4,30.4,239499
2020-01-30,31.0,31.0,31.0,31.0,102732
2020-01-31,33.8,31.2,32.5,31.2,209302
2020-02-03,32.9,28.9,32.4,32.5,3876
2020-02-04,33.0,30.5,31.8,30.5,2518
2020-02-05,32.4,29.3,31.5,29.3,7939
2020-02-06,31.5,30.5,31.5,31.5,4507
2020-02-07,34.0,29.7,33.9,31.5,239174
2020-02-10,34.8,31.3,34.8,33.9,230526
2020-02-11,34.8,33.4,33.6,34.8,13459
2020-02-12,34.4,33.6,34.4,33.6,8442
2020-02-13,34.4,32.6,33.0,34.4,551
2020-02-14,33.5,33.4,33.5,33.4,1858
2020-02-17,37.3,34.4,36.4,34.4,368326
2020-02-18,38.0,36.4,36.4,37.9,25078
2020-02-19,37.5,37.0,37.3,37.5,22493
2020-02-20,37.3,36.0,36.8,37.3,32644
2020-02-21,38.9,36.0,38.5,37.0,271189
2020-02-24,38.0,33.0,35.0,38.0,36086
