Date,High,Low,Close,Open,Volume
2020-01-02,0.5,0.48,0.485,0.48,200682
2020-01-03,0.5,0.48,0.49,0.498,217422
2020-01-07,0.5,0.474,0.5,0.49,336722
2020-01-08,0.5,0.45,0.466,0.5,437058
2020-01-09,0.499,0.45,0.46,0.499,249826
2020-01-10,0.52,0.455,0.481,0.46,522832
2020-01-13,0.49,0.455,0.474,0.455,408332
2020-01-14,0.49,0.467,0.476,0.467,85420
2020-01-15,0.518,0.476,0.506,0.476,170989
2020-01-16,0.512,0.471,0.482,0.512,138300
2020-01-17,0.49,0.46,0.49,0.464,823256
2020-01-20,0.5,0.462,0.475,0.49,276172
2020-01-21,0.475,0.45,0.456,0.475,287919
2020-01-22,0.47,0.431,0.448,0.45,184080
2020-01-23,0.478,0.435,0.45,0.448,333909
2020-01-24,0.47,0.426,0.452,0.47,242128
2020-01-27,0.47,0.452,0.469,0.454,189021
2020-01-28,0.47,0.431,0.453,0.47,120752
2020-01-29,0.454,0.431,0.454,0.431,269498
2020-01-30,0.468,0.432,0.436,0.45,200241
2020-01-31,0.484,0.433,0.438,0.447,654098
2020-02-03,0.477,0.445,0.473,0.445,629298
2020-02-04,0.49,0.461,0.461,0.478,273900
2020-02-05,0.47,0.451,0.451,0.47,482276
2020-02-06,0.479,0.45,0.479,0.451,316579
2020-02-07,0.478,0.454,0.469,0.478,104809
2020-02-10,0.479,0.451,0.462,0.473,204837
2020-02-11,0.462,0.445,0.45,0.462,259785
2020-02-12,0.469,0.445,0.455,0.45,54951
2020-02-13,0.468,0.45,0.453,0.455,274291
2020-02-14,0.47,0.43,0.448,0.442,477278
2020-02-17,0.447,0.401,0.42,0.447,359294
2020-02-18,0.42,0.396,0.401,0.42,737406
2020-02-19,0.437,0.399,0.42,0.402,323437
2020-02-20,0.424,0.4,0.419,0.42,272191
2020-02-21,0.42,0.39,0.418,0.408,173744
2020-02-24,0.452,0.371,0.398,0.4,1035157
2020-02-25,0.419,0.382,0.419,0.398,137975
