Date,Closing price,50,200
2018-10-25,5.9,,
2018-10-26,6.0,,
2018-10-29,5.52,,
2018-10-30,5.8,,
2018-10-31,6.6,,
2018-11-01,7.24,,
2018-11-02,7.22,,
2018-11-05,7.4,,
2018-11-06,7.92,,
2018-11-07,7.28,,
2018-11-08,7.3,,
2018-11-09,6.92,,
2018-11-12,6.58,,
2018-11-13,6.6,,
2018-11-14,6.4,,
2018-11-15,6.26,,
2018-11-16,6.3,,
2018-11-19,6.16,,
2018-11-20,5.92,,
2018-11-21,6.4,,
2018-11-22,6.28,,
2018-11-23,6.2,,
2018-11-26,6.4,,
2018-11-27,6.46,,
2018-11-28,6.46,,
2018-11-29,6.4,,
2018-11-30,6.38,,
2018-12-03,6.0,,
2018-12-04,6.0,,
2018-12-05,5.88,,
2018-12-06,5.5,,
2018-12-07,5.68,,
2018-12-10,5.52,,
2018-12-11,4.98,,
2018-12-12,5.4,,
2018-12-13,5.94,,
2018-12-14,5.92,,
2018-12-17,6.1,,
2018-12-18,6.0,,
2018-12-19,5.8,,
2018-12-20,6.1,,
2018-12-21,6.3,,
2018-12-27,5.8,,
2018-12-28,6.0,,
2019-01-02,6.28,,
2019-01-03,6.1,,
2019-01-04,6.1,,
2019-01-07,6.6,,
2019-01-08,7.3,,
2019-01-09,7.7,,
2019-01-10,7.4,,
2019-01-11,7.68,,
2019-01-14,7.1,,
2019-01-15,6.7,,
2019-01-16,6.7,,
2019-01-17,6.14,,
2019-01-18,6.5,,
2019-01-21,6.52,,
2019-01-22,7.04,,
2019-01-23,8.58,,
2019-01-24,10.3,,
2019-01-25,9.7,,
2019-01-28,9.68,,
2019-01-29,9.96,,
2019-01-30,9.48,,
2019-01-31,12.0,,
2019-02-01,12.3,,
2019-02-04,12.25,,
2019-02-05,11.35,,
2019-02-06,11.6,,
2019-02-07,11.0,,
2019-02-08,10.2,,
2019-02-11,11.6,,
2019-02-12,10.85,,
2019-02-13,10.9,,
2019-02-14,10.65,,
2019-02-15,11.25,,
2019-02-18,12.55,,
2019-02-19,12.4,,
2019-02-20,12.0,,
2019-02-21,12.65,,
2019-02-22,14.05,,
2019-02-25,14.7,,
2019-02-26,16.35,,
2019-02-27,17.6,,
2019-02-28,16.5,,
2019-03-01,16.25,,
2019-03-04,18.05,,
2019-03-05,19.6,,
2019-03-06,19.1,,
2019-03-07,17.0,,
2019-03-08,18.3,,
2019-03-11,17.85,,
2019-03-12,16.8,,
2019-03-13,15.95,,
2019-03-14,16.65,,
2019-03-15,14.6,,
2019-03-18,14.35,,
2019-03-19,13.5,,
2019-03-20,12.8,,
2019-03-21,13.0,,
2019-03-22,12.8,,
2019-03-25,13.5,,
2019-03-26,14.8,,
2019-03-27,13.5,,
2019-03-28,13.7,,
2019-03-29,14.65,,
2019-04-01,14.45,,
2019-04-02,14.25,,
2019-04-03,13.9,,
2019-04-04,13.5,,
2019-04-05,13.4,,
2019-04-08,12.75,,
2019-04-09,11.9,,
2019-04-10,10.6,,
2019-04-11,11.8,,
2019-04-12,11.4,,
2019-04-15,11.2,,
2019-04-16,11.2,,
2019-04-17,11.25,,
2019-04-18,11.05,,
2019-04-23,10.55,,
2019-04-24,10.15,,
2019-04-25,10.7,,
2019-04-26,10.7,,
2019-04-29,11.3,,
2019-04-30,11.6,,
2019-05-02,11.15,,
2019-05-03,10.95,,
2019-05-06,11.65,,
2019-05-07,11.35,,
2019-05-08,11.25,,
2019-05-09,11.2,,
2019-05-10,11.75,,
2019-05-13,11.85,,
2019-05-14,11.65,,
2019-05-15,11.5,,
2019-05-16,12.2,,
2019-05-17,13.0,12.999999999999998,7.017150000000003
2019-05-20,14.15,12.901,7.087900000000003
2019-05-21,14.85,12.857999999999997,7.162150000000002
2019-05-22,16.0,12.811999999999998,7.242150000000002
2019-05-23,16.7,12.788999999999996,7.325650000000003
2019-05-24,16.5,12.782999999999998,7.408150000000003
2019-05-27,15.9,12.781999999999996,7.487650000000002
2019-05-28,15.45,12.757999999999996,7.5649000000000015
2019-05-29,15.0,12.765999999999996,7.639900000000001
2019-05-31,14.6,12.770999999999994,7.712900000000001
