Date,High,Low,Close,Open,Volume
2020-01-02,5.75,5.35,5.65,5.35,142807
2020-01-03,5.7,5.5,5.7,5.7,53266
2020-01-06,5.7,5.4,5.6,5.7,29119
2020-01-07,5.7,5.35,5.35,5.5,85170
2020-01-08,5.45,4.9,5.0,5.35,138253
2020-01-09,5.05,4.62,4.78,4.94,208019
2020-01-10,4.94,4.74,4.88,4.78,48168
2020-01-13,4.96,4.62,4.86,4.88,67362
2020-01-14,5.1,4.6,5.05,4.64,117040
2020-01-15,5.85,5.1,5.75,5.1,476779
2020-01-16,5.95,5.3,5.65,5.9,330404
2020-01-17,6.3,5.7,6.2,5.7,556801
2020-01-20,6.75,6.2,6.5,6.2,429903
2020-01-21,6.9,6.3,6.5,6.7,126555
2020-01-22,6.75,6.0,6.35,6.65,271042
2020-01-23,6.65,6.0,6.15,6.35,110622
2020-01-24,6.65,6.1,6.55,6.2,65864
2020-01-27,6.6,6.1,6.6,6.6,29118
2020-01-28,6.6,6.1,6.35,6.6,35621
2020-01-29,6.25,6.0,6.15,6.2,52109
2020-01-30,6.3,5.4,6.1,6.2,51438
2020-01-31,6.0,5.45,5.55,6.0,49096
2020-02-03,5.95,5.2,5.8,5.55,56394
2020-02-04,6.1,5.6,6.0,5.8,33556
2020-02-05,6.6,5.65,6.3,6.6,42499
2020-02-06,6.0,5.6,5.8,6.0,19574
2020-02-07,6.0,5.5,5.8,5.7,18782
2020-02-10,5.65,5.3,5.4,5.6,10691
2020-02-11,6.1,5.3,6.0,5.3,98100
2020-02-12,6.5,5.6,6.0,5.6,17993
2020-02-13,6.35,5.65,5.9,6.0,44742
2020-02-14,6.0,5.7,5.7,5.8,13018
2020-02-17,5.9,5.5,5.65,5.9,40050
2020-02-18,5.8,5.25,5.5,5.4,35126
2020-02-19,5.8,5.4,5.6,5.5,22360
2020-02-20,5.6,4.82,5.15,5.6,85985
2020-02-21,5.2,4.84,5.0,4.94,21150
2020-02-24,5.0,4.6,4.72,5.0,20201
2020-02-25,4.88,3.72,4.58,4.7,80303
2020-02-26,4.3,3.4,4.14,4.0,200677
2020-02-27,4.3,3.7,3.92,4.3,171974
2020-02-28,3.8,3.4,3.8,3.56,47380
2020-03-02,4.3,3.62,3.62,3.8,29892
2020-03-03,4.26,3.9,4.16,3.9,15886
2020-03-04,4.18,3.66,3.84,4.18,54831
2020-03-05,4.58,3.84,3.94,4.0,30517
2020-03-06,4.3,3.6,3.72,3.94,18610
2020-03-09,3.72,3.24,3.56,3.72,127280
2020-03-10,3.9,3.14,3.54,3.42,94816
2020-03-11,3.64,3.2,3.46,3.2,45999
2020-03-12,3.18,2.74,2.78,3.1,33416
2020-03-13,3.0,2.76,2.78,2.76,42561
2020-03-16,2.96,2.4,2.8,2.96,51996
2020-03-17,3.0,2.42,2.84,3.0,4402
2020-03-18,2.84,2.2,2.34,2.84,13412
2020-03-19,3.26,2.6,2.6,3.26,19638
2020-03-20,3.0,2.5,2.7,2.6,20699
2020-03-23,2.98,2.66,2.92,2.98,43905
2020-03-24,3.0,2.5,2.7,2.96,57799
2020-03-25,3.58,3.0,3.28,3.08,134315
2020-03-26,3.54,3.1,3.5,3.54,45087
2020-03-27,3.72,3.36,3.5,3.36,104242
2020-03-30,4.26,3.5,3.7,3.72,29080
2020-03-31,4.18,3.7,3.96,4.18,39170
2020-04-01,3.96,3.22,3.9,3.96,40895
2020-04-02,4.63,3.5,3.5,4.63,52479
2020-04-03,4.18,3.8,4.0,4.0,357111
2020-04-06,4.08,3.88,3.915,4.08,28733
2020-04-07,4.8,4.025,4.8,4.08,57173
2020-04-08,5.7,4.9,5.4,4.98,139330
2020-04-09,5.4,5.4,5.4,5.4,0
2020-04-14,7.9,5.62,6.87,5.62,168163
2020-04-15,7.85,6.98,7.2,7.0,151226
2020-04-16,7.9,6.55,6.75,7.2,188506
2020-04-17,7.4,6.75,7.04,6.75,76290
2020-04-20,7.89,6.8,7.31,7.39,153584
2020-04-21,7.02,6.0,6.3,7.02,116570
2020-04-22,6.38,5.33,6.38,6.3,124731
2020-04-23,6.68,5.74,6.29,6.37,66533
2020-04-24,6.5,5.63,5.99,6.5,30413
2020-04-27,6.8,5.76,5.79,6.2,50872
2020-04-28,6.5,5.79,6.1,5.8,149409
2020-04-29,6.1,5.92,6.1,6.1,68854
2020-04-30,6.1,5.9,5.9,6.1,10915
2020-05-04,5.94,5.32,5.67,5.94,96140
2020-05-05,5.99,5.53,5.53,5.7,18921
2020-05-06,5.98,5.21,5.79,5.98,59659
2020-05-07,6.32,5.68,6.28,5.79,103676
2020-05-08,7.48,6.4,7.25,6.4,295019
2020-05-11,8.54,7.35,8.38,7.35,404692
2020-05-12,9.7,7.7,8.6,8.5,284306
2020-05-13,8.55,7.25,7.7,8.55,90824
2020-05-14,7.7,6.9,7.12,7.7,65321
2020-05-15,7.5,7.12,7.18,7.12,41309
2020-05-18,7.79,6.65,7.45,6.65,22374
2020-05-19,7.8,7.05,7.64,7.42,38601
2020-05-20,8.0,7.09,7.3,8.0,58591
2020-05-22,7.65,7.32,7.55,7.5,27255
2020-05-25,8.4,7.8,8.26,7.8,101440
2020-05-26,8.7,7.81,8.4,8.5,65228
2020-05-27,8.5,8.0,8.06,8.5,24284
2020-05-28,8.5,8.06,8.25,8.16,30959
2020-05-29,8.4,8.0,8.32,8.4,26459
2020-06-02,8.7,7.64,8.7,8.31,77499
2020-06-03,8.89,8.2,8.7,8.7,29316
2020-06-04,8.7,8.27,8.3,8.7,22797
2020-06-05,9.1,8.5,8.95,8.5,123244
2020-06-08,12.0,9.6,10.66,9.6,99996
2020-06-09,12.0,11.02,11.58,11.18,99208
2020-06-10,11.88,10.7,10.9,11.88,40616
2020-06-11,11.18,9.33,9.8,11.18,118918
2020-06-12,9.85,8.51,9.84,9.25,101507
2020-06-15,10.46,9.2,10.38,9.51,49771
2020-06-16,11.82,10.2,10.42,11.82,51701
2020-06-17,10.6,9.75,10.2,10.4,17129
2020-06-18,10.6,9.61,10.02,10.18,96605
2020-06-19,11.44,10.2,10.6,10.5,29356
2020-06-22,10.6,10.0,10.1,10.6,21747
2020-06-23,10.3,9.8,10.28,9.9,39328
2020-06-24,10.4,9.48,9.71,9.8,27626
2020-06-25,10.16,9.36,9.92,9.75,10299
2020-06-26,10.1,9.51,9.9,10.1,9893
2020-06-29,9.8,9.1,9.34,9.6,62102
2020-06-30,10.64,9.48,9.48,9.6,83442
2020-07-01,9.95,9.28,9.5,9.94,50847
2020-07-02,10.1,9.5,9.8,9.86,18739
2020-07-03,10.0,9.5,9.89,10.0,4945
2020-07-06,11.36,9.7,11.36,9.7,67156
2020-07-07,11.48,10.2,11.28,11.48,38819
2020-07-08,12.38,10.24,12.24,11.28,142746
2020-07-09,14.92,12.48,14.4,12.48,137068
2020-07-10,16.3,14.12,14.68,14.5,80618
2020-07-13,15.0,12.54,12.88,14.7,71997
2020-07-14,13.7,12.0,13.6,12.88,50809
2020-07-15,13.8,12.56,12.56,13.3,39747
2020-07-16,13.48,12.66,12.84,13.48,31070
2020-07-17,13.48,12.66,13.0,13.48,32684
2020-07-20,13.4,12.18,13.26,13.0,22380
