Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,8.38,8.2,8.26,8.3,22909
2018-06-06,8.48,8.26,8.44,8.3,9331
2018-06-07,8.5,8.44,8.48,8.48,12713
2018-06-08,8.48,8.4,8.48,8.48,3048
2018-06-11,8.48,8.42,8.48,8.42,1773
2018-06-12,8.48,8.42,8.48,8.48,2024
2018-06-13,8.5,8.32,8.5,8.4,2749
2018-06-14,8.5,8.34,8.4,8.4,3282
2018-06-15,8.42,8.16,8.3,8.4,10641
2018-06-18,8.36,8.16,8.16,8.36,6435
2018-06-19,8.2,8.12,8.12,8.12,7793
2018-06-20,8.28,8.1,8.28,8.12,5320
2018-06-21,8.28,8.12,8.24,8.28,5727
2018-06-25,8.4,8.1,8.38,8.26,17441
2018-06-26,8.38,8.1,8.28,8.38,4537
2018-06-27,8.38,8.12,8.2,8.38,4510
2018-06-28,8.26,8.16,8.24,8.16,9116
2018-06-29,8.38,8.24,8.38,8.24,8810
2018-07-02,8.44,8.26,8.38,8.4,15226
2018-07-03,8.52,8.38,8.44,8.38,9963
2018-07-04,8.52,8.42,8.5,8.42,27956
2018-07-05,8.54,8.5,8.54,8.52,12183
2018-07-06,8.66,8.48,8.58,8.56,3795
2018-07-09,8.56,8.52,8.54,8.56,1138
2018-07-10,8.64,8.52,8.6,8.56,2254
2018-07-11,8.64,8.56,8.64,8.56,16554
2018-07-12,8.62,8.48,8.58,8.62,1714
2018-07-13,8.64,8.56,8.62,8.56,3247
2018-07-16,8.64,8.58,8.6,8.64,1465
2018-07-17,8.6,8.48,8.48,8.54,4463
2018-07-18,8.6,8.38,8.6,8.48,2479
2018-07-19,8.62,8.58,8.62,8.6,3299
2018-07-20,8.62,8.42,8.6,8.62,4487
2018-07-23,8.66,8.5,8.66,8.5,3686
2018-07-24,8.74,8.7,8.74,8.7,10041
2018-07-25,8.78,8.76,8.78,8.76,5037
2018-07-26,8.88,8.78,8.8,8.78,6642
2018-07-27,8.9,8.62,8.7,8.88,8038
2018-07-30,8.84,8.7,8.7,8.7,1258
2018-07-31,8.8,8.72,8.76,8.72,1337
2018-08-01,8.78,8.72,8.74,8.78,1388
2018-08-02,8.84,8.72,8.84,8.72,1529
2018-08-03,8.86,8.72,8.76,8.8,2206
2018-08-06,8.76,8.68,8.68,8.76,2043
2018-08-07,8.86,8.7,8.82,8.7,5233
2018-08-08,8.86,8.56,8.56,8.86,2824
2018-08-09,8.78,8.64,8.64,8.76,3211
2018-08-10,8.72,8.62,8.64,8.62,3660
2018-08-13,8.98,8.68,8.9,8.68,20157
2018-08-14,8.72,8.32,8.72,8.7,15790
2018-08-15,8.94,8.72,8.84,8.72,22087
2018-08-16,9.06,8.88,9.04,8.96,12775
2018-08-17,9.1,8.94,9.1,9.1,6054
2018-08-20,9.14,9.1,9.1,9.14,6537
2018-08-21,9.14,9.0,9.08,9.14,4631
2018-08-22,9.16,8.94,9.1,9.08,4870
2018-08-23,9.14,9.02,9.1,9.1,4428
2018-08-24,9.12,9.0,9.12,9.1,3642
2018-08-27,9.18,9.0,9.1,9.12,10042
2018-08-28,9.16,9.1,9.1,9.12,3417
2018-08-29,9.18,9.1,9.18,9.14,15570
2018-08-30,9.16,9.04,9.16,9.16,4342
2018-08-31,9.26,9.06,9.2,9.16,9670
2018-09-03,9.24,9.2,9.24,9.22,1985
2018-09-04,9.38,9.18,9.36,9.24,1379
2018-09-05,9.36,9.08,9.08,9.36,3622
2018-09-06,9.2,9.0,9.14,9.08,2382
2018-09-07,9.08,8.8,9.08,9.02,15873
2018-09-10,9.02,8.98,9.02,9.0,987
2018-09-11,9.1,9.0,9.1,9.08,2464
2018-09-12,9.1,9.0,9.1,9.1,848
2018-09-13,9.16,9.08,9.16,9.1,2000
2018-09-14,9.2,9.16,9.2,9.16,604
2018-09-17,9.0,8.82,8.96,9.0,25634
2018-09-18,8.98,8.82,8.92,8.96,11709
2018-09-19,8.94,8.88,8.94,8.88,2595
2018-09-20,8.94,8.84,8.92,8.84,2376
2018-09-21,9.04,8.94,9.04,8.96,11252
2018-09-24,9.04,8.94,9.0,9.04,1111
2018-09-25,9.04,8.92,8.96,8.92,2660
2018-09-26,9.04,8.9,9.04,8.96,1823
2018-09-27,9.0,8.9,8.92,8.92,20839
2018-09-28,8.92,8.74,8.9,8.92,7219
2018-10-01,8.9,8.8,8.8,8.9,2583
2018-10-02,8.8,8.72,8.76,8.8,2913
