Date,Closing price,50,200
2018-05-09,13.9,,
2018-06-04,14.4,,
2018-06-05,14.1,,
2018-06-06,14.1,,
2018-06-07,14.2,,
2018-06-08,14.2,,
2018-06-11,13.9,,
2018-06-12,13.9,,
2018-06-13,13.9,,
2018-06-14,14.1,,
2018-06-15,14.4,,
2018-06-18,14.4,,
2018-06-19,14.1,,
2018-06-20,14.1,,
2018-06-21,14.4,,
2018-06-25,14.4,,
2018-06-26,14.2,,
2018-06-27,14.5,,
2018-06-28,14.6,,
2018-06-29,14.5,,
2018-07-02,14.5,,
2018-07-03,14.5,,
2018-07-04,14.6,,
2018-07-05,14.2,,
2018-07-06,14.5,,
2018-07-09,14.5,,
2018-07-10,14.8,,
2018-07-11,14.8,,
2018-07-12,14.8,,
2018-07-13,14.7,,
2018-07-16,14.7,,
2018-07-17,13.6,,
2018-07-18,14.1,,
2018-07-19,14.1,,
2018-07-20,14.2,,
2018-07-23,14.2,,
2018-07-24,14.0,,
2018-07-25,14.6,,
2018-07-26,14.6,,
2018-07-27,14.6,,
2018-07-30,15.5,,
2018-07-31,15.3,,
2018-08-01,15.3,,
2018-08-02,15.3,,
2018-08-03,14.5,,
2018-08-06,15.3,,
2018-08-07,14.6,,
2018-08-08,15.2,,
2018-08-09,15.1,,
2018-08-10,15.2,,
2018-08-13,15.2,,
2018-08-14,15.0,,
2018-08-15,15.0,,
2018-08-16,15.0,,
2018-08-17,15.0,,
2018-08-20,14.6,,
2018-08-21,14.3,,
2018-08-22,14.1,,
2018-08-23,14.1,,
2018-08-24,15.0,,
2018-08-27,14.4,,
2018-08-28,14.4,,
2018-08-29,14.7,,
2018-08-30,14.7,,
2018-08-31,14.7,,
2018-09-03,14.7,,
2018-09-04,14.7,,
2018-09-05,14.3,,
2018-09-06,14.7,,
2018-09-07,13.9,,
2018-09-10,14.0,,
2018-09-11,14.6,,
2018-09-12,14.0,,
2018-09-13,14.0,,
2018-09-14,14.0,,
2018-09-17,14.0,,
2018-09-18,14.1,,
2018-09-19,14.2,,
2018-09-20,14.0,,
2018-09-21,14.6,,
2018-09-24,14.5,,
2018-09-25,14.7,,
2018-09-26,14.7,,
2018-09-27,14.7,,
2018-09-28,14.7,,
2018-10-01,14.7,,
2018-10-02,14.5,,
2018-10-03,14.2,,
2018-10-04,14.2,,
2018-10-05,14.2,,
2018-10-08,14.2,,
2018-10-09,14.2,,
2018-10-10,14.2,,
2018-10-11,14.1,,
2018-10-12,14.0,,
2018-10-15,14.0,,
2018-10-16,14.0,,
2018-10-17,14.6,,
2018-10-18,14.6,,
2018-10-19,14.2,,
2018-10-22,14.2,,
2018-10-23,14.4,,
2018-10-24,14.4,,
2018-10-25,14.6,,
2018-10-26,14.0,,
2018-10-29,14.0,,
2018-10-30,14.2,,
2018-10-31,14.2,,
2018-11-01,14.1,,
2018-11-02,14.1,,
2018-11-02,14.1,,
2018-11-05,14.1,,
2018-11-06,14.1,,
2018-11-07,14.0,,
2018-11-08,14.6,,
2018-11-09,14.6,,
2018-11-12,14.2,,
2018-11-13,14.5,,
2018-11-14,14.3,,
2018-11-15,14.0,,
2018-11-16,14.0,,
2018-11-19,14.1,,
2018-11-20,14.0,,
2018-11-21,14.0,,
2018-11-22,13.9,,
2018-11-23,13.8,,
2018-11-26,14.2,,
2018-11-27,13.9,,
2018-11-28,14.0,,
2018-11-29,13.9,,
2018-11-30,13.9,,
2018-12-03,13.9,,
2018-12-04,13.5,,
2018-12-05,13.5,,
2018-12-07,13.4,,
2018-12-10,13.3,,
2018-12-11,13.5,,
2018-12-12,13.3,,
2018-12-13,13.4,,
2018-12-14,13.2,,
2018-12-17,13.3,,
2018-12-18,13.3,,
2018-12-19,13.3,,
2018-12-20,13.3,,
2018-12-21,13.2,,
2018-12-27,13.2,,
2018-12-28,13.3,,
2019-01-02,13.8,,
2019-01-03,13.6,,
2019-01-04,13.3,,
2019-01-07,13.1,,
2019-01-08,13.6,,
2019-01-09,13.8,,
2019-01-10,13.6,,
2019-01-11,13.6,,
2019-01-14,13.6,,
2019-01-15,13.6,,
2019-01-16,13.6,,
2019-01-17,13.9,,
2019-01-18,13.9,,
2019-01-21,13.6,,
2019-01-22,13.6,,
2019-01-23,13.6,,
2019-01-24,13.6,,
2019-01-25,13.6,,
2019-01-28,13.6,,
2019-01-29,13.5,,
2019-01-30,13.4,,
2019-01-31,13.6,,
2019-02-01,13.6,,
2019-02-04,13.9,,
2019-02-05,14.5,,
2019-02-06,14.5,,
2019-02-07,14.0,,
2019-02-08,17.0,,
2019-02-11,14.9,,
2019-02-12,14.8,,
2019-02-13,14.9,,
2019-02-14,15.1,,
2019-02-15,15.4,,
2019-02-18,15.0,,
2019-02-19,14.4,,
2019-02-20,14.7,,
2019-02-21,14.7,,
2019-02-22,15.0,,
2019-02-25,15.3,,
2019-02-26,14.7,,
2019-02-27,14.8,,
2019-02-28,14.8,,
2019-03-01,15.0,,
2019-03-04,15.0,,
2019-03-05,15.2,,
2019-03-06,15.2,,
2019-03-07,15.2,,
2019-03-08,15.2,,
2019-03-11,15.2,,
2019-03-12,14.6,,
2019-03-13,15.3,,
2019-03-14,15.4,,
2019-03-15,15.4,,
2019-03-18,14.4,,
2019-03-19,15.4,,
2019-03-20,15.4,,
2019-03-21,15.4,,
2019-03-22,15.0,,
2019-03-25,14.3,,
2019-03-26,14.3,,
2019-03-27,14.3,,
2019-03-28,15.1,,
2019-03-29,15.1,,
2019-04-01,14.7,,
2019-04-02,15.2,,
2019-04-03,15.3,,
2019-04-04,14.6,,
2019-04-05,14.8,,
2019-04-08,15.0,,
2019-04-09,15.0,,
2019-04-10,15.0,,
2019-04-11,14.5,,
2019-04-12,14.9,,
2019-04-15,14.9,,
2019-04-16,15.0,,
2019-04-17,14.4,,
2019-04-18,14.8,,
2019-04-23,14.8,,
2019-04-24,14.9,,
2019-04-25,15.0,,
2019-04-26,14.4,,
2019-04-29,14.8,,
2019-04-30,15.0,,
2019-05-02,15.0,,
2019-05-03,15.0,,
2019-05-06,15.0,,
2019-05-07,14.6,,
2019-05-08,14.6,,
2019-05-09,14.6,,
2019-05-10,15.0,,
2019-05-13,14.8,,
2019-05-14,14.3,,
2019-05-15,14.8,,
2019-05-16,14.8,,
2019-05-17,14.8,14.889999999999997,14.393999999999973
2019-05-20,14.6,14.877999999999997,14.390499999999973
2019-05-21,14.6,14.865999999999994,14.38699999999997
2019-05-22,14.7,14.855999999999995,14.38799999999997
2019-05-23,14.7,14.845999999999995,14.38499999999997
2019-05-24,14.3,14.839999999999996,14.383499999999971
2019-05-27,14.5,14.823999999999995,14.379999999999972
2019-05-28,14.3,14.801999999999996,14.375999999999971
2019-05-29,14.3,14.779999999999998,14.371499999999974
2019-05-31,14.3,14.777999999999997,14.366999999999972
