Date,Closing price,50,200
2018-06-04,6.14,,
2018-06-05,6.38,,
2018-06-07,6.22,,
2018-06-08,6.4,,
2018-06-11,6.4,,
2018-06-12,6.46,,
2018-06-13,6.46,,
2018-06-14,6.28,,
2018-06-15,6.22,,
2018-06-18,6.16,,
2018-06-19,6.2,,
2018-06-20,6.2,,
2018-06-21,6.3,,
2018-06-25,6.1,,
2018-06-26,6.12,,
2018-06-27,6.14,,
2018-06-28,6.02,,
2018-06-29,6.26,,
2018-07-02,6.5,,
2018-07-03,6.46,,
2018-07-04,6.6,,
2018-07-05,6.68,,
2018-07-06,6.6,,
2018-07-09,6.4,,
2018-07-10,6.3,,
2018-07-11,6.4,,
2018-07-12,6.58,,
2018-07-13,6.4,,
2018-07-16,6.4,,
2018-07-17,6.54,,
2018-07-18,6.28,,
2018-07-19,6.26,,
2018-07-20,6.34,,
2018-07-23,6.52,,
2018-07-24,6.32,,
2018-07-25,6.26,,
2018-07-26,6.26,,
2018-07-27,6.4,,
2018-07-30,6.44,,
2018-07-31,6.54,,
2018-08-01,6.54,,
2018-08-02,6.7,,
2018-08-03,6.7,,
2018-08-06,6.8,,
2018-08-07,6.8,,
2018-08-08,6.7,,
2018-08-09,6.7,,
2018-08-10,6.7,,
2018-08-13,6.56,,
2018-08-14,6.78,,
2018-08-15,6.78,,
2018-08-16,6.7,,
2018-08-17,6.7,,
2018-08-20,7.0,,
2018-08-21,7.8,,
2018-08-22,7.7,,
2018-08-23,7.48,,
2018-08-24,7.8,,
2018-08-27,7.8,,
2018-08-28,8.42,,
2018-08-29,8.98,,
2018-08-30,8.6,,
2018-08-31,8.68,,
2018-09-03,8.52,,
2018-09-04,8.8,,
2018-09-05,9.38,,
2018-09-06,9.0,,
2018-09-07,9.0,,
2018-09-10,9.0,,
2018-09-11,8.7,,
2018-09-12,8.98,,
2018-09-13,8.8,,
2018-09-14,8.9,,
2018-09-17,8.0,,
2018-09-18,8.42,,
2018-09-19,8.54,,
2018-09-20,8.7,,
2018-09-21,8.52,,
2018-09-24,8.5,,
2018-09-25,8.2,,
2018-09-26,8.2,,
2018-09-27,8.36,,
2018-09-28,8.2,,
2018-10-01,8.3,,
2018-10-02,8.1,,
2018-10-03,7.96,,
2018-10-04,7.92,,
2018-10-05,8.3,,
2018-10-08,8.0,,
2018-10-09,7.5,,
2018-10-10,7.5,,
2018-10-11,7.46,,
2018-10-12,7.84,,
2018-10-15,7.96,,
2018-10-16,7.96,,
2018-10-17,7.4,,
2018-10-18,7.42,,
2018-10-19,7.42,,
2018-10-22,7.68,,
2018-10-23,7.98,,
2018-10-24,8.0,,
2018-10-25,8.38,,
2018-10-26,8.18,,
2018-10-29,8.5,,
2018-10-30,8.5,,
2018-10-31,8.22,,
2018-11-01,7.9,,
2018-11-02,7.7,,
2018-11-05,7.72,,
2018-11-06,7.84,,
2018-11-07,8.0,,
2018-11-08,8.46,,
2018-11-09,8.2,,
2018-11-12,8.52,,
2018-11-13,8.4,,
2018-11-14,8.0,,
2018-11-15,8.26,,
2018-11-16,8.28,,
2018-11-19,8.44,,
2018-11-20,8.24,,
2018-11-21,8.5,,
2018-11-22,8.4,,
2018-11-23,8.24,,
2018-11-26,8.48,,
2018-11-27,8.4,,
2018-11-28,8.18,,
2018-11-29,8.28,,
2018-11-30,8.2,,
2018-12-03,8.24,,
2018-12-04,8.3,,
2018-12-05,8.4,,
2018-12-06,8.28,,
2018-12-07,8.6,,
2018-12-10,8.54,,
2018-12-11,8.6,,
2018-12-12,8.6,,
2018-12-13,8.54,,
2018-12-14,8.54,,
2018-12-17,8.4,,
2018-12-18,8.2,,
2018-12-19,8.2,,
2018-12-20,8.4,,
2018-12-21,8.16,,
2018-12-27,7.7,,
2018-12-28,7.7,,
2019-01-02,7.7,,
2019-01-03,8.22,,
2019-01-04,7.84,,
2019-01-07,8.0,,
2019-01-08,7.8,,
2019-01-09,7.8,,
2019-01-10,7.8,,
2019-01-11,8.4,,
2019-01-14,8.0,,
2019-01-15,8.28,,
2019-01-16,7.84,,
2019-01-17,7.88,,
2019-01-18,8.3,,
2019-01-21,8.3,,
2019-01-22,8.48,,
2019-01-23,8.02,,
2019-01-24,8.02,,
2019-01-25,8.1,,
2019-01-28,8.36,,
2019-01-29,8.0,,
2019-01-30,7.94,,
2019-01-31,7.86,,
2019-02-01,7.9,,
2019-02-04,7.9,,
2019-02-05,8.0,,
2019-02-06,8.06,,
2019-02-07,8.1,,
2019-02-08,8.36,,
2019-02-11,8.16,,
2019-02-12,8.1,,
2019-02-13,8.5,,
2019-02-14,8.22,,
2019-02-15,8.5,,
2019-02-18,8.3,,
2019-02-19,8.62,,
2019-02-20,8.8,,
2019-02-21,8.6,,
2019-02-22,8.76,,
2019-02-25,8.7,,
2019-02-26,8.9,,
2019-02-27,8.6,,
2019-02-28,8.68,,
2019-03-01,8.5,,
2019-03-04,8.22,,
2019-03-05,8.7,,
2019-03-06,8.32,,
2019-03-07,8.42,,
2019-03-08,8.52,,
2019-03-11,8.8,,
2019-03-12,8.76,,
2019-03-13,8.6,,
2019-03-14,8.8,,
2019-03-15,8.98,,
2019-03-18,8.64,,
2019-03-19,8.9,,
2019-03-20,8.5,,
2019-03-21,8.88,,
2019-03-22,8.8,,
2019-03-25,9.84,,
2019-03-26,9.3,,
2019-03-27,9.24,,
2019-03-28,9.4,,
2019-03-29,9.3,,
2019-04-01,10.0,,
2019-04-02,9.7,,
2019-04-03,10.15,,
2019-04-04,10.8,,
2019-04-05,10.5,,
2019-04-08,11.5,,
2019-04-09,11.5,,
2019-04-10,13.0,,
2019-04-11,13.5,,
2019-04-12,13.4,,
2019-04-15,12.7,,
2019-04-16,13.2,,
2019-04-17,12.95,,
2019-04-18,13.3,,
2019-04-23,14.0,,
2019-04-24,14.55,,
2019-04-25,13.95,,
2019-04-26,14.0,,
2019-04-29,13.75,,
2019-04-30,14.05,,
2019-05-02,14.0,,
2019-05-03,13.6,,
2019-05-06,13.45,,
2019-05-07,12.9,,
2019-05-08,12.8,,
2019-05-09,13.0,,
2019-05-10,13.0,,
2019-05-13,13.0,,
2019-05-14,13.5,,
2019-05-15,13.45,,
2019-05-16,13.7,,
2019-05-17,13.7,11.411999999999995,8.926900000000005
2019-05-20,14.0,11.525599999999995,8.964200000000003
2019-05-21,15.1,11.659199999999997,9.006200000000005
2019-05-22,16.05,11.809799999999997,9.052950000000004
2019-05-23,16.15,11.956799999999998,9.099700000000006
2019-05-24,16.9,12.119599999999997,9.150200000000005
2019-05-27,18.7,12.321599999999997,9.210200000000006
2019-05-28,19.55,12.536599999999996,9.274450000000005
2019-05-29,19.35,12.743999999999996,9.337700000000005
2019-05-31,16.5,12.901199999999996,9.387400000000005
