Date,Closing price,50,200
2017-12-13,1.685,,
2018-05-09,1.685,,
2018-06-05,2.12,,
2018-06-07,2.13,,
2018-06-08,2.13,,
2018-06-11,2.13,,
2018-06-12,2.13,,
2018-06-13,2.13,,
2018-06-14,2.13,,
2018-06-15,2.13,,
2018-06-18,2.13,,
2018-06-19,2.13,,
2018-06-20,2.13,,
2018-06-21,2.13,,
2018-06-25,2.13,,
2018-06-26,2.13,,
2018-06-27,2.13,,
2018-06-28,2.05,,
2018-06-29,2.05,,
2018-07-02,2.05,,
2018-07-03,2.05,,
2018-07-04,2.05,,
2018-07-05,2.05,,
2018-07-06,2.05,,
2018-07-09,2.0,,
2018-07-10,2.0,,
2018-07-11,2.0,,
2018-07-12,2.0,,
2018-07-13,2.0,,
2018-07-16,2.0,,
2018-07-17,2.0,,
2018-07-18,1.94,,
2018-07-19,2.0,,
2018-07-20,2.0,,
2018-07-23,2.0,,
2018-07-24,2.0,,
2018-07-25,2.0,,
2018-07-26,2.08,,
2018-07-27,2.08,,
2018-07-30,2.08,,
2018-07-31,2.16,,
2018-08-01,2.15,,
2018-08-02,2.16,,
2018-08-03,2.33,,
2018-08-06,2.24,,
2018-08-07,2.5,,
2018-08-08,2.49,,
2018-08-09,2.49,,
2018-08-10,2.4,,
2018-08-13,2.49,,
2018-08-14,2.49,,
2018-08-15,2.49,,
2018-08-16,2.49,,
2018-08-17,2.49,,
2018-08-20,2.49,,
2018-08-21,2.49,,
2018-08-22,2.42,,
2018-08-23,2.42,,
2018-08-24,2.42,,
2018-08-27,2.42,,
2018-08-28,2.42,,
2018-08-29,2.41,,
2018-08-30,2.3,,
2018-08-31,2.25,,
2018-09-03,2.25,,
2018-09-04,2.25,,
2018-09-05,2.25,,
2018-09-06,2.25,,
2018-09-07,2.25,,
2018-09-10,2.25,,
2018-09-11,2.25,,
2018-09-12,2.25,,
2018-09-13,2.17,,
2018-09-14,2.17,,
2018-09-17,2.17,,
2018-09-18,2.17,,
2018-09-19,2.17,,
2018-09-20,2.16,,
2018-09-21,2.16,,
2018-09-24,2.16,,
2018-09-25,2.16,,
2018-09-26,2.01,,
2018-09-27,2.01,,
2018-09-28,2.08,,
2018-10-01,2.08,,
2018-10-02,2.06,,
2018-10-03,2.06,,
2018-10-04,2.06,,
2018-10-05,2.0,,
2018-10-08,2.0,,
2018-10-09,1.95,,
2018-10-10,1.95,,
2018-10-11,1.95,,
2018-10-12,1.875,,
2018-10-15,1.875,,
2018-10-16,1.875,,
2018-10-17,1.875,,
2018-10-18,1.83,,
2018-10-19,1.83,,
2018-10-22,1.83,,
2018-10-23,1.83,,
2018-10-24,1.735,,
2018-10-25,1.8,,
2018-10-26,1.8,,
2018-10-29,1.8,,
2018-10-30,1.8,,
2018-10-31,1.87,,
2018-11-01,1.8,,
2018-11-02,1.8,,
2018-11-05,1.8,,
2018-11-06,1.8,,
2018-11-07,1.8,,
2018-11-08,1.8,,
2018-11-09,1.8,,
2018-11-12,1.8,,
2018-11-13,1.8,,
2018-11-14,1.75,,
2018-11-15,1.75,,
2018-11-16,1.75,,
2018-11-19,1.75,,
2018-11-20,1.75,,
2018-11-21,1.75,,
2018-11-22,1.685,,
2018-11-23,1.685,,
2018-11-26,1.685,,
2018-11-27,1.685,,
2018-11-28,1.685,,
2018-11-29,1.685,,
2018-11-30,1.75,,
2018-12-03,1.65,,
2018-12-04,1.67,,
2018-12-05,1.67,,
2018-12-06,1.67,,
2018-12-07,1.67,,
2018-12-10,1.6,,
2018-12-11,1.6,,
2018-12-12,1.315,,
2018-12-13,1.315,,
2018-12-14,1.31,,
2018-12-17,1.26,,
2018-12-18,1.26,,
2018-12-19,1.26,,
2018-12-20,1.35,,
2018-12-21,1.475,,
2018-12-27,1.585,,
2018-12-28,1.615,,
2019-01-02,1.57,,
2019-01-03,1.57,,
2019-01-04,1.57,,
2019-01-07,1.7,,
2019-01-08,1.85,,
2019-01-09,1.85,,
