Date,Closing price,50,200
2018-08-20,1.0,,
2018-09-17,1.0,,
2018-10-15,0.9,,
2019-02-11,0.95,,
2019-04-08,0.95,,
2019-04-09,0.95,,
2019-04-10,0.95,,
2019-04-11,0.95,,
2019-04-12,0.95,,
2019-04-15,0.95,,
2019-04-16,0.95,,
2019-04-17,0.95,,
2019-04-18,0.95,,
2019-04-23,0.95,,
2019-04-24,0.95,,
2019-04-25,0.95,,
2019-04-26,0.95,,
2019-04-29,0.95,,
2019-04-30,0.95,,
2019-05-02,0.95,,
2019-05-03,0.95,,
2019-05-06,0.95,,
2019-05-07,0.95,,
2019-05-08,0.95,,
2019-05-09,0.95,,
2019-05-10,0.95,,
2019-05-13,0.95,,
2019-05-14,0.95,,
2019-05-15,0.95,,
2019-05-16,0.95,,
2019-05-17,0.95,0.5899999999999997,0.14749999999999994
2019-05-20,1.0,0.6099999999999998,0.15249999999999994
2019-05-21,1.0,0.6299999999999997,0.15749999999999992
2019-05-22,1.0,0.6499999999999997,0.16249999999999992
2019-05-23,1.0,0.6699999999999997,0.16749999999999993
2019-05-24,1.0,0.6899999999999997,0.17249999999999993
2019-05-27,1.0,0.7099999999999997,0.17749999999999994
2019-05-28,1.0,0.7299999999999998,0.18249999999999994
2019-05-29,1.0,0.7499999999999997,0.18749999999999992
2019-05-31,1.0,0.7699999999999999,0.19249999999999998
