Date,Closing price,50,200
2018-06-04,1.6,,
2018-06-06,1.61,,
2018-06-07,1.6,,
2018-06-08,1.6,,
2018-06-11,1.58,,
2018-06-12,1.58,,
2018-06-13,1.58,,
2018-06-14,1.6,,
2018-06-15,1.63,,
2018-06-18,1.64,,
2018-06-19,1.63,,
2018-06-20,1.65,,
2018-06-21,1.63,,
2018-06-22,1.67,,
2018-06-25,1.71,,
2018-06-26,1.65,,
2018-06-27,1.65,,
2018-06-28,1.65,,
2018-06-29,1.72,,
2018-07-02,1.66,,
2018-07-03,1.66,,
2018-07-04,1.75,,
2018-07-05,1.79,,
2018-07-06,1.8,,
2018-07-09,1.69,,
2018-07-10,1.74,,
2018-07-11,1.7,,
2018-07-12,1.72,,
2018-07-13,1.77,,
2018-07-16,1.72,,
2018-07-17,1.75,,
2018-07-18,1.78,,
2018-07-19,1.79,,
2018-07-20,1.79,,
2018-07-23,1.75,,
2018-07-24,1.75,,
2018-07-25,1.75,,
2018-07-26,1.75,,
2018-07-27,1.75,,
2018-07-30,1.78,,
2018-07-31,1.78,,
2018-08-01,1.77,,
2018-08-02,1.77,,
2018-08-03,1.8,,
2018-08-06,1.8,,
2018-08-07,1.79,,
2018-08-08,1.79,,
2018-08-09,1.78,,
2018-08-10,1.79,,
2018-08-13,1.78,,
2018-08-14,1.78,,
2018-08-15,1.78,,
2018-08-16,1.78,,
2018-08-17,1.79,,
2018-08-20,1.78,,
2018-08-21,1.76,,
2018-08-22,1.76,,
2018-08-23,1.75,,
2018-08-24,1.78,,
2018-08-27,1.8,,
2018-08-28,1.8,,
2018-08-29,1.8,,
2018-08-30,1.81,,
2018-08-31,1.78,,
2018-09-03,1.78,,
2018-09-04,1.78,,
2018-09-05,1.78,,
2018-09-06,1.78,,
2018-09-07,1.75,,
2018-09-10,1.76,,
2018-09-11,1.76,,
2018-09-12,1.8,,
2018-09-13,1.75,,
2018-09-14,1.75,,
2018-09-17,1.75,,
2018-09-18,1.7,,
2018-09-19,1.75,,
2018-09-20,1.77,,
2018-09-21,1.77,,
2018-09-24,1.75,,
2018-09-25,1.75,,
2018-09-26,1.79,,
2018-09-27,1.84,,
2018-09-28,1.85,,
2018-10-01,1.89,,
2018-10-02,1.89,,
2018-10-03,1.84,,
2018-10-04,1.84,,
2018-10-05,1.88,,
2018-10-08,1.89,,
2018-10-09,1.85,,
2018-10-10,1.85,,
2018-10-11,1.85,,
2018-10-12,1.84,,
2018-10-15,1.84,,
2018-10-16,1.84,,
2018-10-17,1.84,,
2018-10-18,1.85,,
2018-10-19,1.85,,
2018-10-22,1.85,,
2018-10-23,1.85,,
2018-10-24,1.83,,
2018-10-25,1.83,,
2018-10-26,1.81,,
2018-10-29,1.82,,
2018-10-30,1.82,,
2018-10-31,1.9,,
2018-11-01,1.88,,
2018-11-02,1.84,,
2018-11-05,1.83,,
2018-11-06,1.83,,
2018-11-07,1.83,,
2018-11-08,1.88,,
2018-11-09,1.86,,
2018-11-12,1.88,,
2018-11-13,1.86,,
2018-11-14,1.86,,
2018-11-15,1.85,,
2018-11-16,1.88,,
2018-11-19,1.87,,
2018-11-20,1.85,,
2018-11-21,1.87,,
2018-11-22,1.85,,
2018-11-23,1.85,,
2018-11-26,1.82,,
2018-11-27,1.82,,
2018-11-28,1.82,,
2018-11-29,1.8,,
2018-11-30,1.85,,
2018-12-03,1.85,,
2018-12-04,1.84,,
2018-12-05,1.84,,
2018-12-06,1.84,,
2018-12-07,1.84,,
2018-12-10,1.83,,
2018-12-11,1.83,,
2018-12-12,1.83,,
2018-12-13,1.83,,
2018-12-14,1.84,,
2018-12-17,1.84,,
2018-12-18,1.84,,
2018-12-19,1.84,,
2018-12-20,1.83,,
2018-12-21,1.93,,
2018-12-27,1.94,,
2018-12-28,1.94,,
2019-01-02,1.94,,
2019-01-03,1.94,,
2019-01-04,1.9,,
2019-01-07,1.89,,
2019-01-08,1.9,,
2019-01-09,1.92,,
2019-01-10,1.92,,
2019-01-11,1.95,,
2019-01-14,1.95,,
2019-01-15,1.95,,
2019-01-16,1.95,,
2019-01-17,1.98,,
2019-01-18,1.99,,
2019-01-21,1.99,,
2019-01-22,1.98,,
2019-01-23,1.98,,
2019-01-24,2.02,,
2019-01-25,2.0,,
2019-01-28,1.98,,
2019-01-29,1.99,,
2019-01-30,1.98,,
2019-01-31,2.0,,
2019-02-01,2.0,,
2019-02-04,1.99,,
2019-02-05,2.02,,
2019-02-06,1.99,,
2019-02-07,1.97,,
2019-02-08,1.97,,
2019-02-11,1.97,,
2019-02-12,1.99,,
2019-02-13,1.96,,
2019-02-14,1.97,,
2019-02-15,1.98,,
2019-02-18,1.97,,
2019-02-19,1.98,,
2019-02-20,2.0,,
2019-02-21,1.97,,
2019-02-22,2.02,,
2019-02-25,2.0,,
2019-02-26,2.0,,
2019-02-27,2.02,,
2019-02-28,2.02,,
2019-03-01,2.16,,
2019-03-04,2.06,,
2019-03-05,2.04,,
2019-03-06,2.08,,
2019-03-07,2.08,,
2019-03-08,2.04,,
2019-03-11,2.02,,
2019-03-12,2.08,,
2019-03-13,2.06,,
2019-03-14,2.04,,
2019-03-15,2.06,,
2019-03-18,2.04,,
2019-03-19,2.08,,
2019-03-20,2.08,,
2019-03-21,2.08,,
2019-03-22,2.06,,
2019-03-25,2.04,,
2019-03-26,2.14,,
2019-03-27,2.14,,
2019-03-28,2.1,,
2019-03-29,2.14,,
2019-04-01,2.02,,
2019-04-02,2.06,,
2019-04-03,2.1,,
2019-04-04,2.12,,
2019-04-05,2.12,,
2019-04-08,2.16,,
2019-04-09,2.16,,
2019-04-10,2.16,,
2019-04-11,2.12,,
2019-04-12,2.14,,
2019-04-15,2.12,,
2019-04-16,2.12,,
2019-04-17,2.12,,
2019-04-18,2.12,,
2019-04-23,2.16,,
2019-04-24,2.16,,
2019-04-25,2.16,,
2019-04-26,2.14,,
2019-04-29,2.14,,
2019-04-30,2.16,,
2019-05-01,2.12,,
2019-05-02,2.16,,
2019-05-03,2.16,,
2019-05-06,2.12,,
2019-05-07,2.14,,
2019-05-08,2.12,,
2019-05-09,2.12,,
2019-05-10,2.12,,
2019-05-13,2.16,,
2019-05-14,2.12,,
2019-05-15,2.12,2.1084,1.9274999999999978
2019-05-16,2.12,2.11,1.9291999999999978
2019-05-20,2.12,2.1108,1.930949999999998
2019-05-21,2.1,2.1112,1.9325999999999979
2019-05-22,2.1,2.1124,1.934099999999998
2019-05-23,2.1,2.114,1.935599999999998
2019-05-24,2.1,2.1144,1.9371499999999982
2019-05-27,2.1,2.1152,1.9386999999999979
2019-05-28,2.1,2.1164,1.940299999999998
2019-05-29,2.04,2.1159999999999997,1.941549999999998
