Date,Closing price,50,200
2018-06-04,76.5,,
2018-06-05,77.5,,
2018-06-06,79.0,,
2018-06-07,77.5,,
2018-06-08,70.0,,
2018-06-11,69.3,,
2018-06-12,71.4,,
2018-06-13,69.9,,
2018-06-14,67.0,,
2018-06-15,82.0,,
2018-06-18,84.7,,
2018-06-19,83.5,,
2018-06-20,83.0,,
2018-06-21,84.3,,
2018-06-22,84.8,,
2018-06-25,85.0,,
2018-06-26,85.4,,
2018-06-27,92.0,,
2018-06-28,88.2,,
2018-06-29,89.4,,
2018-07-02,88.4,,
2018-07-03,86.3,,
2018-07-04,88.5,,
2018-07-05,86.6,,
2018-07-06,86.0,,
2018-07-09,85.5,,
2018-07-10,83.0,,
2018-07-11,81.4,,
2018-07-12,86.7,,
2018-07-13,85.0,,
2018-07-16,85.0,,
2018-07-17,85.9,,
2018-07-18,85.1,,
2018-07-19,86.9,,
2018-07-20,86.9,,
2018-07-23,88.4,,
2018-07-24,88.4,,
2018-07-25,90.0,,
2018-07-26,90.0,,
2018-07-27,90.0,,
2018-07-30,91.0,,
2018-07-31,90.4,,
2018-08-01,91.5,,
2018-08-02,93.4,,
2018-08-03,91.7,,
2018-08-06,91.5,,
2018-08-07,88.0,,
2018-08-08,88.4,,
2018-08-09,88.0,,
2018-08-10,86.4,,
2018-08-13,88.8,,
2018-08-14,89.2,,
2018-08-15,85.5,,
2018-08-16,83.5,,
2018-08-17,83.3,,
2018-08-20,82.5,,
2018-08-21,83.0,,
2018-08-22,81.6,,
2018-08-23,80.0,,
2018-08-24,78.6,,
2018-08-27,78.0,,
2018-08-28,78.6,,
2018-08-29,78.0,,
2018-08-30,77.4,,
2018-08-31,77.0,,
2018-09-03,75.0,,
2018-09-04,77.0,,
2018-09-05,75.9,,
2018-09-06,75.4,,
2018-09-07,74.9,,
2018-09-10,74.7,,
2018-09-11,72.0,,
2018-09-12,72.0,,
2018-09-13,72.8,,
2018-09-14,72.0,,
2018-09-17,71.0,,
2018-09-18,71.7,,
2018-09-19,71.0,,
2018-09-20,70.5,,
2018-09-21,70.0,,
2018-09-24,70.1,,
2018-09-25,70.1,,
2018-09-26,69.8,,
2018-09-27,68.8,,
2018-09-28,67.4,,
2018-10-01,65.6,,
2018-10-02,64.9,,
2018-10-03,64.6,,
2018-10-04,66.3,,
2018-10-05,66.1,,
2018-10-08,62.0,,
2018-10-09,62.2,,
2018-10-10,61.1,,
2018-10-11,65.0,,
2018-10-12,61.7,,
2018-10-15,60.2,,
2018-10-16,59.2,,
2018-10-17,58.0,,
2018-10-18,58.0,,
2018-10-19,58.0,,
2018-10-22,59.9,,
2018-10-23,54.5,,
2018-10-24,49.5,,
2018-10-25,49.95,,
2018-10-26,46.55,,
2018-10-29,45.9,,
2018-10-30,46.05,,
2018-10-31,46.3,,
2018-11-01,46.35,,
2018-11-02,46.9,,
2018-11-05,46.8,,
2018-11-06,46.55,,
2018-11-07,48.3,,
2018-11-08,52.0,,
2018-11-09,51.7,,
2018-11-12,48.5,,
2018-11-13,46.25,,
2018-11-14,44.0,,
2018-11-15,45.4,,
2018-11-16,43.2,,
2018-11-19,42.7,,
2018-11-20,42.0,,
2018-11-21,42.0,,
2018-11-22,41.6,,
2018-11-23,41.9,,
2018-11-26,40.6,,
2018-11-27,41.45,,
2018-11-28,43.0,,
2018-11-29,47.05,,
2018-11-30,47.95,,
2018-12-03,52.0,,
2018-12-04,51.0,,
2018-12-05,50.5,,
2018-12-06,47.4,,
2018-12-07,50.1,,
2018-12-10,49.0,,
2018-12-11,47.25,,
2018-12-12,47.8,,
2018-12-13,47.4,,
2018-12-14,47.0,,
2018-12-17,46.35,,
2018-12-18,43.85,,
2018-12-19,44.0,,
2018-12-20,41.55,,
2018-12-21,42.3,,
2018-12-27,39.65,,
2018-12-28,40.6,,
2019-01-02,44.35,,
2019-01-03,43.6,,
2019-01-04,43.95,,
2019-01-07,43.45,,
2019-01-08,43.9,,
2019-01-09,41.95,,
2019-01-10,41.55,,
2019-01-11,42.9,,
2019-01-14,40.7,,
2019-01-15,40.5,,
2019-01-16,41.05,,
2019-01-17,41.5,,
2019-01-18,42.2,,
2019-01-21,42.6,,
2019-01-22,42.8,,
2019-01-23,42.9,,
2019-01-24,42.95,,
2019-01-25,42.75,,
2019-01-28,43.05,,
2019-01-29,43.95,,
2019-01-30,44.75,,
2019-01-31,48.65,,
2019-02-01,48.3,,
2019-02-04,47.3,,
2019-02-05,47.35,,
2019-02-06,47.9,,
2019-02-07,47.0,,
2019-02-08,46.35,,
