Date,Closing price,50,200
2018-06-04,113.0,,
2018-06-05,113.0,,
2018-06-07,112.5,,
2018-06-08,111.5,,
2018-06-11,109.0,,
2018-06-12,114.5,,
2018-06-13,115.0,,
2018-06-14,117.0,,
2018-06-15,119.5,,
2018-06-18,118.5,,
2018-06-19,119.0,,
2018-06-20,119.5,,
2018-06-21,120.0,,
2018-06-25,117.0,,
2018-06-26,115.0,,
2018-06-27,118.0,,
2018-06-28,120.5,,
2018-06-29,122.5,,
2018-07-02,121.5,,
2018-07-03,122.0,,
2018-07-04,122.0,,
2018-07-05,122.0,,
2018-07-06,121.0,,
2018-07-09,122.0,,
2018-07-10,121.5,,
2018-07-11,120.5,,
2018-07-12,120.0,,
2018-07-13,119.0,,
2018-07-16,120.0,,
2018-07-17,120.0,,
2018-07-18,120.0,,
2018-07-19,120.0,,
2018-07-20,119.5,,
2018-07-23,124.5,,
2018-07-24,126.0,,
2018-07-25,127.5,,
2018-07-26,128.0,,
2018-07-27,128.0,,
2018-07-30,129.0,,
2018-07-31,129.5,,
2018-08-01,129.5,,
2018-08-02,129.5,,
2018-08-03,128.5,,
2018-08-06,127.0,,
2018-08-07,128.0,,
2018-08-08,128.0,,
2018-08-09,127.0,,
2018-08-10,126.5,,
2018-08-13,125.0,,
2018-08-14,120.0,,
2018-08-15,123.0,,
2018-08-16,123.5,,
2018-08-17,125.0,,
2018-08-20,124.0,,
2018-08-21,134.0,,
2018-08-22,133.0,,
2018-08-23,131.0,,
2018-08-24,130.0,,
2018-08-27,126.5,,
2018-08-28,126.0,,
2018-08-29,129.0,,
2018-08-30,131.5,,
2018-08-31,131.5,,
2018-09-03,130.5,,
2018-09-04,134.0,,
2018-09-05,130.0,,
2018-09-06,134.5,,
2018-09-07,134.0,,
2018-09-10,132.5,,
2018-09-11,131.0,,
2018-09-12,131.0,,
2018-09-13,133.0,,
2018-09-14,133.0,,
2018-09-17,133.5,,
2018-09-18,132.5,,
2018-09-19,134.0,,
2018-09-20,132.5,,
2018-09-21,134.5,,
2018-09-24,133.0,,
2018-09-25,133.0,,
2018-09-26,137.0,,
2018-09-27,144.5,,
2018-09-28,146.0,,
2018-10-01,141.5,,
2018-10-02,142.0,,
2018-10-03,146.0,,
2018-10-04,152.0,,
2018-10-05,146.0,,
2018-10-08,149.5,,
2018-10-09,154.0,,
2018-10-10,144.0,,
2018-10-11,137.5,,
2018-10-12,145.0,,
2018-10-15,147.0,,
2018-10-16,145.0,,
2018-10-17,140.5,,
2018-10-18,138.0,,
2018-10-19,137.0,,
2018-10-22,130.0,,
2018-10-23,125.0,,
2018-10-24,125.0,,
2018-10-25,129.0,,
2018-10-26,136.5,,
2018-10-29,135.5,,
2018-10-30,137.5,,
2018-10-31,152.0,,
2018-11-01,147.5,,
2018-11-02,147.0,,
2018-11-05,146.5,,
2018-11-06,146.0,,
2018-11-07,149.0,,
2018-11-08,149.0,,
2018-11-09,144.5,,
2018-11-12,137.5,,
2018-11-13,132.0,,
2018-11-14,131.0,,
2018-11-15,132.5,,
2018-11-16,131.5,,
2018-11-19,134.5,,
2018-11-20,126.5,,
2018-11-21,129.0,,
2018-11-22,132.0,,
2018-11-23,131.0,,
2018-11-26,132.0,,
2018-11-27,131.0,,
2018-11-28,131.5,,
2018-11-29,135.0,,
2018-11-30,136.0,,
2018-12-03,138.0,,
2018-12-04,137.0,,
2018-12-05,138.0,,
2018-12-06,135.0,,
2018-12-07,133.5,,
2018-12-10,132.0,,
2018-12-11,134.0,,
2018-12-12,134.0,,
2018-12-13,134.0,,
2018-12-14,133.0,,
2018-12-17,133.0,,
2018-12-18,131.0,,
2018-12-19,130.5,,
2018-12-20,128.5,,
2018-12-21,128.5,,
2018-12-27,126.5,,
2018-12-28,127.0,,
2019-01-02,126.5,,
2019-01-03,130.0,,
2019-01-04,132.5,,
2019-01-07,134.0,,
2019-01-08,136.5,,
