Date,Closing price,50,200
2018-06-04,0.768,,
2018-06-05,0.8,,
2018-06-07,0.848,,
2018-06-08,1.05,,
2018-06-11,1.17,,
2018-06-12,1.075,,
2018-06-13,1.05,,
2018-06-14,0.93,,
2018-06-15,1.0,,
2018-06-18,0.964,,
2018-06-19,1.0,,
2018-06-20,1.0,,
2018-06-21,0.99,,
2018-06-25,0.96,,
2018-06-26,0.96,,
2018-06-27,0.932,,
2018-06-28,1.0,,
2018-06-29,1.0,,
2018-07-02,1.0,,
2018-07-03,1.0,,
2018-07-04,1.0,,
2018-07-05,0.85,,
2018-07-06,0.868,,
2018-07-09,0.85,,
2018-07-10,0.826,,
2018-07-11,0.8,,
2018-07-12,0.792,,
2018-07-13,0.798,,
2018-07-16,0.758,,
2018-07-17,0.704,,
2018-07-18,0.738,,
2018-07-19,0.742,,
2018-07-20,0.748,,
2018-07-23,0.76,,
2018-07-24,0.736,,
2018-07-25,0.758,,
2018-07-26,0.756,,
2018-07-27,0.756,,
2018-07-30,0.76,,
2018-07-31,0.752,,
2018-08-01,0.798,,
2018-08-02,0.798,,
2018-08-03,0.798,,
2018-08-06,0.798,,
2018-08-07,0.8,,
2018-08-08,0.842,,
2018-08-09,0.836,,
2018-08-10,0.838,,
2018-08-13,0.834,,
2018-08-14,0.79,,
2018-08-15,0.75,,
2018-08-16,0.738,,
2018-08-17,0.734,,
2018-08-20,0.782,,
2018-08-21,0.75,,
2018-08-22,0.772,,
2018-08-23,0.754,,
2018-08-24,0.714,,
2018-08-27,0.756,,
2018-08-28,0.756,,
2018-08-29,0.724,,
2018-08-30,0.744,,
2018-08-31,0.696,,
2018-09-03,0.65,,
2018-09-04,0.616,,
2018-09-05,0.624,,
2018-09-06,0.618,,
2018-09-07,0.622,,
2018-09-10,0.62,,
2018-09-11,0.574,,
2018-09-12,0.626,,
2018-09-13,0.74,,
2018-09-14,0.756,,
2018-09-17,1.78,,
2018-09-18,1.81,,
2018-09-19,1.86,,
2018-09-20,1.385,,
2018-09-21,1.37,,
2018-09-24,1.355,,
2018-09-25,1.46,,
2018-09-26,1.5,,
