Date,Closing price,50,200
2018-06-04,40.3,,
2018-06-05,39.9,,
2018-06-07,40.1,,
2018-06-08,40.2,,
2018-06-11,40.2,,
2018-06-12,40.9,,
2018-06-13,41.0,,
2018-06-14,40.1,,
2018-06-15,40.4,,
2018-06-18,40.6,,
2018-06-19,40.6,,
2018-06-20,39.8,,
2018-06-21,40.2,,
2018-06-25,39.7,,
2018-06-26,39.7,,
2018-06-27,39.9,,
2018-06-28,39.0,,
2018-06-29,39.9,,
2018-07-02,40.3,,
2018-07-03,41.2,,
2018-07-04,41.0,,
2018-07-05,41.0,,
2018-07-06,40.7,,
2018-07-09,41.0,,
2018-07-10,41.0,,
2018-07-11,41.0,,
2018-07-12,41.5,,
2018-07-13,43.0,,
2018-07-16,41.3,,
2018-07-17,40.3,,
2018-07-18,40.2,,
2018-07-19,40.2,,
2018-07-20,39.9,,
2018-07-23,39.1,,
2018-07-24,39.2,,
2018-07-25,39.2,,
2018-07-26,39.5,,
2018-07-27,39.7,,
2018-07-30,39.7,,
2018-07-31,39.5,,
2018-08-01,39.4,,
2018-08-02,39.2,,
2018-08-03,39.6,,
2018-08-06,42.8,,
2018-08-07,42.5,,
2018-08-08,43.0,,
2018-08-09,43.2,,
2018-08-10,43.2,,
2018-08-13,42.7,,
2018-08-14,42.2,,
2018-08-15,41.5,,
2018-08-16,42.8,,
2018-08-17,43.2,,
2018-08-20,45.2,,
2018-08-21,44.8,,
2018-08-22,43.0,,
2018-08-23,43.7,,
2018-08-24,43.0,,
2018-08-27,43.9,,
2018-08-28,45.3,,
2018-08-29,45.3,,
2018-08-30,44.4,,
2018-08-31,44.7,,
2018-09-03,45.0,,
2018-09-04,46.1,,
2018-09-05,45.7,,
2018-09-06,44.0,,
2018-09-07,45.2,,
2018-09-10,44.9,,
2018-09-11,45.0,,
2018-09-12,45.2,,
2018-09-13,46.0,,
2018-09-14,45.0,,
2018-09-17,45.4,,
2018-09-18,44.0,,
2018-09-19,45.3,,
2018-09-20,45.0,,
2018-09-21,44.3,,
2018-09-24,44.0,,
2018-09-25,43.7,,
2018-09-26,43.8,,
2018-09-27,43.8,,
2018-09-28,44.0,,
2018-10-01,44.0,,
2018-10-02,44.2,,
2018-10-03,45.9,,
2018-10-04,45.5,,
2018-10-05,43.9,,
2018-10-08,42.7,,
2018-10-09,42.7,,
2018-10-10,40.0,,
2018-10-11,38.5,,
2018-10-12,39.0,,
2018-10-15,39.3,,
2018-10-16,39.4,,
2018-10-17,41.4,,
2018-10-18,40.8,,
2018-10-19,39.4,,
2018-10-22,40.6,,
2018-10-23,40.0,,
2018-10-24,39.2,,
2018-10-25,38.3,,
2018-10-26,38.5,,
2018-10-29,43.0,,
2018-10-30,42.5,,
2018-10-31,42.8,,
2018-11-01,41.8,,
2018-11-02,42.3,,
2018-11-05,42.3,,
2018-11-06,42.0,,
2018-11-07,42.7,,
2018-11-08,42.7,,
2018-11-09,42.7,,
2018-11-12,42.9,,
2018-11-13,41.7,,
2018-11-14,40.6,,
2018-11-15,40.1,,
2018-11-16,40.5,,
2018-11-19,39.5,,
2018-11-20,39.0,,
2018-11-21,40.7,,
2018-11-22,39.7,,
2018-11-23,39.9,,
2018-11-26,40.0,,
2018-11-27,38.6,,
2018-11-28,38.6,,
2018-11-29,38.7,,
2018-11-30,38.1,,
2018-12-03,38.8,,
2018-12-04,39.2,,
2018-12-05,38.5,,
2018-12-06,36.4,,
2018-12-07,37.0,,
2018-12-10,36.5,,
2018-12-11,36.2,,
2018-12-12,37.0,,
2018-12-13,36.4,,
2018-12-14,37.3,,
2018-12-17,37.5,,
2018-12-18,36.8,,
2018-12-19,35.8,,
2018-12-20,36.1,,
2018-12-21,35.8,,
2018-12-27,36.6,,
2018-12-28,36.2,,
2019-01-02,37.7,,
2019-01-03,37.5,,
2019-01-04,37.7,,
2019-01-07,37.2,,
2019-01-08,36.8,,
2019-01-09,37.4,,
2019-01-10,37.3,,
2019-01-11,37.8,,
2019-01-14,40.9,,
2019-01-15,43.1,,
2019-01-16,45.5,,
2019-01-17,43.1,,
2019-01-18,44.0,,
2019-01-21,42.4,,
2019-01-22,43.5,,
2019-01-23,44.0,,
2019-01-24,43.9,,
2019-01-25,43.8,,
2019-01-28,43.8,,
2019-01-29,46.2,,
2019-01-30,45.7,,
2019-01-31,46.0,,
2019-02-01,45.5,,
2019-02-04,47.9,,
2019-02-05,50.4,,
2019-02-06,50.0,,
2019-02-07,50.2,,
2019-02-08,50.4,,
2019-02-11,48.8,,
2019-02-12,50.0,,
2019-02-13,50.2,,
2019-02-14,49.6,,
2019-02-15,49.6,,
2019-02-18,50.4,,
2019-02-19,50.0,,
2019-02-20,49.0,,
2019-02-21,49.7,,
2019-02-22,48.8,,
2019-02-25,50.2,,
2019-02-26,51.0,,
2019-02-27,52.0,,
2019-02-28,54.4,,
2019-03-01,54.6,,
2019-03-04,54.4,,
2019-03-05,56.0,,
2019-03-06,55.2,,
2019-03-07,55.2,,
2019-03-08,54.4,,
2019-03-11,56.0,,
2019-03-12,57.4,,
2019-03-13,57.8,,
2019-03-14,58.0,,
2019-03-15,61.0,,
2019-03-18,64.2,,
2019-03-19,66.0,,
2019-03-20,61.0,,
2019-03-21,60.8,,
2019-03-22,56.0,,
2019-03-25,54.6,,
2019-03-26,58.0,,
2019-03-27,56.0,,
2019-03-28,58.6,,
2019-03-29,56.6,,
2019-04-01,57.2,,
2019-04-02,55.6,,
2019-04-03,56.0,,
2019-04-04,57.2,,
2019-04-05,58.2,,
2019-04-08,57.4,,
2019-04-09,56.4,,
2019-04-10,56.4,,
2019-04-11,55.6,,
2019-04-12,57.2,,
2019-04-15,58.2,,
2019-04-16,58.4,,
2019-04-17,56.6,,
2019-04-18,57.0,,
2019-04-23,57.8,,
2019-04-24,58.8,,
2019-04-25,58.4,,
2019-04-26,58.4,,
2019-04-29,56.0,,
2019-04-30,54.0,,
2019-05-02,55.0,,
2019-05-03,55.4,,
2019-05-06,53.6,,
2019-05-07,54.4,,
2019-05-08,55.6,,
2019-05-09,52.6,,
2019-05-10,53.0,,
2019-05-13,51.2,,
2019-05-14,54.0,,
2019-05-15,53.0,,
2019-05-16,53.4,,
2019-05-17,51.8,,
2019-05-20,53.0,,
2019-05-21,53.0,56.52400000000001,46.476000000000006
2019-05-22,52.0,56.476000000000006,46.53800000000001
2019-05-23,51.2,56.38000000000001,46.58000000000001
2019-05-24,51.0,56.25200000000001,46.62250000000001
2019-05-27,50.8,56.111999999999995,46.66150000000002
2019-05-28,53.0,56.012,46.71050000000001
2019-05-29,52.8,55.848,46.7585
2019-05-31,51.4,55.592,46.80199999999999
2019-06-03,51.0,55.292,46.846
2019-06-04,53.0,55.13199999999999,46.90349999999999
