Date,Closing price,50,200
2018-06-04,0.393,,
2018-06-06,0.405,,
2018-06-07,0.415,,
2018-06-08,0.419,,
2018-06-11,0.42,,
2018-06-12,0.409,,
2018-06-13,0.417,,
2018-06-14,0.41,,
2018-06-15,0.41,,
2018-06-18,0.41,,
2018-06-19,0.414,,
2018-06-20,0.414,,
2018-06-21,0.399,,
2018-06-22,0.399,,
2018-06-25,0.399,,
2018-06-26,0.39,,
2018-06-27,0.38,,
2018-06-28,0.38,,
2018-06-29,0.37,,
2018-07-02,0.374,,
2018-07-03,0.374,,
2018-07-04,0.416,,
2018-07-05,0.398,,
2018-07-06,0.398,,
2018-07-09,0.4,,
2018-07-10,0.399,,
2018-07-11,0.396,,
2018-07-12,0.4,,
2018-07-13,0.4,,
2018-07-16,0.381,,
2018-07-17,0.398,,
2018-07-18,0.375,,
2018-07-19,0.375,,
2018-07-20,0.398,,
2018-07-23,0.392,,
2018-07-24,0.392,,
2018-07-25,0.385,,
2018-07-26,0.395,,
2018-07-27,0.391,,
2018-07-30,0.391,,
2018-07-31,0.382,,
2018-08-01,0.383,,
2018-08-02,0.375,,
2018-08-03,0.374,,
2018-08-06,0.374,,
2018-08-07,0.374,,
2018-08-08,0.384,,
2018-08-09,0.395,,
2018-08-10,0.399,,
2018-08-13,0.399,,
2018-08-14,0.399,,
2018-08-15,0.38,,
2018-08-16,0.384,,
2018-08-17,0.396,,
2018-08-20,0.374,,
2018-08-21,0.383,,
2018-08-22,0.379,,
2018-08-23,0.379,,
2018-08-24,0.39,,
2018-08-27,0.39,,
2018-08-28,0.389,,
2018-08-29,0.389,,
2018-08-30,0.388,,
2018-08-31,0.388,,
2018-09-03,0.39,,
2018-09-04,0.39,,
2018-09-05,0.387,,
2018-09-06,0.378,,
2018-09-07,0.37,,
2018-09-10,0.385,,
2018-09-11,0.385,,
2018-09-12,0.384,,
2018-09-13,0.384,,
2018-09-14,0.384,,
2018-09-17,0.384,,
2018-09-18,0.383,,
2018-09-19,0.364,,
2018-09-20,0.364,,
2018-09-21,0.379,,
2018-09-24,0.374,,
2018-09-25,0.374,,
2018-09-26,0.374,,
2018-09-27,0.374,,
2018-09-28,0.369,,
2018-10-01,0.378,,
2018-10-02,0.379,,
2018-10-03,0.379,,
2018-10-04,0.362,,
2018-10-05,0.36,,
2018-10-08,0.36,,
2018-10-09,0.331,,
2018-10-10,0.359,,
2018-10-11,0.359,,
2018-10-12,0.359,,
2018-10-15,0.349,,
2018-10-16,0.34,,
2018-10-17,0.338,,
2018-10-18,0.34,,
2018-10-19,0.34,,
2018-10-22,0.349,,
2018-10-23,0.328,,
2018-10-24,0.334,,
2018-10-25,0.35,,
2018-10-26,0.35,,
2018-10-29,0.35,,
2018-10-30,0.378,,
2018-10-31,0.38,,
2018-11-01,0.361,,
2018-11-02,0.376,,
2018-11-05,0.376,,
2018-11-06,0.36,,
2018-11-07,0.338,,
2018-11-08,0.333,,
2018-11-09,0.333,,
2018-11-12,0.327,,
2018-11-13,0.33,,
2018-11-14,0.312,,
2018-11-15,0.24,,
2018-11-16,0.25,,
2018-11-19,0.26,,
2018-11-20,0.269,,
2018-11-21,0.259,,
2018-11-22,0.33,,
2018-11-23,0.347,,
2018-11-26,0.35,,
2018-11-27,0.36,,
2018-11-28,0.355,,
2018-11-29,0.321,,
2018-11-30,0.354,,
2018-12-03,0.355,,
2018-12-04,0.349,,
2018-12-05,0.349,,
2018-12-06,0.35,,
2018-12-07,0.344,,
2018-12-10,0.35,,
2018-12-11,0.355,,
2018-12-12,0.368,,
2018-12-13,0.36,,
2018-12-14,0.36,,
2018-12-17,0.36,,
2018-12-18,0.36,,
2018-12-19,0.358,,
2018-12-20,0.325,,
2018-12-21,0.329,,
2018-12-27,0.37,,
2018-12-28,0.369,,
2019-01-02,0.373,,
2019-01-03,0.37,,
2019-01-04,0.379,,
2019-01-07,0.38,,
2019-01-08,0.377,,
2019-01-09,0.36,,
2019-01-10,0.451,,
2019-01-11,0.459,,
2019-01-14,0.443,,
2019-01-15,0.427,,
2019-01-16,0.439,,
2019-01-17,0.41,,
2019-01-18,0.39,,
2019-01-21,0.41,,
2019-01-22,0.41,,
2019-01-23,0.401,,
2019-01-24,0.402,,
2019-01-25,0.42,,
2019-01-28,0.401,,
2019-01-29,0.39,,
2019-01-30,0.396,,
2019-01-31,0.437,,
2019-02-01,0.419,,
2019-02-04,0.4,,
2019-02-05,0.415,,
2019-02-06,0.434,,
2019-02-07,0.431,,
2019-02-08,0.42,,
2019-02-11,0.425,,
2019-02-12,0.427,,
2019-02-13,0.43,,
2019-02-14,0.441,,
2019-02-15,0.435,,
2019-02-18,0.434,,
2019-02-19,0.435,,
2019-02-20,0.444,,
2019-02-21,0.446,,
2019-02-22,0.48,,
2019-02-25,0.49,,
2019-02-26,0.489,,
2019-02-27,0.469,,
2019-02-28,0.477,,
2019-03-01,0.464,,
2019-03-04,0.461,,
2019-03-05,0.46,,
2019-03-06,0.455,,
2019-03-07,0.45,,
2019-03-08,0.45,,
2019-03-11,0.455,,
2019-03-12,0.45,,
2019-03-13,0.45,,
2019-03-14,0.45,,
2019-03-15,0.457,,
2019-03-18,0.446,,
2019-03-19,0.449,,
2019-03-20,0.455,,
2019-03-21,0.455,,
2019-03-22,0.46,,
2019-03-25,0.44,,
2019-03-26,0.457,,
2019-03-27,0.457,,
2019-03-28,0.466,,
2019-03-29,0.429,,
2019-04-01,0.424,,
2019-04-02,0.424,,
2019-04-03,0.432,,
2019-04-04,0.441,,
2019-04-05,0.449,,
2019-04-08,0.431,,
2019-04-09,0.431,,
2019-04-10,0.437,,
2019-04-11,0.448,,
2019-04-12,0.447,,
2019-04-15,0.439,,
