Date,Closing price,50,200
2018-06-04,110.0,,
2018-06-05,111.1,,
2018-06-07,109.7,,
2018-06-08,109.7,,
2018-06-11,109.4,,
2018-06-12,107.3,,
2018-06-13,105.2,,
2018-06-14,106.6,,
2018-06-15,106.3,,
2018-06-18,107.4,,
2018-06-19,107.2,,
2018-06-20,107.0,,
2018-06-21,107.9,,
2018-06-25,104.5,,
2018-06-26,104.4,,
2018-06-27,104.3,,
2018-06-28,103.3,,
2018-06-29,105.1,,
2018-07-02,103.5,,
2018-07-03,102.5,,
2018-07-04,102.3,,
2018-07-05,103.2,,
2018-07-06,103.3,,
2018-07-09,104.8,,
2018-07-10,105.1,,
2018-07-11,104.2,,
2018-07-12,105.2,,
2018-07-13,107.6,,
2018-07-16,109.7,,
2018-07-17,114.9,,
2018-07-18,114.5,,
2018-07-19,113.2,,
2018-07-20,111.7,,
2018-07-23,112.3,,
2018-07-24,112.9,,
2018-07-25,114.6,,
2018-07-26,115.0,,
2018-07-27,114.3,,
2018-07-30,115.1,,
2018-07-31,115.3,,
2018-08-01,115.0,,
2018-08-02,114.7,,
2018-08-03,115.7,,
2018-08-06,116.9,,
2018-08-07,118.9,,
2018-08-08,118.8,,
2018-08-09,117.2,,
2018-08-10,116.4,,
2018-08-13,118.2,,
2018-08-14,116.6,,
2018-08-15,116.5,,
2018-08-16,116.0,,
2018-08-17,117.0,,
2018-08-20,117.7,,
2018-08-21,117.6,,
2018-08-22,118.0,,
2018-08-23,118.5,,
2018-08-24,118.9,,
2018-08-27,119.6,,
2018-08-28,117.8,,
2018-08-29,117.0,,
2018-08-30,118.1,,
2018-08-31,121.6,,
2018-09-03,121.7,,
2018-09-04,125.4,,
2018-09-05,123.1,,
2018-09-06,125.0,,
2018-09-07,124.6,,
2018-09-10,127.9,,
2018-09-11,128.6,,
2018-09-12,129.9,,
2018-09-13,131.1,,
2018-09-14,130.8,,
2018-09-17,132.5,,
2018-09-18,129.8,,
2018-09-19,127.6,,
2018-09-20,127.8,,
2018-09-21,126.7,,
2018-09-24,127.8,,
