Date,Closing price,50,200
2018-06-04,0.538,,
2018-06-05,0.538,,
2018-06-07,0.54,,
2018-06-08,0.524,,
2018-06-11,0.449,,
2018-06-12,0.419,,
2018-06-13,0.401,,
2018-06-14,0.469,,
2018-06-15,0.486,,
2018-06-18,0.486,,
2018-06-19,0.487,,
2018-06-20,0.428,,
2018-06-21,0.484,,
2018-06-25,0.439,,
2018-06-26,0.43,,
2018-06-27,0.429,,
2018-06-28,0.496,,
2018-06-29,0.487,,
2018-07-02,0.47,,
2018-07-03,0.49,,
2018-07-04,0.484,,
2018-07-05,0.473,,
2018-07-06,0.421,,
2018-07-09,0.459,,
2018-07-10,0.479,,
2018-07-11,0.406,,
2018-07-12,0.434,,
2018-07-13,0.469,,
2018-07-16,0.467,,
2018-07-17,0.43,,
2018-07-18,0.433,,
2018-07-19,0.429,,
2018-07-20,0.429,,
2018-07-23,0.429,,
2018-07-24,0.433,,
2018-07-25,0.433,,
2018-07-26,0.45,,
2018-07-27,0.45,,
2018-07-30,0.437,,
2018-07-31,0.467,,
2018-08-01,0.464,,
2018-08-02,0.429,,
2018-08-03,0.423,,
2018-08-06,0.419,,
2018-08-07,0.55,,
2018-08-08,0.53,,
2018-08-09,0.47,,
2018-08-10,0.58,,
2018-08-13,1.0,,
2018-08-14,1.16,,
2018-08-15,1.19,,
2018-08-16,1.19,,
2018-08-17,1.245,,
2018-08-20,1.265,,
2018-08-21,1.41,,
2018-08-22,1.36,,
2018-08-23,1.36,,
2018-08-24,1.37,,
2018-08-27,1.31,,
2018-08-28,1.22,,
2018-08-29,1.25,,
2018-08-30,1.36,,
2018-08-31,1.025,,
2018-09-03,0.96,,
2018-09-04,0.896,,
2018-09-05,0.906,,
2018-09-06,1.17,,
2018-09-07,1.105,,
2018-09-10,1.16,,
2018-09-11,1.13,,
2018-09-12,1.215,,
2018-09-13,1.28,,
2018-09-14,1.37,,
2018-09-17,1.33,,
2018-09-18,1.205,,
2018-09-19,1.09,,
2018-09-20,1.24,,
2018-09-21,1.145,,
2018-09-24,1.17,,
2018-09-25,1.26,,
2018-09-26,1.275,,
2018-09-27,1.26,,
2018-09-28,1.285,,
2018-10-01,1.29,,
2018-10-02,1.305,,
2018-10-03,1.3,,
2018-10-04,1.27,,
2018-10-05,1.265,,
2018-10-08,1.205,,
2018-10-09,1.185,,
2018-10-10,1.15,,
2018-10-11,1.07,,
2018-10-12,1.125,,
2018-10-15,1.1,,
2018-10-16,1.225,,
2018-10-17,1.18,,
2018-10-18,1.205,,
2018-10-19,1.225,,
2018-10-22,1.2,,
2018-10-23,1.14,,
2018-10-24,1.08,,
2018-10-25,1.14,,
2018-10-26,1.16,,
2018-10-29,0.95,,
2018-10-30,0.95,,
2018-10-31,0.75,,
2018-11-01,0.71,,
2018-11-02,0.698,,
2018-11-05,0.718,,
2018-11-06,0.732,,
2018-11-07,0.78,,
2018-11-08,0.84,,
2018-11-09,0.8,,
2018-11-12,0.8,,
2018-11-13,0.702,,
2018-11-14,0.72,,
2018-11-15,0.65,,
2018-11-16,0.64,,
2018-11-19,0.59,,
2018-11-20,0.48,,
2018-11-21,0.528,,
2018-11-22,0.508,,
2018-11-23,0.526,,
2018-11-26,0.564,,
2018-11-27,0.534,,
2018-11-28,0.566,,
2018-11-29,0.461,,
2018-11-30,0.524,,
2018-12-03,0.52,,
2018-12-04,0.5,,
2018-12-05,0.546,,
2018-12-06,0.72,,
2018-12-07,0.66,,
2018-12-10,0.666,,
2018-12-11,0.646,,
2018-12-12,0.59,,
2018-12-13,0.608,,
2018-12-14,0.614,,
2018-12-17,0.6,,
2018-12-18,0.57,,
2018-12-19,0.57,,
2018-12-20,0.6,,
2018-12-21,0.67,,
2018-12-27,0.504,,
2018-12-28,0.536,,
2019-01-02,0.51,,
2019-01-03,0.5,,
2019-01-04,0.528,,
2019-01-07,0.548,,
2019-01-08,0.465,,
2019-01-09,0.466,,
2019-01-10,0.457,,
2019-01-11,0.46,,
2019-01-14,0.48,,
2019-01-15,0.46,,
2019-01-16,0.472,,
2019-01-17,0.478,,
2019-01-18,0.477,,
2019-01-21,0.45,,
2019-01-22,0.46,,
2019-01-23,0.468,,
2019-01-24,0.45,,
2019-01-25,0.46,,
2019-01-28,0.447,,
2019-01-29,0.473,,
2019-01-30,0.479,,
2019-01-31,0.49,,
2019-02-01,0.484,,
2019-02-04,0.483,,
2019-02-05,0.5,,
2019-02-06,0.52,,
2019-02-07,0.608,,
2019-02-08,0.624,,
2019-02-11,0.568,,
2019-02-12,0.552,,
2019-02-13,0.546,,
2019-02-14,0.54,,
2019-02-15,0.598,,
2019-02-18,0.61,,
2019-02-19,0.626,,
2019-02-20,0.608,,
2019-02-21,0.49,,
2019-02-22,0.465,,
2019-02-25,0.478,,
2019-02-26,0.475,,
2019-02-27,0.445,,
2019-02-28,0.459,,
2019-03-01,0.458,,
2019-03-04,0.474,,
2019-03-05,0.447,,
2019-03-06,0.434,,
2019-03-07,0.44,,
2019-03-08,0.44,,
2019-03-11,0.4,,
2019-03-12,0.4,,
2019-03-13,0.395,,
2019-03-14,0.43,,
2019-03-15,0.448,,
2019-03-18,0.425,,
2019-03-19,0.412,,
2019-03-20,0.393,,
2019-03-21,0.417,,
2019-03-22,0.402,,
2019-03-25,0.412,,
2019-03-26,0.423,,
2019-03-27,0.423,,
2019-03-28,0.434,,
2019-03-29,0.429,,
2019-04-01,0.4,,
2019-04-02,0.398,,
2019-04-03,0.39,,
2019-04-04,0.378,,
2019-04-05,0.37,,
2019-04-08,0.37,,
2019-04-09,0.374,,
2019-04-10,0.366,,
2019-04-11,0.428,,
2019-04-12,0.388,,
2019-04-15,0.34,,
2019-04-16,0.347,,
2019-04-17,0.426,,
2019-04-18,0.39,,
2019-04-23,0.44,,
2019-04-24,0.431,,
2019-04-25,0.413,,
2019-04-26,0.409,,
