Date,Closing price,50,200
2018-06-04,47.6,,
2018-06-06,52.0,,
2018-06-07,56.6,,
2018-06-08,57.8,,
2018-06-11,64.8,,
2018-06-12,64.4,,
2018-06-13,59.0,,
2018-06-14,55.2,,
2018-06-15,53.0,,
2018-06-18,53.6,,
2018-06-19,57.8,,
2018-06-20,65.0,,
2018-06-21,64.2,,
2018-06-22,63.0,,
2018-06-25,60.8,,
2018-06-26,58.4,,
2018-06-27,61.0,,
2018-06-28,60.0,,
2018-06-29,61.0,,
2018-07-02,61.0,,
2018-07-03,61.4,,
2018-07-04,61.2,,
2018-07-05,58.8,,
2018-07-06,60.0,,
2018-07-09,59.0,,
2018-07-10,57.2,,
2018-07-11,57.4,,
2018-07-12,57.4,,
2018-07-13,60.2,,
2018-07-16,63.6,,
2018-07-17,62.6,,
2018-07-18,62.4,,
2018-07-19,62.4,,
2018-07-20,63.0,,
2018-07-23,63.0,,
2018-07-24,64.0,,
2018-07-25,66.4,,
2018-07-26,68.2,,
2018-07-27,69.0,,
2018-07-30,81.0,,
2018-07-31,77.4,,
2018-08-01,81.0,,
2018-08-02,80.0,,
2018-08-03,81.0,,
2018-08-06,84.8,,
2018-08-07,87.0,,
2018-08-08,88.8,,
2018-08-09,81.8,,
2018-08-10,84.4,,
2018-08-13,82.6,,
2018-08-14,83.2,,
2018-08-15,83.0,,
2018-08-16,83.0,,
2018-08-17,83.8,,
2018-08-20,88.2,,
2018-08-21,89.2,,
2018-08-22,92.2,,
2018-08-23,92.8,,
2018-08-24,94.4,,
2018-08-27,88.6,,
2018-08-28,84.0,,
2018-08-29,87.8,,
2018-08-30,90.2,,
2018-08-31,90.0,,
2018-09-03,89.2,,
2018-09-04,86.0,,
2018-09-05,84.6,,
2018-09-06,79.0,,
2018-09-07,76.4,,
2018-09-10,80.0,,
2018-09-11,79.0,,
2018-09-12,76.2,,
2018-09-13,73.2,,
2018-09-14,76.0,,
2018-09-17,76.0,,
2018-09-18,84.4,,
2018-09-19,80.8,,
2018-09-20,78.6,,
2018-09-21,78.8,,
2018-09-24,77.4,,
2018-09-25,77.8,,
2018-09-26,78.2,,
2018-09-27,75.8,,
2018-09-28,72.4,,
2018-10-01,74.6,,
2018-10-02,78.0,,
2018-10-03,74.6,,
2018-10-04,70.2,,
2018-10-05,71.0,,
2018-10-08,65.4,,
2018-10-09,62.6,,
2018-10-10,56.8,,
2018-10-11,61.8,,
2018-10-12,64.0,,
2018-10-15,60.6,,
2018-10-16,60.6,,
2018-10-17,60.0,,
2018-10-18,58.8,,
2018-10-19,58.0,,
2018-10-22,57.0,,
2018-10-23,52.6,,
2018-10-24,49.0,,
2018-10-25,49.5,,
2018-10-26,50.2,,
2018-10-29,63.0,,
2018-10-30,59.6,,
2018-10-31,59.0,,
2018-11-01,57.2,,
2018-11-02,59.4,,
2018-11-05,59.6,,
2018-11-06,58.0,,
2018-11-07,60.6,,
2018-11-08,68.8,,
2018-11-09,67.6,,
2018-11-12,65.2,,
2018-11-13,62.2,,
2018-11-14,61.0,,
2018-11-15,58.0,,
2018-11-16,56.6,,
2018-11-19,58.6,,
2018-11-20,58.0,,
2018-11-21,57.6,,
2018-11-22,57.4,,
2018-11-23,63.8,,
2018-11-26,67.4,,
2018-11-27,68.0,,
2018-11-28,73.8,,
2018-11-29,79.0,,
2018-11-30,80.0,,
2018-12-03,80.0,,
2018-12-04,79.0,,
2018-12-05,85.6,,
2018-12-06,86.4,,
2018-12-07,91.4,,
2018-12-10,91.4,,
2018-12-11,90.0,,
2018-12-12,90.0,,
2018-12-13,91.8,,
2018-12-14,90.4,,
2018-12-17,90.6,,
2018-12-18,90.4,,
2018-12-19,90.0,,
2018-12-20,90.0,,
2018-12-21,88.0,,
2018-12-27,82.8,,
2018-12-28,85.8,,
2019-01-02,91.0,,
2019-01-03,95.0,,
2019-01-04,99.2,,
2019-01-07,115.0,,
2019-01-08,130.0,,
2019-01-09,123.5,,
2019-01-10,129.0,,
2019-01-11,138.0,,
2019-01-14,138.5,,
2019-01-15,129.0,,
2019-01-16,121.5,,
2019-01-17,128.5,,
2019-01-18,126.5,,
2019-01-21,131.5,,
2019-01-22,131.5,,
2019-01-23,130.5,,
2019-01-24,132.0,,
2019-01-25,129.5,,
2019-01-28,124.5,,
2019-01-29,124.5,,
2019-01-30,125.0,,
2019-01-31,124.5,,
2019-02-01,131.5,,
2019-02-04,131.5,,
2019-02-05,143.5,,
2019-02-06,148.0,,
2019-02-07,148.0,,
2019-02-08,149.5,,
2019-02-11,161.0,,
2019-02-12,157.0,,
2019-02-13,153.5,,
2019-02-14,160.0,,
2019-02-15,159.0,,
2019-02-18,164.5,,
2019-02-19,176.5,,
2019-02-20,181.0,,
2019-02-21,178.0,,
2019-02-22,175.5,,
2019-02-25,170.0,,
2019-02-26,160.0,,
2019-02-27,168.0,,
2019-02-28,163.0,,
2019-03-01,164.5,,
2019-03-04,168.5,,
2019-03-05,168.0,,
2019-03-06,167.0,,
2019-03-07,163.5,,
2019-03-08,156.5,,
2019-03-11,148.0,,
2019-03-12,146.5,,
2019-03-13,155.0,,
2019-03-14,152.5,,
2019-03-15,154.5,,
2019-03-18,149.0,,
2019-03-19,146.5,,
2019-03-20,153.5,,
2019-03-21,151.0,,
2019-03-22,148.5,,
2019-03-25,143.5,,
2019-03-26,144.5,,
2019-03-27,145.5,,
2019-03-28,142.5,,
2019-03-29,141.0,,
2019-04-01,140.0,,
2019-04-02,134.6,,
2019-04-03,151.8,,
2019-04-04,141.4,,
2019-04-05,141.4,,
2019-04-08,147.4,,
2019-04-09,154.0,,
2019-04-10,161.0,,
2019-04-11,163.4,,
2019-04-12,160.2,,
2019-04-15,158.0,,
2019-04-16,157.6,,
2019-04-17,157.2,,
2019-04-18,157.2,,
2019-04-23,155.0,,
2019-04-24,159.0,,
2019-04-25,173.0,,
2019-04-26,169.4,,
2019-04-29,173.0,,
2019-04-30,172.4,,
2019-05-01,173.8,,
2019-05-02,169.2,,
2019-05-03,167.4,,
2019-05-06,164.0,,
2019-05-07,173.8,,
2019-05-08,170.4,,
2019-05-09,173.0,,
2019-05-10,166.6,,
2019-05-13,156.2,,
2019-05-14,161.6,,
2019-05-15,157.4,156.74799999999996,110.07449999999993
2019-05-16,159.8,156.58399999999997,110.48649999999992
2019-05-20,158.0,156.40399999999997,110.87149999999991
2019-05-21,160.0,156.33399999999997,111.27149999999992
2019-05-22,169.2,156.58799999999997,111.71249999999992
2019-05-23,163.0,156.88799999999998,112.10349999999993
2019-05-24,163.0,157.218,112.48349999999994
2019-05-27,162.8,157.374,112.85349999999993
2019-05-28,161.0,157.54399999999998,113.24949999999995
2019-05-29,152.6,157.50599999999997,113.59049999999993
