Date,Closing price,50,200
2017-12-13,0.264,,
2018-06-04,0.45,,
2018-06-05,0.44,,
2018-06-07,0.43,,
2018-06-08,0.448,,
2018-06-11,0.416,,
2018-06-12,0.4,,
2018-06-13,0.43,,
2018-06-14,0.43,,
2018-06-15,0.446,,
2018-06-18,0.404,,
2018-06-19,0.416,,
2018-06-20,0.336,,
2018-06-21,0.45,,
2018-06-25,0.44,,
2018-06-26,0.41,,
2018-06-27,0.424,,
2018-06-28,0.424,,
2018-06-29,0.42,,
2018-07-02,0.414,,
2018-07-03,0.4,,
2018-07-04,0.38,,
2018-07-05,0.37,,
2018-07-06,0.37,,
2018-07-09,0.4,,
2018-07-10,0.4,,
2018-07-11,0.39,,
2018-07-12,0.388,,
2018-07-13,0.356,,
2018-07-16,0.354,,
2018-07-17,0.354,,
2018-07-18,0.386,,
2018-07-19,0.398,,
2018-07-20,0.366,,
2018-07-23,0.384,,
2018-07-24,0.36,,
2018-07-25,0.388,,
2018-07-26,0.378,,
2018-07-27,0.362,,
2018-07-30,0.398,,
2018-07-31,0.398,,
2018-08-01,0.4,,
2018-08-02,0.4,,
2018-08-03,0.39,,
2018-08-06,0.36,,
2018-08-07,0.366,,
2018-08-08,0.362,,
2018-08-09,0.38,,
2018-08-10,0.36,,
2018-08-13,0.346,,
2018-08-14,0.358,,
2018-08-15,0.36,,
2018-08-16,0.38,,
2018-08-17,0.35,,
2018-08-20,0.346,,
2018-08-21,0.34,,
2018-08-22,0.344,,
2018-08-23,0.332,,
2018-08-24,0.328,,
2018-08-27,0.326,,
2018-08-28,0.318,,
2018-08-29,0.3,,
2018-08-30,0.3,,
2018-08-31,0.292,,
2018-09-03,0.262,,
2018-09-04,0.31,,
2018-09-05,0.288,,
2018-09-06,0.288,,
2018-09-07,0.284,,
2018-09-10,0.262,,
2018-09-11,0.264,,
2018-09-12,0.288,,
2018-09-13,0.278,,
2018-09-14,0.266,,
2018-09-17,0.3,,
2018-09-18,0.27,,
2018-09-19,0.27,,
2018-09-20,0.27,,
2018-09-21,0.294,,
2018-09-24,0.298,,
2018-09-25,0.272,,
2018-09-26,0.276,,
2018-09-27,0.3,,
2018-09-28,0.296,,
2018-10-01,0.3,,
2018-10-02,0.278,,
2018-10-03,0.278,,
2018-10-04,0.298,,
2018-10-05,0.28,,
2018-10-08,0.272,,
2018-10-09,0.28,,
2018-10-10,0.27,,
2018-10-11,0.28,,
2018-10-12,0.34,,
2018-10-15,0.32,,
2018-10-16,0.276,,
2018-10-17,0.282,,
2018-10-18,0.28,,
2018-10-19,0.28,,
2018-10-22,0.29,,
2018-10-23,0.358,,
2018-10-24,0.35,,
2018-10-25,0.346,,
2018-10-26,0.322,,
2018-10-29,0.352,,
2018-10-30,0.35,,
2018-10-31,0.308,,
2018-11-01,0.318,,
2018-11-02,0.318,,
2018-11-05,0.308,,
2018-11-06,0.32,,
2018-11-07,0.32,,
2018-11-08,0.298,,
2018-11-09,0.3,,
2018-11-12,0.3,,
2018-11-13,0.264,,
2018-11-14,0.298,,
2018-11-15,0.298,,
2018-11-16,0.298,,
2018-11-19,0.3,,
2018-11-20,0.264,,
2018-11-21,0.264,,
2018-11-22,0.264,,
2018-11-23,0.264,,
2018-11-26,0.264,,
2018-11-27,0.264,,
2018-11-28,0.264,,
2018-11-29,0.27,,
2018-11-30,0.27,,
2018-12-03,0.31,,
2018-12-04,0.268,,
2018-12-05,0.268,,
2018-12-06,0.27,,
2018-12-07,0.27,,
2018-12-10,0.25,,
2018-12-11,0.25,,
2018-12-12,0.25,,
2018-12-13,0.268,,
2018-12-14,0.29,,
2018-12-17,0.29,,
2018-12-18,0.25,,
2018-12-19,0.25,,
2018-12-20,0.27,,
2018-12-21,0.29,,
2018-12-27,0.29,,
2018-12-28,0.29,,
2019-01-02,0.29,,
2019-01-03,0.29,,
2019-01-04,0.252,,
2019-01-07,0.262,,
2019-01-08,0.262,,
2019-01-09,0.26,,
2019-01-10,0.254,,
2019-01-11,0.262,,
2019-01-14,0.27,,
2019-01-15,0.292,,
2019-01-16,0.292,,
2019-01-17,0.29,,
2019-01-18,0.282,,
2019-01-21,0.284,,
2019-01-22,0.22,,
2019-01-23,0.2,,
2019-01-24,0.2,,
2019-01-25,0.214,,
2019-01-28,0.27,,
2019-01-29,0.264,,
2019-01-30,0.264,,
2019-01-31,0.264,,
2019-02-01,0.27,,
2019-02-04,0.224,,
2019-02-05,0.224,,
2019-02-06,0.224,,
2019-02-07,0.23,,
2019-02-08,0.184,,
2019-02-11,0.204,,
2019-02-12,0.248,,
2019-02-13,0.248,,
2019-02-14,0.26,,
2019-02-15,0.222,,
2019-02-18,0.222,,
2019-02-19,0.222,,
2019-02-20,0.246,,
2019-02-21,0.222,,
2019-02-22,0.222,,
2019-02-25,0.228,,
2019-02-26,0.199,,
2019-02-27,0.199,,
2019-02-28,0.23,,
2019-03-01,0.2,,
2019-03-04,0.191,,
2019-03-05,0.2,,
2019-03-06,0.2,,
2019-03-07,0.244,,
2019-03-08,0.244,,
2019-03-11,0.244,,
2019-03-12,0.24,,
2019-03-13,0.24,,
2019-03-14,0.191,,
2019-03-15,0.214,,
2019-03-18,0.21,,
2019-03-19,0.21,,
2019-03-20,0.2,,
2019-03-21,0.2,,
2019-03-22,0.214,,
2019-03-25,0.214,,
2019-03-26,0.214,,
2019-03-27,0.2,,
2019-03-28,0.17,,
2019-03-29,0.18,,
2019-04-01,0.18,,
2019-04-02,0.18,,
2019-04-03,0.18,,
2019-04-04,0.21,,
2019-04-05,0.195,,
2019-04-08,0.195,,
2019-04-09,0.224,,
2019-04-10,0.22,,
2019-04-11,0.22,,
2019-04-12,0.183,,
2019-04-15,0.183,,
2019-04-16,0.187,,
2019-04-17,0.187,,
2019-04-18,0.208,,
2019-04-23,0.208,,
2019-04-24,0.208,,
2019-04-25,0.185,,
2019-04-26,0.2,,
2019-04-29,0.2,,
2019-04-30,0.197,,
2019-05-02,0.197,,
2019-05-03,0.2,,
2019-05-06,0.194,,
2019-05-07,0.214,,
2019-05-08,0.218,,
2019-05-09,0.193,,
2019-05-10,0.193,,
2019-05-13,0.195,,
2019-05-14,0.187,,
2019-05-15,0.185,,
2019-05-16,0.188,,
2019-05-17,0.2,,
2019-05-20,0.185,,
2019-05-21,0.199,0.20166000000000006,0.2609999999999999
2019-05-22,0.199,0.20076000000000008,0.26004499999999986
2019-05-23,0.19,0.19968000000000008,0.2591949999999999
2019-05-24,0.2,0.19888000000000006,0.25836499999999984
2019-05-27,0.198,0.19804000000000005,0.2575449999999998
2019-05-28,0.198,0.19818000000000002,0.25663499999999984
2019-05-29,0.198,0.19786,0.2558249999999998
2019-05-31,0.16,0.19686,0.25489499999999987
2019-06-03,0.16,0.19585999999999998,0.2539049999999999
2019-06-04,0.157,0.195,0.2528899999999999
