Date,Closing price,50,200
2018-05-09,0.515,,
2018-06-05,0.398,,
2018-06-07,0.35,,
2018-06-08,0.396,,
2018-06-11,0.378,,
2018-06-12,0.378,,
2018-06-13,0.322,,
2018-06-14,0.322,,
2018-06-15,0.314,,
2018-06-18,0.36,,
2018-06-19,0.36,,
2018-06-20,0.31,,
2018-06-21,0.31,,
2018-06-25,0.344,,
2018-06-26,0.344,,
2018-06-27,0.344,,
2018-06-28,0.338,,
2018-06-29,0.32,,
2018-07-02,0.32,,
2018-07-03,0.32,,
2018-07-04,0.32,,
2018-07-05,0.32,,
2018-07-06,0.35,,
2018-07-09,0.35,,
2018-07-10,0.35,,
2018-07-11,0.27,,
2018-07-12,0.27,,
2018-07-13,0.4,,
2018-07-16,0.3,,
2018-07-17,0.39,,
2018-07-18,0.378,,
2018-07-19,0.35,,
2018-07-20,0.35,,
2018-07-23,0.32,,
2018-07-24,0.39,,
2018-07-25,0.392,,
2018-07-26,0.392,,
2018-07-27,0.45,,
2018-07-30,0.45,,
2018-07-31,0.45,,
2018-08-01,0.45,,
2018-08-02,0.45,,
2018-08-03,0.45,,
2018-08-06,0.4,,
2018-08-07,0.41,,
2018-08-08,0.41,,
2018-08-09,0.45,,
2018-08-10,0.45,,
2018-08-13,0.448,,
2018-08-14,0.444,,
2018-08-15,0.52,,
2018-08-16,0.45,,
2018-08-17,0.46,,
2018-08-20,0.5,,
2018-08-21,0.595,,
2018-08-22,0.52,,
2018-08-23,0.54,,
2018-08-24,0.468,,
2018-08-27,0.466,,
2018-08-28,0.496,,
2018-08-29,0.59,,
2018-08-30,0.69,,
2018-08-31,0.61,,
2018-09-03,0.595,,
2018-09-04,0.55,,
2018-09-05,0.75,,
2018-09-06,0.59,,
2018-09-07,0.65,,
2018-09-10,0.65,,
2018-09-11,0.85,,
2018-09-12,1.0,,
2018-09-13,1.45,,
2018-09-14,1.2,,
2018-09-17,1.12,,
2018-09-18,1.1,,
2018-09-19,1.05,,
2018-09-20,1.0,,
2018-09-21,0.915,,
2018-09-24,0.8,,
2018-09-25,0.78,,
