Date,Closing price,50,200
2018-06-04,9.0,,
2018-06-05,8.9,,
2018-06-07,8.9,,
2018-06-08,8.7,,
2018-06-11,8.5,,
2018-06-12,8.5,,
2018-06-13,8.48,,
2018-06-14,8.1,,
2018-06-15,8.28,,
2018-06-18,8.1,,
2018-06-19,8.12,,
2018-06-20,8.68,,
2018-06-21,8.9,,
2018-06-25,9.0,,
2018-06-26,9.38,,
2018-06-27,9.44,,
2018-06-28,8.98,,
2018-06-29,9.36,,
2018-07-02,9.5,,
2018-07-03,9.5,,
2018-07-04,9.48,,
2018-07-05,9.38,,
2018-07-06,9.0,,
2018-07-09,9.34,,
2018-07-10,9.34,,
2018-07-11,9.4,,
2018-07-12,9.2,,
2018-07-13,9.18,,
2018-07-16,9.08,,
2018-07-17,9.5,,
2018-07-18,9.28,,
2018-07-19,9.34,,
2018-07-20,9.34,,
2018-07-23,9.34,,
2018-07-24,8.9,,
2018-07-25,9.0,,
2018-07-26,8.5,,
2018-07-27,8.68,,
2018-07-30,8.6,,
2018-07-31,8.46,,
2018-08-01,8.5,,
2018-08-02,8.2,,
2018-08-03,8.5,,
2018-08-06,8.4,,
2018-08-07,8.2,,
2018-08-08,8.5,,
2018-08-09,8.5,,
2018-08-10,8.5,,
2018-08-13,8.5,,
2018-08-14,9.3,,
2018-08-15,9.3,,
2018-08-16,8.9,,
2018-08-17,9.46,,
2018-08-20,9.4,,
2018-08-21,9.46,,
2018-08-22,9.46,,
2018-08-23,9.2,,
2018-08-24,9.2,,
2018-08-27,9.26,,
2018-08-28,9.02,,
2018-08-29,9.02,,
2018-08-30,9.2,,
2018-08-31,9.48,,
2018-09-03,8.98,,
2018-09-04,9.18,,
2018-09-05,9.0,,
2018-09-06,8.8,,
2018-09-07,9.0,,
2018-09-10,8.86,,
2018-09-11,8.92,,
2018-09-12,8.66,,
2018-09-13,8.84,,
2018-09-14,9.0,,
2018-09-17,8.52,,
2018-09-18,8.5,,
2018-09-19,8.98,,
2018-09-20,8.62,,
2018-09-21,9.0,,
2018-09-24,9.0,,
2018-09-25,9.0,,
2018-09-26,8.98,,
2018-09-27,8.94,,
2018-09-28,9.0,,
2018-10-01,9.0,,
2018-10-02,9.0,,
2018-10-03,9.0,,
2018-10-04,8.6,,
2018-10-05,8.98,,
2018-10-08,8.48,,
2018-10-09,8.6,,
2018-10-10,8.24,,
2018-10-11,8.0,,
2018-10-12,8.0,,
2018-10-15,8.22,,
2018-10-16,8.26,,
2018-10-17,8.26,,
2018-10-18,8.4,,
2018-10-19,9.2,,
2018-10-22,10.7,,
2018-10-23,10.45,,
2018-10-24,10.3,,
2018-10-25,9.98,,
2018-10-26,9.98,,
2018-10-29,10.0,,
2018-10-30,9.6,,
2018-10-31,9.28,,
2018-11-01,9.5,,
2018-11-02,9.5,,
2018-11-05,9.2,,
2018-11-06,9.18,,
2018-11-07,9.16,,
2018-11-08,9.5,,
2018-11-09,10.95,,
2018-11-12,10.0,,
2018-11-13,12.25,,
2018-11-14,12.95,,
2018-11-15,13.0,,
2018-11-16,14.0,,
2018-11-19,13.0,,
2018-11-20,12.5,,
2018-11-21,12.95,,
2018-11-22,12.85,,
2018-11-23,12.0,,
2018-11-26,12.45,,
2018-11-27,12.15,,
2018-11-28,12.0,,
2018-11-29,13.0,,
2018-11-30,12.95,,
2018-12-03,12.5,,
2018-12-04,12.1,,
2018-12-05,13.0,,
2018-12-06,12.3,,
2018-12-07,12.0,,
2018-12-10,12.1,,
2018-12-11,12.2,,
2018-12-12,12.0,,
2018-12-13,11.95,,
2018-12-14,11.95,,
2018-12-17,11.7,,
2018-12-18,10.95,,
2018-12-19,11.85,,
2018-12-20,11.45,,
2018-12-21,11.6,,
2018-12-27,10.95,,
2018-12-28,10.75,,
2019-01-02,11.0,,
2019-01-03,10.85,,
2019-01-04,11.15,,
2019-01-07,11.1,,
2019-01-08,11.5,,
2019-01-09,11.1,,
2019-01-10,11.5,,
2019-01-11,11.45,,
2019-01-14,11.4,,
2019-01-15,10.9,,
2019-01-16,11.4,,
2019-01-17,11.15,,
2019-01-18,11.15,,
2019-01-21,11.4,,
2019-01-22,11.1,,
2019-01-23,11.0,,
2019-01-24,11.0,,
2019-01-25,11.0,,
2019-01-28,11.0,,
2019-01-29,11.1,,
2019-01-30,11.2,,
2019-01-31,11.25,,
2019-02-01,11.2,,
2019-02-04,11.0,,
2019-02-05,10.95,,
2019-02-06,10.8,,
2019-02-07,10.5,,
2019-02-08,10.9,,
2019-02-11,11.0,,
2019-02-12,11.15,,
2019-02-13,11.0,,
2019-02-14,10.95,,
