Date,Closing price,50,200
2018-06-04,28.4,,
2018-06-05,28.35,,
2018-06-06,28.7,,
2018-06-07,28.35,,
2018-06-08,28.55,,
2018-06-11,28.6,,
2018-06-12,28.65,,
2018-06-13,28.75,,
2018-06-14,28.4,,
2018-06-15,28.95,,
2018-06-18,28.85,,
2018-06-19,28.8,,
2018-06-20,28.5,,
2018-06-21,28.5,,
2018-06-22,28.8,,
2018-06-25,28.5,,
2018-06-26,28.35,,
2018-06-27,28.8,,
2018-06-28,28.65,,
2018-06-29,29.5,,
2018-07-02,28.9,,
2018-07-03,29.1,,
2018-07-04,28.35,,
2018-07-05,28.65,,
2018-07-06,28.6,,
2018-07-09,29.0,,
2018-07-10,29.45,,
2018-07-11,28.9,,
2018-07-12,29.45,,
2018-07-13,29.1,,
2018-07-16,30.45,,
2018-07-17,30.95,,
2018-07-18,31.3,,
2018-07-19,31.0,,
2018-07-20,31.35,,
2018-07-23,31.9,,
2018-07-24,32.15,,
2018-07-25,31.85,,
2018-07-26,31.05,,
2018-07-27,31.9,,
2018-07-30,32.0,,
2018-07-31,32.35,,
2018-08-01,32.15,,
2018-08-02,32.0,,
2018-08-03,31.9,,
2018-08-06,31.55,,
2018-08-07,32.0,,
2018-08-08,32.0,,
2018-08-09,31.7,,
2018-08-10,31.5,,
2018-08-13,31.75,,
2018-08-14,31.85,,
2018-08-15,31.5,,
2018-08-16,31.4,,
2018-08-17,31.3,,
2018-08-20,31.1,,
2018-08-21,31.5,,
2018-08-22,32.0,,
2018-08-23,32.45,,
2018-08-24,32.5,,
2018-08-27,32.6,,
2018-08-28,32.95,,
2018-08-29,32.9,,
2018-08-30,32.75,,
2018-08-31,32.45,,
2018-09-03,32.7,,
2018-09-04,32.75,,
2018-09-05,31.9,,
2018-09-06,31.65,,
2018-09-07,31.8,,
2018-09-10,31.7,,
2018-09-11,31.8,,
2018-09-12,32.1,,
2018-09-13,32.05,,
2018-09-14,32.15,,
2018-09-17,32.15,,
2018-09-18,32.3,,
2018-09-19,31.8,,
2018-09-20,31.75,,
2018-09-21,32.5,,
2018-09-24,32.1,,
2018-09-25,31.65,,
2018-09-26,31.8,,
2018-09-27,31.7,,
2018-09-28,32.0,,
2018-10-01,32.1,,
2018-10-02,32.6,,
2018-10-03,31.5,,
2018-10-04,31.55,,
2018-10-05,31.3,,
2018-10-08,31.4,,
2018-10-09,31.5,,
2018-10-10,31.75,,
2018-10-11,31.2,,
2018-10-12,30.65,,
2018-10-15,30.5,,
2018-10-16,30.15,,
2018-10-17,30.4,,
2018-10-18,30.5,,
2018-10-19,30.15,,
2018-10-22,29.55,,
2018-10-23,29.4,,
2018-10-24,30.0,,
2018-10-25,30.55,,
2018-10-26,29.65,,
2018-10-29,30.35,,
2018-10-30,30.8,,
2018-10-31,31.0,,
2018-11-01,31.1,,
2018-11-02,31.7,,
2018-11-05,31.5,,
2018-11-06,31.7,,
2018-11-07,32.0,,
2018-11-08,31.45,,
2018-11-09,31.1,,
2018-11-12,30.75,,
2018-11-13,31.0,,
2018-11-14,30.8,,
2018-11-15,30.55,,
2018-11-16,30.25,,
