Date,Closing price,50,200
2018-06-04,8.1,,
2018-06-05,8.7,,
2018-06-07,8.3,,
2018-06-08,8.6,,
2018-06-11,9.6,,
2018-06-12,11.3,,
2018-06-13,11.6,,
2018-06-14,13.0,,
2018-06-15,13.7,,
2018-06-18,13.4,,
2018-06-19,14.8,,
2018-06-20,16.2,,
2018-06-21,15.7,,
2018-06-25,18.7,,
2018-06-26,18.1,,
2018-06-27,17.6,,
2018-06-28,17.7,,
2018-06-29,17.2,,
2018-07-02,16.4,,
2018-07-03,15.8,,
2018-07-04,17.0,,
2018-07-05,16.7,,
2018-07-06,17.0,,
2018-07-09,16.8,,
2018-07-10,16.4,,
2018-07-11,15.8,,
2018-07-12,14.7,,
2018-07-13,15.6,,
2018-07-16,17.1,,
2018-07-17,16.6,,
2018-07-18,17.1,,
2018-07-19,18.4,,
2018-07-20,20.4,,
2018-07-23,23.0,,
2018-07-24,29.8,,
2018-07-25,27.4,,
2018-07-26,28.6,,
2018-07-27,30.4,,
2018-07-30,32.2,,
2018-07-31,28.0,,
2018-08-01,24.0,,
2018-08-02,26.4,,
2018-08-03,26.4,,
2018-08-06,25.0,,
2018-08-07,23.2,,
2018-08-08,21.6,,
2018-08-09,19.0,,
2018-08-10,22.0,,
2018-08-13,22.0,,
2018-08-14,21.6,,
2018-08-15,20.6,,
2018-08-16,20.2,,
2018-08-17,20.6,,
2018-08-20,21.2,,
2018-08-21,23.2,,
2018-08-22,22.8,,
2018-08-23,21.0,,
2018-08-24,20.8,,
2018-08-27,20.0,,
2018-08-28,18.0,,
2018-08-29,19.2,,
2018-08-30,19.6,,
2018-08-31,19.8,,
2018-09-03,19.4,,
2018-09-04,19.5,,
2018-09-05,19.0,,
2018-09-06,18.6,,
2018-09-07,17.0,,
2018-09-10,16.2,,
2018-09-11,15.8,,
2018-09-12,16.6,,
2018-09-13,16.2,,
2018-09-14,16.4,,
2018-09-17,15.8,,
2018-09-18,15.2,,
2018-09-19,13.3,,
2018-09-20,11.1,,
2018-09-21,10.6,,
2018-09-24,11.2,,
2018-09-25,11.9,,
2018-09-26,10.6,,
2018-09-27,10.1,,
2018-09-28,10.1,,
2018-10-01,10.0,,
2018-10-02,9.65,,
2018-10-03,9.4,,
2018-10-04,9.25,,
2018-10-05,9.8,,
2018-10-08,9.7,,
2018-10-09,9.7,,
2018-10-10,9.6,,
2018-10-11,9.0,,
2018-10-12,8.95,,
2018-10-15,9.0,,
2018-10-16,9.1,,
2018-10-17,9.3,,
2018-10-18,11.3,,
2018-10-19,10.5,,
2018-10-22,9.7,,
2018-10-23,8.9,,
2018-10-24,9.1,,
2018-10-25,9.1,,
2018-10-26,8.9,,
2018-10-29,9.2,,
2018-10-30,9.5,,
2018-10-31,10.6,,
2018-11-01,14.1,,
2018-11-02,13.6,,
2018-11-05,13.2,,
2018-11-06,12.1,,
2018-11-07,12.8,,
2018-11-08,13.0,,
2018-11-09,12.9,,
2018-11-12,13.6,,
2018-11-13,10.5,,
2018-11-14,10.5,,
2018-11-15,9.9,,
