Date,Closing price,50,200
2017-12-13,4.5,,
2018-04-30,4.5,,
2018-05-09,4.5,,
2018-06-27,4.76,,
2018-06-28,4.76,,
2018-06-29,4.76,,
2018-07-02,4.76,,
2018-07-03,4.76,,
2018-07-04,4.76,,
2018-07-05,4.76,,
2018-07-06,4.76,,
2018-07-09,4.76,,
2018-07-10,4.76,,
2018-07-11,4.76,,
2018-07-12,4.76,,
2018-07-13,4.76,,
2018-07-16,4.76,,
2018-07-17,4.76,,
2018-07-18,4.76,,
2018-07-19,4.76,,
2018-07-20,4.76,,
2018-07-23,4.76,,
2018-07-24,4.76,,
2018-07-25,4.76,,
2018-07-26,4.76,,
2018-07-27,4.76,,
2018-07-30,4.76,,
2018-07-31,4.76,,
2018-08-01,4.76,,
2018-08-02,4.76,,
2018-08-03,4.76,,
2018-08-06,4.76,,
2018-08-07,4.76,,
2018-08-08,4.76,,
2018-08-09,4.76,,
2018-08-10,4.76,,
2018-08-13,4.76,,
2018-08-14,4.76,,
2018-08-15,4.76,,
2018-08-16,4.76,,
2018-08-17,4.76,,
2018-08-20,4.76,,
2018-08-21,4.76,,
2018-08-22,4.76,,
2018-08-23,4.76,,
2018-08-24,4.76,,
2018-08-27,4.7,,
2018-08-28,4.7,,
2018-08-29,4.7,,
2018-08-30,4.7,,
2018-08-31,4.7,,
2018-09-03,4.7,,
2018-09-04,4.7,,
2018-09-05,4.7,,
2018-09-06,4.7,,
2018-09-07,4.7,,
2018-09-10,4.7,,
2018-09-11,4.7,,
2018-09-12,4.7,,
2018-09-13,4.7,,
2018-09-14,4.7,,
2018-09-17,4.7,,
2018-09-18,4.7,,
2018-09-19,4.7,,
2018-09-20,4.7,,
2018-09-21,4.7,,
2018-09-24,4.7,,
2018-09-25,4.7,,
2018-09-26,3.66,,
2018-09-27,3.68,,
2018-09-28,3.68,,
2018-10-01,3.68,,
2018-10-02,3.68,,
2018-10-03,3.8,,
2018-10-04,3.8,,
2018-10-05,3.8,,
2018-10-08,3.8,,
2018-10-09,3.8,,
2018-10-10,3.8,,
2018-10-11,4.66,,
2018-10-12,4.6,,
2018-10-15,4.6,,
2018-10-16,4.3,,
2018-10-17,4.3,,
2018-10-18,4.02,,
2018-10-19,4.02,,
2018-10-22,4.0,,
2018-10-23,4.0,,
2018-10-24,4.0,,
2018-10-25,4.0,,
2018-10-26,4.0,,
2018-10-29,4.0,,
2018-10-30,4.0,,
2018-10-31,4.0,,
2018-11-01,4.0,,
2018-11-02,4.0,,
2018-11-02,4.0,,
2018-11-05,4.0,,
2018-11-06,4.0,,
2018-11-07,3.7,,
2018-11-08,3.7,,
2018-11-09,3.7,,
2018-11-12,3.7,,
2018-11-13,3.7,,
2018-11-14,3.7,,
2018-11-15,3.7,,
2018-11-16,3.7,,
2018-11-19,3.7,,
2018-11-20,3.7,,
2018-11-21,3.7,,
2018-11-22,4.5,,
2018-11-23,4.5,,
2018-11-26,4.5,,
2018-11-27,4.0,,
2018-11-28,4.0,,
2018-11-29,3.6,,
2018-11-30,3.6,,
2018-12-03,3.58,,
2018-12-04,3.58,,
2018-12-05,3.58,,
2018-12-06,3.58,,
2018-12-07,3.64,,
2018-12-10,3.64,,
2018-12-11,3.64,,
2018-12-12,3.64,,
2018-12-13,3.64,,
2018-12-14,3.64,,
2018-12-17,3.64,,
2018-12-18,3.64,,
2018-12-19,3.64,,
