Date,Closing price,50,200
2018-06-04,7.34,,
2018-06-05,7.24,,
2018-06-07,6.92,,
2018-06-08,6.74,,
2018-06-11,6.44,,
2018-06-12,6.34,,
2018-06-13,6.2,,
2018-06-14,6.38,,
2018-06-15,6.3,,
2018-06-18,6.46,,
2018-06-19,6.48,,
2018-06-20,6.6,,
2018-06-21,6.7,,
2018-06-25,6.48,,
2018-06-26,6.3,,
2018-06-27,6.3,,
2018-06-28,6.4,,
2018-06-29,6.3,,
2018-07-02,6.44,,
2018-07-03,6.38,,
2018-07-04,6.3,,
2018-07-05,6.4,,
2018-07-06,6.26,,
2018-07-09,6.4,,
2018-07-10,6.4,,
2018-07-11,6.4,,
2018-07-12,6.4,,
2018-07-13,6.4,,
2018-07-16,6.4,,
2018-07-17,6.36,,
2018-07-18,6.38,,
2018-07-19,6.0,,
2018-07-20,6.1,,
2018-07-23,6.2,,
2018-07-24,6.18,,
2018-07-25,6.3,,
2018-07-26,6.28,,
2018-07-27,6.12,,
2018-07-30,6.1,,
2018-07-31,6.18,,
2018-08-01,6.18,,
2018-08-02,6.2,,
2018-08-03,6.18,,
2018-08-06,6.34,,
2018-08-07,6.38,,
2018-08-08,6.4,,
2018-08-09,6.4,,
2018-08-10,6.38,,
2018-08-13,6.36,,
2018-08-14,6.32,,
2018-08-15,6.32,,
2018-08-16,6.1,,
2018-08-17,6.2,,
2018-08-20,6.36,,
2018-08-21,6.3,,
2018-08-22,6.44,,
2018-08-23,6.4,,
2018-08-24,6.32,,
2018-08-27,6.4,,
2018-08-28,6.4,,
2018-08-29,6.3,,
2018-08-30,6.34,,
2018-08-31,6.36,,
2018-09-03,6.22,,
2018-09-04,6.4,,
2018-09-05,6.44,,
2018-09-06,6.38,,
2018-09-07,6.3,,
2018-09-10,6.38,,
2018-09-11,6.28,,
2018-09-12,6.28,,
2018-09-13,6.18,,
2018-09-14,6.2,,
2018-09-17,6.16,,
2018-09-18,6.1,,
2018-09-19,6.0,,
2018-09-20,6.18,,
2018-09-21,6.0,,
2018-09-24,6.2,,
2018-09-25,6.3,,
2018-09-26,6.4,,
2018-09-27,6.28,,
2018-09-28,6.3,,
2018-10-01,6.36,,
2018-10-02,7.02,,
2018-10-03,7.02,,
2018-10-04,7.04,,
2018-10-05,7.04,,
2018-10-08,7.0,,
2018-10-09,6.96,,
2018-10-10,7.02,,
2018-10-11,6.92,,
2018-10-12,7.08,,
2018-10-15,7.28,,
2018-10-16,7.12,,
2018-10-17,7.16,,
2018-10-18,7.1,,
2018-10-19,7.2,,
2018-10-22,7.2,,
2018-10-23,7.1,,
2018-10-24,6.88,,
2018-10-25,6.72,,
2018-10-26,6.74,,
2018-10-29,6.6,,
2018-10-30,6.9,,
2018-10-31,7.24,,
2018-11-01,7.22,,
2018-11-02,7.22,,
2018-11-05,7.06,,
2018-11-06,6.82,,
2018-11-07,6.98,,
2018-11-08,6.98,,
2018-11-09,6.9,,
2018-11-12,6.92,,
2018-11-13,6.56,,
2018-11-14,6.24,,
2018-11-15,6.38,,
2018-11-16,6.28,,
2018-11-19,6.32,,
2018-11-20,6.3,,
2018-11-21,6.28,,
2018-11-22,6.3,,
2018-11-23,6.44,,
2018-11-26,6.1,,
2018-11-27,6.14,,
2018-11-28,6.12,,
2018-11-29,6.2,,
2018-11-30,6.3,,
2018-12-03,6.22,,
2018-12-04,6.0,,
2018-12-05,5.88,,
2018-12-06,5.68,,
2018-12-07,5.96,,
2018-12-10,5.96,,
2018-12-11,5.94,,
2018-12-12,6.0,,
2018-12-13,5.9,,
2018-12-14,5.68,,
2018-12-17,5.68,,
2018-12-18,5.7,,
2018-12-19,5.7,,
2018-12-20,5.3,,
2018-12-21,5.2,,
2018-12-27,5.3,,
2018-12-28,5.96,,
2019-01-02,6.14,,
2019-01-03,7.4,,
2019-01-04,8.5,,
2019-01-07,7.8,,
2019-01-08,7.78,,
2019-01-09,7.56,,
2019-01-10,7.8,,
2019-01-11,7.68,,
2019-01-14,7.78,,
2019-01-15,7.56,,
2019-01-16,7.64,,
2019-01-17,7.56,,
2019-01-18,7.5,,
2019-01-21,7.34,,
2019-01-22,7.1,,
2019-01-23,6.96,,
2019-01-24,6.78,,
2019-01-25,7.2,,
2019-01-28,7.2,,
2019-01-29,7.32,,
2019-01-30,7.1,,
2019-01-31,7.5,,
2019-02-01,7.1,,
2019-02-04,6.9,,
2019-02-05,6.64,,
2019-02-06,7.9,,
2019-02-07,7.48,,
2019-02-08,7.34,,
2019-02-11,7.3,,
2019-02-12,7.4,,
2019-02-13,7.2,,
2019-02-14,7.16,,
2019-02-15,7.2,,
2019-02-18,7.32,,
2019-02-19,7.4,,
2019-02-20,7.66,,
2019-02-21,7.32,,
2019-02-22,7.28,,
2019-02-25,7.24,,
2019-02-26,7.1,,
2019-02-27,7.2,,
2019-02-28,7.1,,
2019-03-01,7.08,,
2019-03-04,7.08,,
2019-03-05,7.04,,
2019-03-06,6.74,,
2019-03-07,6.7,,
2019-03-08,6.7,,
2019-03-11,6.64,,
