Date,Closing price,50,200
2018-06-04,5.5,,
2018-06-05,5.3,,
2018-06-07,5.42,,
2018-06-08,5.5,,
2018-06-11,5.3,,
2018-06-12,5.14,,
2018-06-13,5.38,,
2018-06-14,5.22,,
2018-06-15,5.26,,
2018-06-18,5.3,,
2018-06-19,5.26,,
2018-06-20,5.14,,
2018-06-21,5.1,,
2018-06-25,5.08,,
2018-06-26,5.08,,
2018-06-27,5.08,,
2018-06-28,5.02,,
2018-06-29,5.1,,
2018-07-02,5.0,,
2018-07-03,5.1,,
2018-07-04,5.02,,
2018-07-05,4.93,,
2018-07-06,4.9,,
2018-07-09,4.93,,
2018-07-10,4.8,,
2018-07-11,4.67,,
2018-07-12,4.86,,
2018-07-13,4.72,,
2018-07-16,4.74,,
2018-07-17,4.64,,
2018-07-18,4.47,,
2018-07-19,4.61,,
2018-07-20,4.26,,
2018-07-23,4.11,,
2018-07-24,4.14,,
2018-07-25,4.13,,
2018-07-26,4.23,,
2018-07-27,4.35,,
2018-07-30,4.27,,
2018-07-31,4.35,,
2018-08-01,4.29,,
2018-08-02,4.4,,
2018-08-03,4.87,,
2018-08-06,5.84,,
2018-08-07,6.14,,
2018-08-08,5.58,,
2018-08-09,5.48,,
2018-08-10,5.4,,
2018-08-13,5.3,,
2018-08-14,5.26,,
2018-08-15,5.96,,
2018-08-16,5.6,,
2018-08-17,5.74,,
2018-08-20,5.88,,
2018-08-21,6.0,,
2018-08-22,6.02,,
2018-08-23,5.92,,
2018-08-24,5.74,,
2018-08-27,5.58,,
2018-08-28,5.5,,
2018-08-29,5.26,,
2018-08-30,5.3,,
2018-08-31,5.5,,
2018-09-03,5.62,,
2018-09-04,5.28,,
2018-09-05,5.2,,
2018-09-06,5.18,,
2018-09-07,5.28,,
2018-09-10,5.02,,
2018-09-11,5.08,,
2018-09-12,5.02,,
2018-09-13,5.0,,
2018-09-14,5.1,,
2018-09-17,5.12,,
2018-09-18,5.06,,
2018-09-19,5.06,,
2018-09-20,5.1,,
2018-09-21,5.14,,
2018-09-24,5.56,,
2018-09-25,5.54,,
2018-09-26,5.3,,
2018-09-27,5.32,,
2018-09-28,5.4,,
2018-10-01,5.3,,
2018-10-02,5.3,,
2018-10-03,5.16,,
2018-10-04,5.48,,
2018-10-05,5.3,,
