Date,Closing price,50,200
2018-06-04,3.805,,
2018-06-05,3.895,,
2018-06-07,3.77,,
2018-06-08,3.8,,
2018-06-11,3.9,,
2018-06-12,3.835,,
2018-06-13,3.725,,
2018-06-14,3.775,,
2018-06-15,3.8,,
2018-06-18,3.84,,
2018-06-19,3.73,,
2018-06-20,3.84,,
2018-06-21,3.78,,
2018-06-25,3.845,,
2018-06-26,3.785,,
2018-06-27,3.785,,
2018-06-28,3.795,,
2018-06-29,3.79,,
2018-07-02,3.85,,
2018-07-03,3.9,,
2018-07-04,3.95,,
2018-07-05,3.97,,
2018-07-06,3.9,,
2018-07-09,3.63,,
2018-07-10,3.67,,
2018-07-11,3.64,,
2018-07-12,3.575,,
2018-07-13,3.5,,
2018-07-16,3.48,,
2018-07-17,3.48,,
2018-07-18,3.685,,
2018-07-19,3.67,,
2018-07-20,3.575,,
2018-07-23,3.56,,
2018-07-24,3.635,,
2018-07-25,3.66,,
2018-07-26,3.62,,
2018-07-27,3.65,,
2018-07-30,3.535,,
2018-07-31,3.53,,
2018-08-01,3.49,,
2018-08-02,3.44,,
2018-08-03,3.43,,
2018-08-06,3.475,,
2018-08-07,3.44,,
2018-08-08,3.44,,
2018-08-09,3.46,,
2018-08-10,3.41,,
2018-08-13,3.4,,
2018-08-14,3.205,,
2018-08-15,3.245,,
2018-08-16,3.2,,
2018-08-17,3.22,,
2018-08-20,3.25,,
2018-08-21,3.22,,
2018-08-22,3.485,,
2018-08-23,3.365,,
2018-08-24,3.365,,
2018-08-27,3.295,,
2018-08-28,3.3,,
2018-08-29,3.32,,
2018-08-30,3.28,,
2018-08-31,3.25,,
2018-09-03,3.25,,
2018-09-04,3.3,,
2018-09-05,3.265,,
2018-09-06,3.26,,
2018-09-07,3.26,,
2018-09-10,3.235,,
2018-09-11,3.25,,
2018-09-12,3.335,,
2018-09-13,3.375,,
2018-09-14,3.38,,
2018-09-17,3.37,,
2018-09-18,3.435,,
2018-09-19,3.36,,
2018-09-20,3.4,,
2018-09-21,3.4,,
2018-09-24,3.39,,
2018-09-25,3.37,,
2018-09-26,3.33,,
2018-09-27,3.33,,
2018-09-28,3.39,,
2018-10-01,3.39,,
2018-10-02,3.35,,
2018-10-03,3.345,,
2018-10-04,3.3,,
2018-10-05,3.32,,
2018-10-08,3.365,,
2018-10-09,3.45,,
2018-10-10,3.38,,
2018-10-11,3.26,,
2018-10-12,3.385,,
2018-10-15,3.395,,
2018-10-16,3.395,,
2018-10-17,3.395,,
2018-10-18,3.38,,
2018-10-19,3.415,,
2018-10-22,3.2,,
2018-10-23,3.14,,
2018-10-24,3.2,,
2018-10-25,3.2,,
2018-10-26,2.975,,
2018-10-29,3.03,,
2018-10-30,3.1,,
