Date,Closing price,50,200
2018-06-04,8.64,,
2018-06-05,8.59,,
2018-06-06,8.55,,
2018-06-07,8.4,,
2018-06-08,8.5,,
2018-06-11,8.4,,
2018-06-12,8.2,,
2018-06-13,8.2,,
2018-06-14,8.2,,
2018-06-15,8.67,,
2018-06-18,8.68,,
2018-06-19,8.6,,
2018-06-20,8.6,,
2018-06-21,8.6,,
2018-06-25,8.66,,
2018-06-26,8.69,,
2018-06-27,8.69,,
2018-06-28,8.69,,
2018-06-29,8.67,,
2018-07-02,8.36,,
2018-07-03,8.4,,
2018-07-04,8.64,,
2018-07-05,8.61,,
2018-07-06,8.57,,
2018-07-09,8.55,,
2018-07-10,8.63,,
2018-07-11,8.61,,
2018-07-12,8.68,,
2018-07-13,8.55,,
2018-07-16,8.69,,
2018-07-17,8.62,,
2018-07-18,8.8,,
2018-07-19,8.9,,
2018-07-20,8.95,,
2018-07-23,8.94,,
2018-07-24,9.02,,
2018-07-25,9.24,,
2018-07-26,8.97,,
2018-07-27,8.8,,
2018-07-30,8.49,,
2018-07-31,8.97,,
2018-08-01,8.95,,
2018-08-02,8.99,,
2018-08-03,8.99,,
2018-08-06,8.97,,
2018-08-07,8.96,,
2018-08-08,8.75,,
2018-08-09,8.75,,
2018-08-10,8.75,,
2018-08-13,8.8,,
2018-08-14,8.44,,
2018-08-15,8.8,,
2018-08-16,8.8,,
2018-08-17,8.6,,
2018-08-20,8.85,,
2018-08-21,8.98,,
2018-08-22,8.93,,
2018-08-23,8.71,,
2018-08-24,8.65,,
2018-08-27,8.66,,
2018-08-28,8.85,,
2018-08-29,9.02,,
2018-08-30,9.35,,
2018-08-31,9.45,,
2018-09-03,9.79,,
2018-09-04,9.74,,
2018-09-05,9.69,,
2018-09-06,9.69,,
2018-09-07,9.8,,
2018-09-10,9.7,,
2018-09-11,9.65,,
2018-09-12,9.4,,
2018-09-13,9.45,,
2018-09-14,9.45,,
2018-09-17,9.75,,
2018-09-18,9.8,,
2018-09-19,9.74,,
2018-09-20,9.58,,
2018-09-21,9.5,,
2018-09-24,9.48,,
2018-09-25,9.59,,
2018-09-26,9.5,,
2018-09-27,9.5,,
2018-09-28,9.4,,
2018-10-01,9.4,,
2018-10-02,9.38,,
2018-10-03,9.4,,
2018-10-04,9.5,,
2018-10-05,10.34,,
2018-10-08,10.02,,
2018-10-09,10.3,,
2018-10-10,10.0,,
2018-10-11,9.99,,
2018-10-12,9.89,,
2018-10-15,9.9,,
2018-10-16,10.08,,
2018-10-17,10.14,,
2018-10-18,10.14,,
2018-10-19,9.9,,
2018-10-22,9.6,,
2018-10-23,9.5,,
2018-10-24,9.69,,
2018-10-25,9.69,,
2018-10-26,9.5,,
2018-10-29,9.5,,
2018-10-30,9.5,,
2018-10-31,9.5,,
2018-11-01,9.4,,
2018-11-02,9.4,,
2018-11-05,9.4,,
2018-11-06,9.5,,
2018-11-07,9.45,,
2018-11-08,9.3,,
2018-11-09,9.5,,
2018-11-12,9.49,,
2018-11-13,9.12,,
2018-11-14,8.99,,
2018-11-15,8.7,,
2018-11-16,8.52,,
2018-11-19,8.3,,
2018-11-20,8.02,,
2018-11-21,8.58,,
2018-11-22,8.24,,
2018-11-23,8.25,,
2018-11-26,8.4,,
2018-11-27,8.5,,
2018-11-28,8.4,,
2018-11-29,8.3,,
2018-11-30,8.68,,
2018-12-03,8.45,,
2018-12-04,8.3,,
2018-12-05,8.29,,
2018-12-07,8.79,,
2018-12-10,8.25,,
2018-12-11,8.43,,
2018-12-12,8.3,,
2018-12-13,8.19,,
2018-12-14,8.2,,
2018-12-17,8.2,,
