Date,Closing price,50,200
2018-06-04,101.4,,
2018-06-06,101.2,,
2018-06-07,105.0,,
2018-06-08,106.4,,
2018-06-11,111.0,,
2018-06-12,112.0,,
2018-06-13,112.0,,
2018-06-14,111.0,,
2018-06-15,111.6,,
2018-06-18,108.4,,
2018-06-19,106.0,,
2018-06-20,106.0,,
2018-06-21,106.8,,
2018-06-22,108.2,,
2018-06-25,107.4,,
2018-06-26,104.0,,
2018-06-27,102.4,,
2018-06-28,99.0,,
2018-06-29,101.0,,
2018-07-02,100.6,,
2018-07-03,99.5,,
2018-07-04,99.5,,
2018-07-05,98.1,,
2018-07-06,95.1,,
2018-07-09,94.3,,
2018-07-10,97.4,,
2018-07-11,94.5,,
2018-07-12,94.1,,
2018-07-13,95.2,,
2018-07-16,96.5,,
2018-07-17,95.6,,
2018-07-18,95.8,,
2018-07-19,95.0,,
2018-07-20,94.6,,
2018-07-23,94.5,,
2018-07-24,93.8,,
2018-07-25,95.0,,
2018-07-26,96.5,,
2018-07-27,98.5,,
2018-07-30,96.2,,
2018-07-31,97.4,,
2018-08-01,96.2,,
2018-08-02,95.9,,
2018-08-03,95.5,,
2018-08-06,97.0,,
2018-08-07,97.9,,
2018-08-08,97.2,,
2018-08-09,96.4,,
2018-08-10,95.0,,
2018-08-13,93.9,,
2018-08-14,93.7,,
2018-08-15,93.9,,
2018-08-16,104.6,,
2018-08-17,109.0,,
2018-08-20,114.8,,
2018-08-21,117.0,,
2018-08-22,119.0,,
2018-08-23,121.0,,
2018-08-24,115.8,,
2018-08-27,119.4,,
2018-08-28,122.4,,
2018-08-29,124.4,,
2018-08-30,126.6,,
2018-08-31,126.6,,
2018-09-03,124.0,,
2018-09-04,124.0,,
2018-09-05,125.0,,
2018-09-06,126.0,,
2018-09-07,123.0,,
2018-09-10,124.8,,
2018-09-11,122.4,,
2018-09-12,124.0,,
2018-09-13,124.8,,
2018-09-14,123.0,,
2018-09-17,122.2,,
2018-09-18,120.6,,
2018-09-19,120.0,,
2018-09-20,123.0,,
2018-09-21,122.0,,
2018-09-24,120.0,,
2018-09-25,120.8,,
2018-09-26,121.2,,
2018-09-27,118.8,,
2018-09-28,117.4,,
2018-10-01,120.0,,
2018-10-02,117.6,,
2018-10-03,114.8,,
2018-10-04,113.2,,
2018-10-05,112.6,,
2018-10-08,109.0,,
2018-10-09,109.4,,
2018-10-10,105.0,,
2018-10-11,104.2,,
2018-10-12,106.8,,
2018-10-15,105.0,,
2018-10-16,110.2,,
2018-10-17,107.0,,
2018-10-18,108.2,,
2018-10-19,106.8,,
2018-10-22,104.6,,
2018-10-23,101.4,,
2018-10-24,102.6,,
2018-10-25,106.4,,
2018-10-26,107.8,,
2018-10-29,107.6,,
2018-10-30,106.2,,
2018-10-31,108.4,,
2018-11-01,113.0,,
2018-11-02,115.4,,
2018-11-05,114.0,,
2018-11-06,112.8,,
2018-11-07,116.8,,
2018-11-08,115.8,,
2018-11-09,114.2,,
2018-11-12,113.8,,
2018-11-13,110.8,,
2018-11-14,112.0,,
2018-11-15,113.0,,
2018-11-16,113.0,,
2018-11-19,112.0,,
2018-11-20,107.8,,
2018-11-21,106.0,,
2018-11-22,106.4,,
2018-11-23,105.0,,
2018-11-26,108.2,,
2018-11-27,107.8,,
2018-11-28,105.2,,
2018-11-29,106.8,,
2018-11-30,104.8,,
2018-12-03,108.0,,
2018-12-04,110.4,,
2018-12-05,109.8,,
2018-12-06,104.2,,
2018-12-07,104.4,,
2018-12-10,103.0,,
2018-12-11,106.0,,
2018-12-12,103.0,,
2018-12-13,101.8,,
2018-12-14,100.2,,
2018-12-17,97.1,,
2018-12-18,98.5,,
