Date,Closing price,50,200
2018-06-04,1.95,,
2018-06-05,2.0,,
2018-06-06,2.04,,
2018-06-07,2.02,,
2018-06-08,2.02,,
2018-06-11,2.05,,
2018-06-12,1.95,,
2018-06-13,2.0,,
2018-06-14,1.82,,
2018-06-15,2.0,,
2018-06-18,2.01,,
2018-06-19,1.99,,
2018-06-20,2.0,,
2018-06-21,1.925,,
2018-06-22,1.905,,
2018-06-25,2.04,,
2018-06-26,1.98,,
2018-06-27,1.95,,
2018-06-28,1.935,,
2018-06-29,1.89,,
2018-07-02,1.88,,
2018-07-03,1.88,,
2018-07-04,1.94,,
2018-07-05,1.995,,
2018-07-06,1.965,,
2018-07-09,1.95,,
2018-07-10,1.945,,
2018-07-11,1.96,,
2018-07-12,1.96,,
2018-07-13,1.96,,
2018-07-16,1.98,,
2018-07-17,1.935,,
2018-07-18,1.935,,
2018-07-19,1.94,,
2018-07-20,1.99,,
2018-07-23,1.95,,
2018-07-24,1.92,,
2018-07-25,1.965,,
2018-07-26,1.95,,
2018-07-27,1.995,,
2018-07-30,1.98,,
2018-07-31,1.96,,
2018-08-01,1.98,,
2018-08-02,1.96,,
2018-08-03,1.955,,
2018-08-06,1.94,,
2018-08-07,1.94,,
2018-08-08,1.94,,
2018-08-09,1.94,,
2018-08-10,1.94,,
2018-08-13,1.94,,
2018-08-14,1.92,,
2018-08-15,1.96,,
2018-08-16,1.935,,
2018-08-17,1.93,,
2018-08-20,1.9,,
2018-08-21,1.92,,
2018-08-22,1.805,,
2018-08-23,1.78,,
2018-08-24,1.79,,
2018-08-27,1.83,,
2018-08-28,1.83,,
2018-08-29,1.88,,
2018-08-30,1.85,,
2018-08-31,1.87,,
2018-09-03,1.84,,
2018-09-04,1.79,,
2018-09-05,1.8,,
2018-09-06,1.765,,
2018-09-07,1.79,,
2018-09-10,1.79,,
2018-09-11,1.82,,
2018-09-12,1.77,,
2018-09-13,1.87,,
2018-09-14,1.85,,
2018-09-17,1.79,,
2018-09-18,1.79,,
2018-09-19,1.74,,
2018-09-20,1.68,,
2018-09-21,1.7,,
2018-09-24,1.85,,
2018-09-25,1.79,,
2018-09-26,1.79,,
2018-09-27,1.74,,
2018-09-28,1.78,,
2018-10-01,1.79,,
2018-10-02,1.845,,
2018-10-03,1.74,,
2018-10-04,1.71,,
2018-10-05,1.75,,
2018-10-08,1.74,,
2018-10-09,1.605,,
2018-10-10,1.59,,
2018-10-11,1.52,,
2018-10-12,1.67,,
2018-10-15,1.635,,
2018-10-16,1.65,,
2018-10-17,1.515,,
2018-10-18,1.64,,
2018-10-19,1.595,,
2018-10-22,1.63,,
2018-10-23,1.595,,
2018-10-24,1.5,,
2018-10-25,1.6,,
2018-10-26,1.585,,
2018-10-29,1.55,,
2018-10-30,1.5,,
2018-10-31,1.5,,
2018-11-01,1.5,,
2018-11-02,1.59,,
2018-11-05,1.59,,
2018-11-06,1.52,,
2018-11-07,1.46,,
2018-11-08,1.485,,
2018-11-09,1.45,,
2018-11-12,1.45,,
2018-11-13,1.45,,
2018-11-14,1.45,,
2018-11-15,1.55,,
2018-11-16,1.44,,
2018-11-19,1.395,,
2018-11-20,1.4,,
2018-11-21,1.445,,
2018-11-22,1.395,,
2018-11-23,1.38,,
2018-11-26,1.31,,
