Date,Closing price,50,200
2018-06-04,6.52,,
2018-06-05,6.5,,
2018-06-06,6.5,,
2018-06-07,6.34,,
2018-06-08,6.7,,
2018-06-11,6.64,,
2018-06-12,6.7,,
2018-06-13,6.68,,
2018-06-14,6.8,,
2018-06-15,6.8,,
2018-06-18,6.64,,
2018-06-19,6.62,,
2018-06-20,6.64,,
2018-06-21,6.4,,
2018-06-25,6.5,,
2018-06-26,6.5,,
2018-06-27,6.5,,
2018-06-28,6.56,,
2018-06-29,6.6,,
2018-07-02,6.56,,
2018-07-03,6.54,,
2018-07-04,6.52,,
2018-07-05,6.56,,
2018-07-06,6.6,,
2018-07-09,6.6,,
2018-07-10,6.68,,
2018-07-11,6.6,,
2018-07-12,6.56,,
2018-07-13,6.56,,
2018-07-16,6.54,,
2018-07-17,6.56,,
2018-07-18,6.58,,
2018-07-19,6.58,,
2018-07-20,6.62,,
2018-07-23,6.58,,
2018-07-24,6.6,,
2018-07-25,6.58,,
2018-07-26,6.56,,
2018-07-27,6.54,,
2018-07-30,6.54,,
2018-07-31,6.58,,
2018-08-01,6.54,,
2018-08-02,6.54,,
2018-08-03,6.6,,
2018-08-06,6.48,,
2018-08-07,6.38,,
2018-08-08,6.4,,
2018-08-09,6.54,,
2018-08-10,6.28,,
2018-08-13,6.26,,
2018-08-14,6.26,,
2018-08-15,6.3,,
2018-08-16,6.18,,
2018-08-17,6.26,,
2018-08-20,6.24,,
2018-08-21,6.34,,
2018-08-22,6.36,,
2018-08-23,6.7,,
2018-08-24,6.9,,
2018-08-27,6.84,,
2018-08-28,6.76,,
2018-08-29,6.68,,
2018-08-30,6.68,,
2018-08-31,6.68,,
2018-09-03,6.68,,
2018-09-04,6.64,,
2018-09-05,6.52,,
2018-09-06,6.5,,
2018-09-07,6.52,,
2018-09-10,6.56,,
2018-09-11,6.6,,
2018-09-12,6.6,,
2018-09-13,6.6,,
2018-09-14,6.6,,
2018-09-17,6.62,,
2018-09-18,6.42,,
2018-09-19,6.5,,
2018-09-20,6.54,,
2018-09-21,6.52,,
2018-09-24,6.44,,
2018-09-25,6.44,,
2018-09-26,6.52,,
2018-09-27,6.54,,
2018-09-28,6.6,,
2018-10-01,6.68,,
2018-10-02,6.54,,
2018-10-03,6.6,,
2018-10-04,6.62,,
2018-10-05,6.5,,
2018-10-08,6.5,,
2018-10-09,6.42,,
2018-10-10,6.54,,
2018-10-11,6.22,,
2018-10-12,6.38,,
2018-10-15,6.4,,
2018-10-16,6.46,,
2018-10-17,6.3,,
2018-10-18,6.26,,
2018-10-19,6.24,,
2018-10-22,6.2,,
2018-10-23,6.14,,
2018-10-24,6.2,,
2018-10-25,6.2,,
2018-10-26,6.0,,
2018-10-29,6.0,,
2018-10-30,6.16,,
2018-10-31,6.2,,
2018-11-01,6.02,,
2018-11-02,6.3,,
2018-11-05,6.32,,
2018-11-06,6.32,,
2018-11-07,6.42,,
2018-11-08,6.44,,
2018-11-09,6.48,,
2018-11-12,6.5,,
2018-11-13,6.38,,
2018-11-14,6.38,,
2018-11-15,6.42,,
2018-11-16,6.42,,
2018-11-19,6.5,,
2018-11-20,6.3,,
2018-11-21,6.28,,
2018-11-22,6.2,,
2018-11-23,6.26,,
2018-11-26,6.34,,
2018-11-27,6.24,,
2018-11-28,6.2,,
2018-11-29,6.14,,
2018-11-30,6.08,,
2018-12-03,6.1,,
2018-12-04,6.0,,
2018-12-05,5.98,,
2018-12-07,5.9,,
2018-12-10,5.8,,
2018-12-11,5.82,,
2018-12-12,5.8,,
2018-12-13,5.74,,
2018-12-14,5.5,,
2018-12-17,5.36,,
2018-12-18,5.44,,
2018-12-19,5.38,,
2018-12-20,5.32,,
2018-12-21,5.58,,
2018-12-27,5.5,,
2018-12-28,5.44,,
2019-01-02,5.72,,
2019-01-03,5.86,,
2019-01-04,5.88,,
2019-01-07,5.72,,
2019-01-08,5.72,,
2019-01-09,5.78,,
2019-01-10,5.66,,
2019-01-11,5.76,,
2019-01-14,5.64,,
2019-01-15,5.6,,
2019-01-16,5.68,,
2019-01-17,5.6,,
2019-01-18,5.6,,
2019-01-21,5.68,,
2019-01-22,5.64,,
2019-01-23,5.74,,
2019-01-24,5.78,,
2019-01-25,5.86,,
2019-01-28,5.86,,
2019-01-29,5.8,,
2019-01-30,5.76,,
2019-01-31,5.66,,
2019-02-01,5.66,,
2019-02-04,5.68,,
2019-02-05,5.6,,
2019-02-06,5.6,,
2019-02-07,5.64,,
2019-02-08,5.68,,
2019-02-11,5.74,,
2019-02-12,5.8,,
2019-02-13,5.7,,
2019-02-14,5.76,,
2019-02-15,5.64,,
2019-02-18,5.66,,
2019-02-19,5.6,,
2019-02-20,5.64,,
2019-02-21,5.66,,
2019-02-22,5.62,,
2019-02-25,5.64,,
2019-02-26,5.62,,
2019-02-27,5.6,,
2019-02-28,5.66,,
2019-03-01,5.74,,
2019-03-04,5.62,,
2019-03-05,5.66,,
2019-03-06,5.68,,
2019-03-07,5.7,,
2019-03-08,5.78,,
2019-03-11,5.76,,
2019-03-12,5.78,,
2019-03-13,5.88,,
2019-03-14,5.94,,
2019-03-15,5.98,,
2019-03-18,6.08,,
2019-03-19,6.04,,
2019-03-20,6.04,,
2019-03-21,6.12,,
2019-03-22,6.02,,
2019-03-25,6.0,,
2019-03-26,5.9,,
2019-03-27,5.92,,
2019-03-28,5.94,,
2019-03-29,5.98,,
2019-04-01,6.06,,
2019-04-02,5.96,,
2019-04-03,6.02,,
2019-04-04,5.98,,
2019-04-05,5.96,,
2019-04-08,5.94,,
2019-04-09,5.94,,
2019-04-10,5.94,,
2019-04-11,5.96,,
2019-04-12,5.98,,
2019-04-15,5.88,,
2019-04-16,5.9,,
2019-04-17,5.86,,
2019-04-18,5.9,,
2019-04-23,5.88,,
2019-04-24,5.84,,
2019-04-25,5.82,,
2019-04-26,5.84,,
2019-04-29,5.8,,
2019-04-30,5.8,,
2019-05-02,5.76,,
2019-05-03,5.76,,
2019-05-06,5.74,,
2019-05-07,5.68,,
2019-05-08,5.7,,
2019-05-09,5.62,,
2019-05-10,5.4,,
2019-05-13,5.32,,
2019-05-14,5.36,,
2019-05-15,5.36,,
2019-05-16,5.44,,
2019-05-17,5.58,5.830399999999998,6.049200000000003
2019-05-20,5.46,5.825999999999999,6.043600000000003
2019-05-21,5.6,5.823999999999999,6.0389000000000035
2019-05-22,5.6,5.820399999999999,6.034200000000003
2019-05-23,5.38,5.812799999999999,6.028100000000003
2019-05-24,5.34,5.804000000000001,6.022400000000002
2019-05-27,5.34,5.7932000000000015,6.017200000000002
2019-05-28,5.4,5.782400000000001,6.0122
2019-05-29,5.38,5.7704,6.006400000000001
2019-05-31,5.38,5.7564,6.001900000000001
