Date,Closing price,50,200
2018-07-11,2.08,,
2018-07-12,2.16,,
2018-07-13,2.0,,
2018-07-16,2.0,,
2018-07-17,2.0,,
2018-07-18,2.0,,
2018-07-19,2.0,,
2018-07-20,1.6,,
2018-07-23,1.36,,
2018-07-24,1.28,,
2018-07-25,1.36,,
2018-07-26,1.48,,
2018-07-27,1.44,,
2018-07-30,1.56,,
2018-07-31,1.56,,
2018-08-01,1.4,,
2018-08-02,1.52,,
2018-08-03,1.48,,
2018-08-06,1.32,,
2018-08-07,1.3996,,
2018-08-08,1.32,,
2018-08-09,1.36,,
2018-08-10,1.3996,,
2018-08-13,1.2804,,
2018-08-14,1.2804,,
2018-08-15,1.34,,
2018-08-16,1.16,,
2018-08-17,1.14,,
2018-08-20,1.16,,
2018-08-21,1.16,,
2018-08-22,1.16,,
2018-08-23,1.16,,
2018-08-24,1.118,,
2018-08-27,1.118,,
2018-08-28,1.2,,
2018-08-29,1.2,,
2018-08-30,1.36,,
2018-08-31,1.2,,
2018-09-03,1.2,,
2018-09-04,1.2,,
2018-09-05,1.2796,,
2018-09-06,1.2796,,
2018-09-07,1.2796,,
2018-09-10,1.2796,,
2018-09-11,1.2796,,
2018-09-12,1.2,,
2018-09-13,1.2,,
2018-09-14,2.122,,
2018-09-17,2.0808,,
2018-09-18,2.358,,
2018-09-19,2.2804,,
2018-09-20,2.36,,
2018-09-21,2.28,,
2018-09-24,2.08,,
2018-09-25,2.12,,
2018-09-26,2.02,,
2018-09-27,2.2,,
2018-09-28,2.4,,
2018-10-01,2.44,,
2018-10-02,2.84,,
2018-10-03,2.6,,
2018-10-04,2.88,,
2018-10-05,2.8,,
2018-10-08,2.4,,
2018-10-09,2.4,,
2018-10-10,2.6,,
2018-10-11,2.2,,
2018-10-12,2.0,,
2018-10-15,2.0,,
2018-10-16,2.536,,
2018-10-17,2.56,,
2018-10-18,2.552,,
2018-10-19,2.16,,
2018-10-22,2.44,,
2018-10-23,2.12,,
2018-10-24,2.4,,
2018-10-25,2.32,,
2018-10-26,2.28,,
2018-10-29,2.08,,
2018-10-30,2.16,,
2018-10-31,2.16,,
2018-11-01,2.1204,,
2018-11-02,2.3916,,
2018-11-05,2.2,,
2018-11-06,2.026,,
2018-11-07,2.026,,
2018-11-08,2.026,,
2018-11-09,2.2716,,
2018-11-12,2.32,,
2018-11-13,2.3508,,
2018-11-14,2.3908,,
2018-11-15,2.34,,
2018-11-16,2.0708,,
2018-11-19,2.0708,,
2018-11-20,1.84,,
2018-11-21,1.8,,
2018-11-22,1.92,,
2018-11-23,1.92,,
2018-11-26,1.92,,
2018-11-27,1.92,,
2018-11-28,1.92,,
2018-11-29,1.92,,
2018-11-30,1.92,,
2018-12-03,1.96,,
2018-12-04,2.3996,,
2018-12-05,2.3996,,
2018-12-06,2.3996,,
2018-12-07,2.3996,,
2018-12-10,2.3996,,
2018-12-11,2.3996,,
2018-12-12,2.3996,,
2018-12-13,2.3996,,
2018-12-14,2.3992,,
2018-12-17,2.0,,
2018-12-18,2.0,,
2018-12-19,2.0,,
2018-12-20,2.0,,
2018-12-21,1.4,,
2018-12-27,1.4,,
2018-12-28,2.56,,
2019-01-02,2.4792,,
2019-01-03,2.4792,,
2019-01-04,2.0,,
2019-01-07,1.722,,
2019-01-08,2.0,,
2019-01-09,1.7204,,
2019-01-10,1.92,,
2019-01-11,1.92,,
2019-01-14,2.0396,,
2019-01-15,1.96,,
2019-01-16,1.7204,,
2019-01-17,1.8,,
2019-01-18,1.8996,,
2019-01-21,1.72,,
2019-01-22,1.6,,
2019-01-23,1.56,,
2019-01-24,1.84,,
2019-01-25,1.88,,
2019-01-28,1.68,,
2019-01-29,1.6,,
2019-01-30,1.6,,
2019-01-31,1.6,,
2019-02-01,1.6,,
2019-02-04,1.6,,
2019-02-05,1.8,,
2019-02-06,1.68,,
2019-02-07,1.68,,
