Date,Closing price,50,200
2018-06-04,4.11,,
2018-06-05,4.27,,
2018-06-07,4.19,,
2018-06-08,4.23,,
2018-06-11,4.17,,
2018-06-12,4.07,,
2018-06-13,4.13,,
2018-06-14,4.09,,
2018-06-15,3.95,,
2018-06-18,4.06,,
2018-06-19,4.07,,
2018-06-20,4.14,,
2018-06-21,4.14,,
2018-06-25,4.0,,
2018-06-26,3.92,,
2018-06-27,3.91,,
2018-06-28,4.01,,
2018-06-29,4.07,,
2018-07-02,4.08,,
2018-07-03,4.07,,
2018-07-04,4.06,,
2018-07-05,4.07,,
2018-07-06,4.06,,
2018-07-09,4.0,,
2018-07-10,3.96,,
2018-07-11,3.97,,
2018-07-12,3.82,,
2018-07-13,3.94,,
2018-07-16,3.99,,
2018-07-17,4.0,,
2018-07-18,3.89,,
2018-07-19,3.84,,
2018-07-20,3.88,,
2018-07-23,3.69,,
2018-07-24,3.75,,
2018-07-25,3.88,,
2018-07-26,3.91,,
2018-07-27,3.89,,
2018-07-30,3.71,,
2018-07-31,3.73,,
2018-08-01,3.98,,
2018-08-02,3.81,,
2018-08-03,3.92,,
2018-08-06,3.87,,
2018-08-07,3.85,,
2018-08-08,3.77,,
2018-08-09,3.7,,
2018-08-10,3.65,,
2018-08-13,3.71,,
2018-08-14,3.64,,
2018-08-15,3.8,,
2018-08-16,3.74,,
2018-08-17,3.79,,
2018-08-20,3.48,,
2018-08-21,3.59,,
2018-08-22,3.7,,
2018-08-23,3.83,,
2018-08-24,3.7,,
2018-08-27,3.67,,
2018-08-28,3.54,,
2018-08-29,3.3,,
2018-08-30,3.23,,
2018-08-31,3.22,,
2018-09-03,3.29,,
2018-09-04,3.29,,
2018-09-05,3.4,,
2018-09-06,3.5,,
2018-09-07,3.5,,
2018-09-10,3.4,,
2018-09-11,3.33,,
2018-09-12,3.3,,
2018-09-13,3.36,,
2018-09-14,3.5,,
2018-09-17,3.5,,
2018-09-18,3.47,,
2018-09-19,3.48,,
2018-09-20,2.4,,
2018-09-21,2.4,,
2018-09-24,2.51,,
2018-09-25,2.57,,
2018-09-26,2.47,,
2018-09-27,2.25,,
2018-09-28,2.3,,
2018-10-01,2.28,,
2018-10-02,2.27,,
2018-10-03,2.23,,
2018-10-04,2.21,,
2018-10-05,2.15,,
2018-10-08,2.22,,
2018-10-09,2.12,,
2018-10-10,2.11,,
2018-10-11,2.12,,
2018-10-12,2.07,,
2018-10-15,2.02,,
2018-10-16,2.06,,
2018-10-17,2.06,,
2018-10-18,2.08,,
2018-10-19,2.03,,
2018-10-22,2.13,,
2018-10-23,1.99,,
2018-10-24,1.95,,
2018-10-25,1.9,,
2018-10-26,1.8,,
2018-10-29,1.695,,
2018-10-30,1.59,,
2018-10-31,1.975,,
2018-11-01,1.83,,
2018-11-02,1.75,,
2018-11-05,1.8,,
2018-11-06,1.89,,
2018-11-07,2.15,,
2018-11-08,2.1,,
