Date,Closing price,50,200
2018-10-11,0.38,,
2018-10-12,0.43,,
2018-10-15,0.716,,
2018-10-16,0.798,,
2018-10-17,1.11,,
2018-10-18,0.802,,
2018-10-19,0.702,,
2018-10-22,0.67,,
2018-10-23,0.624,,
2018-10-24,0.64,,
2018-10-25,0.59,,
2018-10-26,0.618,,
2018-10-29,0.696,,
2018-10-30,0.71,,
2018-10-31,0.696,,
2018-11-01,0.68,,
2018-11-02,0.678,,
2018-11-05,0.68,,
2018-11-06,0.668,,
2018-11-07,0.69,,
2018-11-08,0.654,,
2018-11-09,0.67,,
2018-11-12,0.638,,
2018-11-13,0.62,,
2018-11-14,0.628,,
2018-11-15,0.63,,
2018-11-16,0.65,,
2018-11-19,0.692,,
2018-11-20,0.65,,
2018-11-21,0.61,,
2018-11-22,0.63,,
2018-11-23,0.65,,
2018-11-26,0.66,,
2018-11-27,0.66,,
2018-11-28,0.6,,
2018-11-29,0.64,,
2018-11-30,0.61,,
2018-12-03,0.6,,
2018-12-04,0.524,,
2018-12-05,0.51,,
2018-12-06,0.54,,
2018-12-07,0.528,,
2018-12-10,0.5,,
2018-12-11,0.514,,
2018-12-12,0.51,,
2018-12-13,0.5,,
2018-12-14,0.51,,
2018-12-17,0.55,,
2018-12-18,0.532,,
2018-12-19,0.53,,
2018-12-20,0.568,,
2018-12-21,0.566,,
2018-12-27,0.64,,
2018-12-28,0.722,,
2019-01-02,0.8,,
2019-01-03,0.88,,
2019-01-04,0.886,,
2019-01-07,0.87,,
2019-01-08,1.03,,
2019-01-09,1.14,,
2019-01-10,1.12,,
2019-01-11,1.23,,
2019-01-14,1.38,,
2019-01-15,1.28,,
2019-01-16,1.31,,
2019-01-17,1.24,,
2019-01-18,1.14,,
2019-01-21,1.04,,
2019-01-22,1.27,,
2019-01-23,1.215,,
2019-01-24,1.23,,
2019-01-25,1.25,,
2019-01-28,1.25,,
2019-01-29,1.3,,
2019-01-30,1.35,,
2019-01-31,1.415,,
2019-02-01,1.42,,
2019-02-04,1.35,,
2019-02-05,1.44,,
2019-02-06,1.65,,
2019-02-07,1.59,,
2019-02-08,1.745,,
2019-02-11,1.955,,
2019-02-12,1.94,,
2019-02-13,1.935,,
2019-02-14,2.2,,
2019-02-15,2.04,,
2019-02-18,2.07,,
2019-02-19,1.76,,
2019-02-20,1.6,,
2019-02-21,1.28,,
2019-02-22,1.405,,
2019-02-25,1.645,,
2019-02-26,1.565,,
2019-02-27,1.65,,
2019-02-28,1.61,,
2019-03-01,1.6,,
2019-03-04,1.67,,
2019-03-05,1.58,,
2019-03-06,1.61,,
2019-03-07,1.54,,
2019-03-08,1.5,,
2019-03-11,1.49,,
2019-03-12,1.535,,
2019-03-13,1.4,,
2019-03-14,1.37,,
2019-03-15,1.32,,
2019-03-18,1.25,,
2019-03-19,1.14,,
2019-03-20,1.08,,
2019-03-21,1.12,,
2019-03-22,1.075,,
2019-03-25,1.215,,
2019-03-26,1.38,,
2019-03-27,1.395,,
2019-03-28,1.3,,
2019-03-29,1.37,,
2019-04-01,1.39,,
2019-04-02,1.43,,
2019-04-03,1.42,,
2019-04-04,1.42,,
2019-04-05,1.07,,
2019-04-08,1.32,,
2019-04-09,1.31,,
2019-04-10,1.33,,
2019-04-11,1.33,,
2019-04-12,1.35,,
2019-04-15,1.23,,
2019-04-16,1.27,,
2019-04-17,1.17,,
2019-04-18,1.2,,
2019-04-23,1.23,,
2019-04-24,1.2,,
2019-04-25,1.17,,
2019-04-26,1.14,,
2019-04-29,1.1,,
2019-04-30,1.2,,
2019-05-02,1.73,,
2019-05-03,1.6,,
2019-05-06,1.58,,
2019-05-07,1.37,,
2019-05-08,1.59,,
2019-05-09,1.44,,
2019-05-10,1.48,,
2019-05-13,1.4,,
2019-05-14,1.44,,
2019-05-15,1.35,,
2019-05-16,1.35,,
2019-05-17,1.5,1.3440000000000003,0.8267000000000002
2019-05-20,1.42,1.3402,0.8338000000000001
2019-05-21,1.38,1.337,0.8406999999999999
2019-05-22,1.3,1.3330000000000002,0.8472
2019-05-23,1.23,1.3278,0.8533499999999999
2019-05-24,1.18,1.3207000000000004,0.85925
2019-05-27,1.3,1.3187000000000004,0.86575
2019-05-28,1.41,1.3195000000000001,0.8728
2019-05-29,1.46,1.3223000000000003,0.8801000000000001
2019-05-31,1.43,1.3259000000000005,0.8872500000000001
