Date,Closing price,50,200
2018-06-04,9.72,,
2018-06-05,9.8,,
2018-06-06,9.86,,
2018-06-07,9.76,,
2018-06-08,9.88,,
2018-06-11,9.76,,
2018-06-12,9.8,,
2018-06-13,10.05,,
2018-06-14,9.96,,
2018-06-15,9.86,,
2018-06-18,9.66,,
2018-06-19,9.3,,
2018-06-20,9.44,,
2018-06-21,9.32,,
2018-06-25,9.3,,
2018-06-26,9.6,,
2018-06-27,9.58,,
2018-06-28,9.52,,
2018-06-29,9.54,,
2018-07-02,9.3,,
2018-07-03,9.44,,
2018-07-04,9.22,,
2018-07-05,9.24,,
2018-07-06,9.26,,
2018-07-09,9.5,,
2018-07-10,9.6,,
2018-07-11,9.36,,
2018-07-12,9.38,,
2018-07-13,9.36,,
2018-07-16,9.38,,
2018-07-17,9.6,,
2018-07-18,9.52,,
2018-07-19,9.46,,
2018-07-20,8.86,,
2018-07-23,8.48,,
2018-07-24,8.86,,
2018-07-25,8.96,,
2018-07-26,9.12,,
2018-07-27,9.08,,
2018-07-30,8.8,,
2018-07-31,8.82,,
2018-08-01,8.84,,
2018-08-02,7.9,,
2018-08-03,8.04,,
2018-08-06,8.06,,
2018-08-07,8.04,,
2018-08-08,8.0,,
2018-08-09,8.08,,
2018-08-10,7.98,,
2018-08-13,7.96,,
2018-08-14,7.82,,
2018-08-15,7.8,,
2018-08-16,7.92,,
2018-08-17,7.96,,
2018-08-20,8.1,,
2018-08-21,8.2,,
2018-08-22,8.32,,
2018-08-23,8.26,,
2018-08-24,8.42,,
2018-08-27,8.4,,
2018-08-28,8.52,,
2018-08-29,8.52,,
2018-08-30,8.6,,
2018-08-31,8.68,,
2018-09-03,8.68,,
2018-09-04,8.5,,
2018-09-05,8.56,,
2018-09-06,8.5,,
2018-09-07,8.54,,
2018-09-10,8.46,,
2018-09-11,8.34,,
2018-09-12,8.5,,
2018-09-13,8.56,,
2018-09-14,8.6,,
2018-09-17,8.66,,
2018-09-18,8.64,,
2018-09-19,8.68,,
2018-09-20,8.68,,
2018-09-21,8.74,,
2018-09-24,8.66,,
2018-09-25,8.64,,
2018-09-26,8.58,,
2018-09-27,8.64,,
2018-09-28,8.66,,
2018-10-01,8.68,,
2018-10-02,8.54,,
2018-10-03,8.74,,
2018-10-04,8.46,,
2018-10-05,8.28,,
2018-10-08,8.24,,
2018-10-09,8.08,,
2018-10-10,7.82,,
2018-10-11,7.62,,
2018-10-12,7.78,,
2018-10-15,7.7,,
2018-10-16,8.0,,
2018-10-17,8.4,,
2018-10-18,8.0,,
2018-10-19,8.08,,
2018-10-22,7.9,,
2018-10-23,7.6,,
2018-10-24,7.64,,
2018-10-25,7.84,,
2018-10-26,7.8,,
2018-10-29,7.8,,
2018-10-30,7.64,,
2018-10-31,8.18,,
2018-11-01,7.86,,
2018-11-02,7.96,,
2018-11-05,7.88,,
2018-11-06,8.06,,
2018-11-07,8.14,,
2018-11-08,8.18,,
2018-11-09,8.14,,
2018-11-12,7.82,,
2018-11-13,7.82,,
2018-11-14,7.7,,
2018-11-15,8.08,,
2018-11-16,7.78,,
2018-11-19,7.8,,
2018-11-20,7.64,,
2018-11-21,7.56,,
2018-11-22,7.48,,
2018-11-23,7.26,,
2018-11-26,7.26,,
2018-11-27,7.16,,
2018-11-28,7.0,,
2018-11-29,6.8,,
2018-11-30,6.68,,
2018-12-03,6.92,,
2018-12-04,6.66,,
2018-12-05,6.5,,
2018-12-07,6.44,,
2018-12-10,6.6,,
2018-12-11,6.7,,
2018-12-12,6.9,,
2018-12-13,6.6,,
