Date,Closing price,50,200
2018-06-04,824.299,,
2018-06-05,825.018,,
2018-06-07,829.212,,
2018-06-08,829.781,,
2018-06-11,827.806,,
2018-06-12,831.724,,
2018-06-13,834.095,,
2018-06-14,833.542,,
2018-06-15,830.673,,
2018-06-18,827.714,,
2018-06-19,826.294,,
2018-06-20,825.998,,
2018-06-21,824.832,,
2018-06-25,819.413,,
2018-06-26,813.26,,
2018-06-27,815.327,,
2018-06-28,811.541,,
2018-06-29,822.794,,
2018-07-02,820.728,,
2018-07-03,824.64,,
2018-07-04,817.592,,
2018-07-05,820.293,,
2018-07-06,820.644,,
2018-07-09,826.354,,
2018-07-10,832.07,,
2018-07-11,832.452,,
2018-07-12,834.706,,
2018-07-13,840.56,,
2018-07-16,851.338,,
2018-07-17,850.151,,
2018-07-18,853.188,,
2018-07-19,857.261,,
2018-07-20,853.57,,
2018-07-23,858.949,,
2018-07-24,862.947,,
2018-07-25,867.449,,
2018-07-26,861.858,,
2018-07-27,857.198,,
2018-07-30,855.073,,
2018-07-31,854.298,,
2018-08-01,852.936,,
2018-08-02,851.108,,
2018-08-03,853.719,,
2018-08-06,857.014,,
2018-08-07,863.809,,
2018-08-08,870.812,,
2018-08-09,875.195,,
2018-08-10,869.626,,
2018-08-13,883.562,,
2018-08-14,880.531,,
2018-08-15,878.127,,
2018-08-16,882.724,,
2018-08-17,885.416,,
2018-08-20,887.434,,
2018-08-21,889.609,,
2018-08-22,887.72,,
2018-08-23,886.416,,
2018-08-24,885.596,,
2018-08-27,887.039,,
2018-08-28,882.846,,
2018-08-29,881.236,,
2018-08-30,880.715,,
2018-08-31,886.83,,
2018-09-03,891.046,,
2018-09-04,890.001,,
2018-09-05,884.42,,
2018-09-06,882.802,,
2018-09-07,883.23,,
2018-09-10,884.327,,
2018-09-11,887.683,,
2018-09-12,895.246,,
2018-09-13,899.733,,
2018-09-14,902.068,,
2018-09-17,901.911,,
2018-09-18,902.317,,
2018-09-19,909.665,,
2018-09-20,908.558,,
2018-09-21,915.757,,
2018-09-24,910.825,,
2018-09-25,916.897,,
2018-09-26,914.337,,
2018-09-27,918.527,,
2018-09-28,924.747,,
2018-10-01,928.601,,
2018-10-02,927.286,,
2018-10-03,929.14,,
2018-10-04,923.139,,
2018-10-05,921.15,,
2018-10-08,904.421,,
2018-10-09,899.57,,
2018-10-10,876.774,,
2018-10-11,847.909,,
2018-10-12,852.823,,
2018-10-15,845.189,,
2018-10-16,853.414,,
2018-10-17,857.737,,
2018-10-18,858.236,,
2018-10-19,851.853,,
2018-10-22,845.718,,
2018-10-23,826.183,,
2018-10-24,824.108,,
2018-10-25,811.103,,
2018-10-26,804.022,,
2018-10-29,819.011,,
2018-10-30,823.868,,
2018-10-31,846.146,,
2018-11-01,842.067,,
2018-11-02,852.581,,
2018-11-05,854.466,,
2018-11-06,849.769,,
2018-11-07,857.798,,
2018-11-08,858.434,,
2018-11-09,859.193,,
2018-11-12,847.845,,
2018-11-13,836.557,,
2018-11-14,825.984,,
2018-11-15,820.442,,
2018-11-16,824.065,,
2018-11-19,816.269,,
2018-11-20,797.025,,
2018-11-21,805.35,,
2018-11-22,806.467,,
2018-11-23,807.325,,
2018-11-26,809.339,,
2018-11-27,808.687,,
2018-11-28,810.25,,
2018-11-29,813.046,,
2018-11-30,814.314,,
2018-12-03,814.249,,
2018-12-04,808.455,,
2018-12-05,803.512,,
2018-12-06,788.238,,
2018-12-07,794.769,,
2018-12-10,781.388,,
2018-12-11,789.302,,
2018-12-12,794.836,,
2018-12-13,790.695,,
2018-12-14,791.632,,
2018-12-17,786.337,,
2018-12-18,775.795,,
2018-12-19,769.122,,
2018-12-20,760.945,,
2018-12-21,760.885,,
2018-12-27,746.839,,
2018-12-28,764.609,,
2019-01-02,778.594,,
2019-01-03,780.874,,
2019-01-04,793.133,,
2019-01-07,796.274,,
2019-01-08,798.534,,
2019-01-09,801.021,,
2019-01-10,798.7315,,
2019-01-11,801.4276,,
2019-01-14,797.9187,,
2019-01-15,799.0283,,
2019-01-16,799.6867,,
2019-01-17,797.971,,
2019-01-18,803.8196,,
2019-01-21,802.7387,,
2019-01-22,798.0273,,
2019-01-23,796.2804,,
2019-01-24,796.676,,
2019-01-25,800.8093,,
2019-01-28,800.8582,,
2019-01-29,806.2608,,
2019-01-30,806.6563,,
2019-01-31,808.5582,,
2019-02-01,807.5371,,
2019-02-04,809.8052,,
2019-02-05,813.4297,,
2019-02-06,817.7825,,
2019-02-07,813.7745,,
2019-02-08,812.0391,,
2019-02-11,821.2915,,
2019-02-12,826.7599,,
2019-02-13,828.4932,,
2019-02-14,827.155,,
2019-02-15,830.7612,,
2019-02-18,836.8509,,
2019-02-19,838.0537,,
2019-02-20,833.4309,,
2019-02-21,822.3151,,
2019-02-22,829.3902,,
2019-02-25,826.4416,,
2019-02-26,827.6213,,
2019-02-27,824.1075,,
2019-02-28,825.3489,,
2019-03-01,828.8212,,
2019-03-04,829.9854,,
2019-03-05,829.871,,
2019-03-06,826.9731,,
2019-03-07,809.392,,
2019-03-08,806.0161,,
2019-03-11,813.5847,,
2019-03-12,815.4407,,
2019-03-13,815.9831,,
2019-03-14,819.6256,,
2019-03-15,822.1147,,
2019-03-18,827.3948,,
2019-03-19,829.4158,,
2019-03-20,826.9547,,
2019-03-21,825.4091,,
2019-03-22,820.2125,,
2019-03-25,814.658,,
2019-03-26,813.4427,,
2019-03-27,815.0652,,
2019-03-28,815.343,,
2019-03-29,817.3764,,
2019-04-01,820.8855,,
2019-04-02,824.8298,,
2019-04-03,830.1719,,
2019-04-04,831.2633,,
2019-04-05,833.6359,,
2019-04-08,830.8301,,
2019-04-09,829.6562,,
2019-04-10,830.1455,,
2019-04-11,831.5938,,
2019-04-12,837.8917,,
2019-04-15,841.7645,,
2019-04-16,842.6045,,
2019-04-17,843.5377,,
2019-04-18,846.8402,,
2019-04-23,848.897,,
2019-04-24,847.8571,,
2019-04-25,843.582,,
2019-04-26,846.2134,,
2019-04-29,846.5607,,
2019-04-30,850.0646,,
2019-05-02,850.8952,,
2019-05-03,848.137,,
2019-05-06,840.1685,,
2019-05-07,834.9252,,
2019-05-08,830.5013,,
2019-05-09,822.3203,,
2019-05-10,830.7089,,
2019-05-13,819.5604,,
2019-05-14,831.7218,,
2019-05-15,831.0296,,
2019-05-16,833.9234,,
2019-05-17,830.0908,,
2019-05-20,829.8004,,
2019-05-21,832.0702,830.4543100000001,837.9019040000001
2019-05-22,850.3814,831.341616,837.8852159999999
2019-05-23,844.4846,831.9596140000001,837.8225689999999
2019-05-24,849.3733,832.6382660000002,837.7503904999999
2019-05-27,850.506,833.3287240000001,837.6488605
2019-05-28,852.2045,833.980302,837.5339079999999
2019-05-29,846.1855,834.4617180000001,837.4167054999999
2019-05-31,840.3525,834.7208720000001,837.2006579999999
2019-06-03,835.7901,834.8483579999998,836.9769534999999
2019-06-04,843.8851,835.186966,836.805744
